personnel_id,date,month_idx,attendance_change,leave_frequency_change,workload_change,sleep_change,routine_deviation,performance_change,schedule_change,recovery_change
P-000002,2025-09-01,9,-0.0,0.2,-0.173,0.159,0.028,-0.01,-0.026,0.078
P-000002,2025-10-01,10,-0.0,-0.1,-0.135,-0.015,0.02,-0.018,-0.032,0.108
P-000002,2025-11-01,11,-0.031,0.2,-0.052,-0.276,0.016,-0.167,-0.001,0.118
P-000002,2025-12-01,12,-0.0,-0.1,0.016,0.322,0.048,0.121,-0.069,0.13
P-000003,2025-01-01,1,-0.0,0.2,-0.276,0.017,0.071,-0.014,0.116,0.141
P-000003,2025-02-01,2,-0.069,-0.1,-0.257,0.056,0.041,-0.049,-0.031,0.143
P-000003,2025-03-01,3,-0.201,-0.1,3.674,-0.279,0.485,-0.13,0.731,-0.909
P-000003,2025-04-01,4,-0.02,-0.1,0.059,0.181,0.333,0.047,0.663,-0.878
P-000003,2025-05-01,5,-0.095,-0.1,-0.01,-0.323,0.402,-0.136,0.802,-0.907
P-000003,2025-06-01,6,-0.0,-0.1,-0.029,0.128,0.409,0.004,0.79,-0.902
P-000003,2025-07-01,7,-0.0,-0.1,0.077,-0.143,0.356,-0.074,0.709,-0.908
P-000003,2025-08-01,8,-0.005,-0.1,-0.051,0.034,0.334,0.064,0.651,-0.923
P-000003,2025-09-01,9,-0.0,0.2,-0.04,0.199,0.392,0.121,0.779,-0.901
P-000003,2025-10-01,10,-0.0,-0.1,-0.669,0.685,0.187,0.255,0.183,0.063
P-000003,2025-11-01,11,-0.003,0.2,0.129,-0.128,0.013,-0.119,0.014,0.049
P-000003,2025-12-01,12,-0.02,-0.1,-0.247,0.003,0.036,0.021,0.062,0.109
P-000004,2025-01-01,1,-0.066,-0.1,-0.058,0.023,0.074,-0.028,0.045,0.039
P-000004,2025-02-01,2,-0.027,-0.1,-0.087,0.021,0.174,-0.069,0.277,0.075
P-000004,2025-03-01,3,-0.0,0.2,0.047,-0.125,0.049,-0.104,0.077,0.032
P-000004,2025-04-01,4,-0.047,-0.1,1.697,-0.063,0.456,-0.017,0.717,-0.882
P-000004,2025-05-01,5,-0.042,-0.1,-0.031,0.009,0.418,0.041,0.755,-0.854
P-000004,2025-06-01,6,-0.0,-0.1,-0.081,-0.011,0.303,0.054,0.603,-0.75
P-000004,2025-07-01,7,-0.0,-0.1,0.108,-0.018,0.382,-0.024,0.747,-0.85
P-000004,2025-08-01,8,-0.049,-0.1,0.152,-0.039,0.383,-0.039,0.755,-0.873
P-000004,2025-09-01,9,-0.0,-0.1,-0.704,0.342,0.152,0.159,0.12,0.043
P-000004,2025-10-01,10,-0.08,-0.1,0.443,-0.03,0.082,-0.001,0.143,-0.035
P-000004,2025-11-01,11,-0.0,0.2,-0.274,0.129,0.016,0.067,0.012,0.016
P-000004,2025-12-01,12,-0.018,-0.1,0.01,-0.162,0.057,-0.046,-0.076,0.029
P-000005,2025-01-01,1,-0.034,-0.1,-0.371,0.067,0.081,-0.033,0.143,0.13
P-000005,2025-02-01,2,-0.0,-0.1,0.282,0.041,0.041,0.019,0.04,0.183
P-000005,2025-03-01,3,-0.0,0.2,-0.133,0.004,0.046,-0.02,0.038,0.022
P-000005,2025-04-01,4,-0.011,-0.1,0.113,0.022,0.046,-0.047,0.03,0.287
P-000005,2025-05-01,5,-0.081,-0.1,0.163,-0.222,0.059,-0.041,0.107,0.107
P-000005,2025-06-01,6,-0.0,0.2,0.005,0.227,0.049,0.158,-0.088,0.109
P-000005,2025-07-01,7,-0.09,-0.1,-0.172,0.004,0.029,0.032,-0.056,0.319
P-000005,2025-08-01,8,-0.0,-0.1,0.087,-0.12,0.042,-0.071,-0.04,0.083
P-000005,2025-09-01,9,-0.042,-0.1,-0.006,0.083,0.039,0.124,-0.03,0.174
P-000005,2025-10-01,10,-0.0,0.2,-0.201,0.055,0.029,0.013,-0.031,0.064
P-000005,2025-11-01,11,-0.0,-0.1,0.174,-0.076,0.015,-0.091,0.006,0.318
P-000005,2025-12-01,12,-0.06,0.2,0.151,-0.032,0.047,0.029,-0.042,0.211
P-000006,2025-01-01,1,-0.0,-0.1,-0.479,0.148,0.042,0.027,0.016,0.208
P-000006,2025-02-01,2,-0.0,-0.1,0.261,-0.287,0.019,-0.124,-0.028,0.129
P-000006,2025-03-01,3,-0.028,0.2,-0.035,0.242,0.024,0.115,0.023,0.121
P-000006,2025-04-01,4,-0.027,-0.1,-0.131,-0.032,0.042,0.098,-0.065,0.19
P-000006,2025-05-01,5,-0.037,-0.1,0.05,-0.052,0.066,0.031,-0.113,0.169
P-000006,2025-06-01,6,-0.0,-0.1,-0.198,0.089,0.095,0.057,-0.139,0.216
P-000006,2025-07-01,7,-0.0,0.2,0.583,-0.057,0.065,0.013,-0.091,-0.047
P-000006,2025-08-01,8,-0.025,-0.1,-0.222,-0.012,0.033,0.013,-0.022,0.297
P-000006,2025-09-01,9,-0.029,-0.1,0.067,0.05,0.073,0.081,0.119,0.255
P-000006,2025-10-01,10,-0.007,-0.1,0.21,0.095,0.047,0.014,0.078,0.169
P-000006,2025-11-01,11,-0.0,0.2,-0.459,-0.154,0.082,-0.054,0.081,0.139
P-000006,2025-12-01,12,-0.018,-0.1,0.362,0.065,0.033,0.07,-0.017,0.146
P-000007,2025-01-01,1,-0.049,-0.1,-0.239,0.022,0.077,0.109,0.136,0.195
P-000007,2025-02-01,2,-0.0,0.2,0.249,0.063,0.033,0.037,0.01,0.245
P-000007,2025-03-01,3,-0.035,-0.1,-0.324,0.048,0.032,0.056,-0.03,0.229
P-000007,2025-04-01,4,-0.075,0.2,0.143,-0.215,0.036,-0.052,-0.045,0.15
P-000007,2025-05-01,5,-0.003,-0.1,0.042,-0.037,0.08,-0.002,-0.143,0.281
P-000007,2025-06-01,6,-0.0,0.2,0.101,0.044,0.039,0.074,0.073,0.299
P-000007,2025-07-01,7,-0.01,-0.1,0.07,0.039,0.048,-0.014,0.077,0.107
P-000007,2025-08-01,8,-0.0,0.2,-0.223,0.002,0.028,0.015,0.041,0.168
P-000007,2025-09-01,9,-0.0,-0.1,0.08,0.096,0.07,0.079,0.116,0.158
P-000007,2025-10-01,10,-0.0,0.2,-0.021,-0.026,0.031,0.008,0.031,0.236
P-000007,2025-11-01,11,-0.04,-0.1,0.341,-0.01,0.019,0.075,0.034,0.102
P-000007,2025-12-01,12,-0.0,0.2,-0.048,0.159,0.102,0.064,-0.143,0.123
P-000008,2025-01-01,1,-0.054,-0.1,0.415,-0.109,0.23,-0.091,0.415,-0.231
P-000008,2025-02-01,2,-0.0,-0.1,-0.11,-0.156,0.155,-0.107,0.297,-0.185
P-000008,2025-03-01,3,-0.0,-0.1,-0.18,0.032,0.161,-0.011,0.299,-0.178
P-000008,2025-04-01,4,-0.013,-0.1,1.629,-0.222,0.542,-0.042,0.883,-0.989
P-000008,2025-05-01,5,-0.037,-0.1,0.028,-0.313,0.471,-0.13,0.852,-0.828
P-000008,2025-06-01,6,-0.034,-0.1,0.119,0.276,0.51,0.04,1.0,-0.941
P-000008,2025-07-01,7,-0.0,-0.1,0.018,-0.054,0.455,0.003,0.899,-1.082
P-000008,2025-08-01,8,-0.086,0.2,0.029,0.017,0.402,-0.036,0.803,-1.037
P-000008,2025-09-01,9,-0.09,-0.1,0.0,-0.107,0.45,-0.085,0.87,-1.068
P-000008,2025-10-01,10,-0.0,-0.1,0.0,-0.182,0.441,-0.122,0.822,-1.18
P-000008,2025-11-01,11,-0.085,-0.1,0.0,-0.329,0.352,-0.089,0.657,-1.105
P-000008,2025-12-01,12,-0.033,-0.1,0.0,0.506,0.407,0.228,0.775,-1.12
P-000009,2025-01-01,1,-0.0,-0.1,-0.034,-0.08,0.029,-0.087,-0.034,-0.064
P-000009,2025-02-01,2,-0.045,0.2,-0.114,-0.111,0.041,0.02,0.028,-0.006
P-000009,2025-03-01,3,-0.006,-0.1,-0.293,0.019,0.061,0.003,0.112,0.068
P-000009,2025-04-01,4,-0.105,-0.1,2.881,-0.211,0.441,-0.102,0.681,-0.771
P-000009,2025-05-01,5,-0.057,-0.1,-0.19,0.064,0.27,0.063,0.524,-0.754
P-000009,2025-06-01,6,-0.051,-0.1,0.185,-0.112,0.314,-0.004,0.566,-0.834
P-000009,2025-07-01,7,-0.0,-0.1,-0.046,-0.011,0.359,-0.055,0.68,-0.822
P-000009,2025-08-01,8,-0.0,-0.1,0.085,0.27,0.299,0.162,0.586,-0.898
P-000009,2025-09-01,9,-0.0,0.2,-0.58,0.124,0.101,0.09,-0.063,-0.003
P-000009,2025-10-01,10,-0.021,-0.1,-0.126,0.145,0.049,0.151,0.084,0.005
P-000009,2025-11-01,11,-0.0,0.2,-0.015,-0.023,0.035,-0.109,0.036,0.028
P-000009,2025-12-01,12,-0.0,-0.1,-0.12,0.134,0.025,0.032,-0.03,0.057
P-000010,2025-01-01,1,-0.073,-0.1,-0.121,-0.156,0.051,0.052,0.096,0.058
P-000010,2025-02-01,2,-0.0,-0.1,-0.267,-0.003,0.079,0.103,0.134,0.103
P-000010,2025-03-01,3,-0.106,0.2,2.759,-0.499,0.383,-0.212,0.506,-0.932
P-000010,2025-04-01,4,-0.0,-0.1,0.049,0.256,0.363,0.133,0.718,-0.891
P-000010,2025-05-01,5,-0.034,-0.1,0.013,-0.056,0.421,-0.075,0.813,-0.957
P-000010,2025-06-01,6,-0.0,-0.1,-0.017,0.361,0.338,0.172,0.663,-0.89
P-000010,2025-07-01,7,-0.003,-0.1,-0.005,0.115,0.452,0.089,0.843,-0.887
P-000010,2025-08-01,8,-0.0,-0.1,-0.057,-0.249,0.33,-0.122,0.557,-0.907
P-000010,2025-09-01,9,-0.0,-0.1,0.056,0.229,0.354,0.161,0.671,-0.954
P-000010,2025-10-01,10,-0.0,0.2,-0.66,0.285,0.18,0.123,0.115,0.023
P-000010,2025-11-01,11,-0.0,-0.1,-0.129,0.072,0.039,-0.013,0.078,0.07
P-000010,2025-12-01,12,-0.054,0.2,0.199,0.004,0.067,-0.038,0.075,0.082
P-000011,2025-01-01,1,-0.0,0.2,-0.517,0.15,0.05,0.135,-0.094,0.184
P-000011,2025-02-01,2,-0.107,-0.1,0.639,-0.172,0.045,-0.093,-0.041,0.163
P-000011,2025-03-01,3,-0.0,-0.1,-0.255,0.067,0.028,0.028,-0.017,0.102
P-000011,2025-04-01,4,-0.0,-0.1,0.228,-0.041,0.034,-0.011,0.05,0.12
P-000011,2025-05-01,5,-0.0,0.2,-0.294,0.119,0.016,0.02,0.028,0.204
P-000011,2025-06-01,6,-0.051,-0.1,0.869,0.014,0.093,-0.034,0.129,0.078
P-000011,2025-07-01,7,-0.034,0.2,-0.337,-0.034,0.043,-0.007,0.033,0.067
P-000011,2025-08-01,8,-0.063,-0.1,0.02,0.01,0.001,-0.006,0.0,0.154
P-000011,2025-09-01,9,-0.022,-0.1,0.036,-0.056,0.062,0.082,-0.053,0.158
P-000011,2025-10-01,10,-0.013,-0.1,0.275,0.226,0.04,0.094,0.046,0.151
P-000011,2025-11-01,11,-0.0,-0.1,0.042,-0.328,0.021,-0.123,0.029,-0.001
P-000011,2025-12-01,12,-0.0,0.2,-0.274,0.164,0.065,0.066,-0.082,0.178
P-000012,2025-01-01,1,-0.0,0.2,-0.046,0.169,0.024,0.041,0.009,0.041
P-000012,2025-02-01,2,-0.0,-0.1,-0.127,-0.011,0.052,-0.036,-0.098,0.098
P-000012,2025-03-01,3,-0.0,-0.1,0.217,-0.119,0.07,-0.084,-0.119,0.033
P-000012,2025-04-01,4,-0.03,0.2,-0.147,0.115,0.087,0.013,-0.116,0.135
P-000012,2025-05-01,5,-0.0,-0.1,0.179,-0.097,0.083,0.007,0.077,0.049
P-000012,2025-06-01,6,-0.094,0.2,0.779,0.03,0.252,-0.048,0.293,-0.492
P-000012,2025-07-01,7,-0.03,-0.1,0.074,0.031,0.24,-0.123,0.48,-0.507
P-000012,2025-08-01,8,-0.04,0.2,-0.627,0.03,0.129,-0.015,-0.084,0.112
P-000012,2025-09-01,9,-0.0,-0.1,-0.066,0.04,0.074,0.065,0.137,0.101
P-000012,2025-10-01,10,-0.0,0.2,0.576,-0.072,0.083,0.059,0.091,0.086
P-000012,2025-11-01,11,-0.0,-0.1,-0.405,-0.015,0.079,0.005,-0.106,0.136
P-000012,2025-12-01,12,-0.043,0.2,0.265,0.092,0.047,0.035,0.087,0.123
P-000013,2025-01-01,1,-0.0,-0.1,0.288,-0.193,0.178,-0.009,0.249,-0.172
P-000013,2025-02-01,2,-0.0,-0.1,-0.015,0.075,0.24,0.095,0.431,-0.259
P-000013,2025-03-01,3,-0.0,-0.1,-0.169,0.096,0.163,-0.045,0.282,-0.182
P-000013,2025-04-01,4,-0.108,-0.1,1.71,-0.256,0.544,-0.101,0.774,-0.851
P-000013,2025-05-01,5,-0.0,-0.1,0.047,-0.114,0.448,-0.012,0.87,-0.995
P-000013,2025-06-01,6,-0.0,-0.1,0.06,-0.27,0.401,-0.209,0.723,-0.935
P-000013,2025-07-01,7,-0.0,-0.1,0.03,0.088,0.38,-0.021,0.75,-1.046
P-000013,2025-08-01,8,-0.0,-0.1,0.0,-0.048,0.402,-0.05,0.79,-0.957
P-000013,2025-09-01,9,-0.0,0.2,0.0,-0.304,0.363,-0.129,0.72,-1.136
P-000013,2025-10-01,10,-0.0,-0.1,0.0,0.035,0.531,0.01,1.0,-1.016
P-000013,2025-11-01,11,-0.0,-0.1,0.0,-0.268,0.436,-0.007,0.87,-1.119
P-000013,2025-12-01,12,-0.038,-0.1,0.0,0.797,0.437,0.316,0.857,-1.038
P-000014,2025-01-01,1,-0.0,0.2,-0.15,-0.057,0.043,-0.053,0.072,0.141
P-000014,2025-02-01,2,-0.058,-0.1,-0.099,-0.003,0.075,0.06,-0.143,0.049
P-000014,2025-03-01,3,-0.0,-0.1,-0.285,0.176,0.052,0.057,0.086,0.201
P-000014,2025-04-01,4,-0.073,0.2,0.336,-0.103,0.066,-0.033,0.101,0.123
P-000014,2025-05-01,5,-0.03,-0.1,0.232,0.007,0.024,-0.023,0.033,0.071
P-000014,2025-06-01,6,-0.0,-0.1,-0.224,0.027,0.017,0.047,0.024,0.069
P-000014,2025-07-01,7,-0.009,0.2,0.135,0.092,0.085,-0.003,-0.136,0.029
P-000014,2025-08-01,8,-0.0,-0.1,-0.258,-0.006,0.018,0.035,-0.03,0.265
P-000014,2025-09-01,9,-0.006,0.2,0.434,-0.059,0.03,-0.076,0.019,0.105
P-000014,2025-10-01,10,-0.04,-0.1,-0.099,-0.022,0.065,-0.069,-0.122,0.256
P-000014,2025-11-01,11,-0.0,-0.1,-0.038,0.004,0.021,0.005,-0.024,0.07
P-000014,2025-12-01,12,-0.0,-0.1,0.019,0.102,0.068,0.084,-0.118,0.187
P-000015,2025-01-01,1,-0.046,-0.1,-0.307,0.031,0.042,-0.024,-0.044,0.276
P-000015,2025-02-01,2,-0.0,-0.1,0.095,-0.169,0.034,-0.077,-0.058,0.236
P-000015,2025-03-01,3,-0.0,0.2,0.364,0.459,0.047,0.171,-0.021,0.111
P-000015,2025-04-01,4,-0.009,-0.1,-0.319,-0.023,0.08,-0.033,0.08,0.172
P-000015,2025-05-01,5,-0.0,0.2,-0.014,-0.024,0.026,0.051,0.045,0.222
P-000015,2025-06-01,6,-0.031,-0.1,0.318,-0.006,0.027,-0.108,0.035,0.175
P-000015,2025-07-01,7,-0.0,-0.1,0.067,-0.122,0.045,-0.052,0.041,0.079
P-000015,2025-08-01,8,-0.0,-0.1,-0.263,0.065,0.031,0.073,-0.02,0.175
P-000015,2025-09-01,9,-0.0,-0.1,-0.093,0.128,0.046,0.015,0.068,0.257
P-000015,2025-10-01,10,-0.001,-0.1,0.293,-0.133,0.045,0.049,0.063,0.125
P-000015,2025-11-01,11,-0.0,0.2,-0.088,0.055,0.045,0.059,0.056,0.153
P-000015,2025-12-01,12,-0.0,-0.1,0.016,-0.012,0.058,-0.017,0.058,0.028
P-000016,2025-01-01,1,-0.0,0.2,-0.266,0.114,0.022,0.094,-0.007,0.159
P-000016,2025-02-01,2,-0.0,-0.1,-0.19,-0.132,0.021,-0.075,-0.027,0.085
P-000016,2025-03-01,3,-0.06,0.2,0.386,0.225,0.031,0.092,0.061,0.079
P-000016,2025-04-01,4,-0.032,-0.1,-0.374,-0.122,0.098,-0.031,-0.143,0.088
P-000016,2025-05-01,5,-0.08,-0.1,0.507,0.107,0.063,-0.012,0.033,0.131
P-000016,2025-06-01,6,-0.0,-0.1,-0.169,-0.005,0.041,0.067,0.017,0.21
P-000016,2025-07-01,7,-0.053,-0.1,-0.157,0.015,0.066,0.007,0.118,0.131
P-000016,2025-08-01,8,-0.039,-0.1,-0.246,0.051,0.076,-0.045,-0.143,0.164
P-000016,2025-09-01,9,-0.01,-0.1,0.487,-0.078,0.001,-0.111,0.001,0.164
P-000016,2025-10-01,10,-0.047,-0.1,0.06,0.066,0.002,0.129,0.001,0.166
P-000016,2025-11-01,11,-0.0,-0.1,-0.193,-0.192,0.009,-0.045,-0.001,0.177
P-000016,2025-12-01,12,-0.013,0.2,0.204,0.064,0.006,0.102,0.0,0.218
P-000017,2025-01-01,1,-0.0,-0.1,-0.379,-0.122,0.034,-0.035,0.016,0.233
P-000017,2025-02-01,2,-0.0,-0.1,0.285,0.423,0.042,0.145,-0.041,0.121
P-000017,2025-03-01,3,-0.0,0.2,-0.416,-0.117,0.047,-0.072,0.057,0.204
P-000017,2025-04-01,4,-0.004,-0.1,0.711,-0.01,0.038,-0.103,0.064,0.106
P-000017,2025-05-01,5,-0.021,-0.1,-0.408,-0.135,0.051,-0.041,-0.097,0.134
P-000017,2025-06-01,6,-0.044,0.2,0.215,-0.04,0.042,0.041,-0.076,0.244
P-000017,2025-07-01,7,-0.0,-0.1,-0.212,0.207,0.004,0.037,0.005,0.238
P-000017,2025-08-01,8,-0.0,-0.1,0.566,-0.056,0.067,-0.033,-0.091,0.184
P-000017,2025-09-01,9,-0.064,-0.1,0.106,-0.02,0.036,-0.048,0.07,0.149
P-000017,2025-10-01,10,-0.024,-0.1,-0.236,0.118,0.051,-0.016,-0.052,0.059
P-000017,2025-11-01,11,-0.011,-0.1,0.216,-0.125,0.045,-0.035,0.078,0.093
P-000017,2025-12-01,12,-0.0,0.2,-0.389,0.088,0.041,0.029,-0.069,0.27
P-000018,2025-01-01,1,-0.076,-0.1,-0.047,-0.141,0.132,-0.045,0.219,0.037
P-000018,2025-02-01,2,-0.005,0.2,0.02,0.018,0.029,-0.034,0.044,0.013
P-000018,2025-03-01,3,-0.0,-0.1,0.141,-0.016,0.072,-0.04,0.135,-0.026
P-000018,2025-04-01,4,-0.028,-0.1,1.131,-0.307,0.402,-0.211,0.577,-0.986
P-000018,2025-05-01,5,-0.0,-0.1,-0.137,0.167,0.343,0.074,0.642,-0.646
P-000018,2025-06-01,6,-0.089,-0.1,-0.009,-0.242,0.181,-0.082,0.36,-0.786
P-000018,2025-07-01,7,-0.0,-0.1,0.102,0.361,0.325,0.182,0.649,-0.947
P-000018,2025-08-01,8,-0.048,-0.1,0.013,0.099,0.336,0.065,0.614,-0.636
P-000018,2025-09-01,9,-0.0,-0.1,-0.605,-0.015,0.095,-0.034,0.018,0.039
P-000018,2025-10-01,10,-0.0,-0.1,-0.067,0.103,0.108,0.046,0.182,0.046
P-000018,2025-11-01,11,-0.001,0.2,0.188,0.074,0.043,0.007,0.05,0.048
P-000018,2025-12-01,12,-0.027,-0.1,-0.154,-0.073,0.05,-0.029,0.057,0.032
P-000019,2025-01-01,1,-0.047,-0.1,-0.212,-0.168,0.062,-0.069,0.096,0.13
P-000019,2025-02-01,2,-0.0,-0.1,-0.201,0.116,0.032,-0.005,0.008,0.203
P-000019,2025-03-01,3,-0.078,-0.1,0.088,0.116,0.027,-0.058,0.013,0.181
P-000019,2025-04-01,4,-0.0,-0.1,0.123,-0.039,0.057,0.021,0.097,0.088
P-000019,2025-05-01,5,-0.0,0.2,0.021,-0.345,0.059,-0.165,0.11,0.269
P-000019,2025-06-01,6,-0.0,-0.1,-0.256,0.723,0.08,0.292,-0.143,0.118
P-000019,2025-07-01,7,-0.094,0.2,0.125,-0.136,0.019,-0.098,0.011,0.24
P-000019,2025-08-01,8,-0.015,-0.1,-0.055,0.141,0.017,0.008,0.029,0.177
P-000019,2025-09-01,9,-0.027,0.2,-0.186,-0.111,0.074,-0.095,-0.143,0.147
P-000019,2025-10-01,10,-0.0,-0.1,0.439,0.092,0.133,0.007,0.243,0.048
P-000019,2025-11-01,11,-0.049,0.2,-0.097,-0.298,0.094,-0.033,-0.139,0.16
P-000019,2025-12-01,12,-0.073,-0.1,-0.022,0.207,0.094,0.125,0.124,0.231
P-000020,2025-01-01,1,-0.0,-0.1,-0.499,0.076,0.083,0.046,-0.126,0.192
P-000020,2025-02-01,2,-0.0,-0.1,0.125,-0.144,0.029,-0.057,0.046,0.27
P-000020,2025-03-01,3,-0.018,-0.1,0.533,0.33,0.039,0.17,0.04,0.123
P-000020,2025-04-01,4,-0.035,-0.1,-0.205,-0.158,0.017,-0.087,-0.019,0.174
P-000020,2025-05-01,5,-0.025,0.2,-0.051,-0.207,0.042,-0.033,-0.055,0.14
P-000020,2025-06-01,6,-0.0,-0.1,-0.002,0.116,0.024,0.046,-0.012,0.146
P-000020,2025-07-01,7,-0.0,0.2,0.048,0.136,0.065,0.068,-0.127,0.179
P-000020,2025-08-01,8,-0.102,-0.1,0.074,0.126,0.038,0.058,-0.065,0.125
P-000020,2025-09-01,9,-0.0,0.2,-0.013,-0.064,0.01,0.039,0.02,0.198
P-000020,2025-10-01,10,-0.008,-0.1,-0.085,-0.111,0.015,0.06,0.003,0.043
P-000020,2025-11-01,11,-0.079,-0.1,0.143,0.136,0.031,0.027,0.042,0.062
P-000020,2025-12-01,12,-0.05,0.2,-0.039,0.088,0.002,0.029,-0.0,0.285
P-000021,2025-01-01,1,-0.0,-0.1,-0.185,-0.025,0.045,-0.026,0.084,0.04
P-000021,2025-02-01,2,-0.0,0.2,-0.038,0.134,0.015,0.072,0.024,0.053
P-000021,2025-03-01,3,-0.072,-0.1,-0.015,0.018,0.067,-0.029,0.119,-0.016
P-000021,2025-04-01,4,-0.102,-0.1,1.878,-0.233,0.429,-0.157,0.662,-0.877
P-000021,2025-05-01,5,-0.0,-0.1,-0.018,-0.094,0.31,-0.017,0.614,-1.0
P-000021,2025-06-01,6,-0.0,-0.1,0.023,0.131,0.363,0.031,0.705,-0.885
P-000021,2025-07-01,7,-0.0,0.2,-0.108,0.047,0.45,-0.003,0.871,-0.607
P-000021,2025-08-01,8,-0.017,-0.1,0.282,-0.057,0.365,-0.002,0.723,-1.0
P-000021,2025-09-01,9,-0.016,0.2,-0.723,0.141,0.136,0.14,0.108,0.051
P-000021,2025-10-01,10,-0.084,-0.1,0.346,0.209,0.089,0.071,0.162,-0.006
P-000021,2025-11-01,11,-0.0,0.2,-0.21,-0.218,0.035,-0.092,0.01,0.054
P-000021,2025-12-01,12,-0.0,-0.1,-0.096,0.179,0.042,0.119,0.01,0.11
P-000022,2025-01-01,1,-0.0,-0.1,-0.374,-0.18,0.017,-0.138,-0.019,0.218
P-000022,2025-02-01,2,-0.07,-0.1,0.123,0.261,0.038,0.068,0.048,0.127
P-000022,2025-03-01,3,-0.026,-0.1,0.122,-0.183,0.029,-0.043,0.029,0.035
P-000022,2025-04-01,4,-0.001,-0.1,-0.219,0.287,0.009,0.089,-0.018,0.062
P-000022,2025-05-01,5,-0.0,-0.1,0.036,0.067,0.054,-0.046,-0.071,0.057
P-000022,2025-06-01,6,-0.0,-0.1,-0.113,-0.11,0.104,-0.071,0.161,0.152
P-000022,2025-07-01,7,-0.04,-0.1,-0.178,-0.025,0.066,0.08,-0.124,0.213
P-000022,2025-08-01,8,-0.021,0.2,0.98,0.019,0.071,-0.095,0.118,0.056
P-000022,2025-09-01,9,-0.023,-0.1,-0.337,0.136,0.031,0.042,-0.03,0.082
P-000022,2025-10-01,10,-0.034,0.2,0.199,-0.119,0.059,-0.032,0.116,0.124
P-000022,2025-11-01,11,-0.054,-0.1,-0.405,0.034,0.056,0.01,-0.084,0.218
P-000022,2025-12-01,12,-0.0,0.2,0.672,-0.159,0.109,-0.063,0.152,0.171
P-000023,2025-01-01,1,-0.0,-0.1,-0.058,0.029,0.079,-0.045,0.114,0.195
P-000023,2025-02-01,2,-0.0,-0.1,-0.283,0.115,0.071,0.028,0.104,0.271
P-000023,2025-03-01,3,-0.081,0.2,0.217,-0.118,0.022,-0.075,-0.008,0.121
P-000023,2025-04-01,4,-0.014,-0.1,-0.352,0.015,0.047,0.042,0.009,0.239
P-000023,2025-05-01,5,-0.0,-0.1,0.475,0.106,0.103,0.027,0.137,0.154
P-000023,2025-06-01,6,-0.014,0.2,-0.245,-0.189,0.044,-0.062,-0.083,0.178
P-000023,2025-07-01,7,-0.011,-0.1,0.074,0.047,0.053,0.116,-0.095,0.1
P-000023,2025-08-01,8,-0.018,0.2,0.11,0.138,0.046,0.057,0.089,0.127
P-000023,2025-09-01,9,-0.0,-0.1,-0.023,-0.229,0.045,-0.128,0.081,0.156
P-000023,2025-10-01,10,-0.0,0.2,-0.033,0.432,0.036,0.266,0.025,0.209
P-000023,2025-11-01,11,-0.035,-0.1,0.17,-0.263,0.013,-0.083,0.001,0.211
P-000023,2025-12-01,12,-0.0,-0.1,0.127,-0.027,0.098,-0.093,-0.143,-0.01
P-000024,2025-01-01,1,-0.001,-0.1,-0.251,-0.14,0.06,-0.097,-0.074,0.064
P-000024,2025-02-01,2,-0.011,0.2,-0.084,0.093,0.049,0.083,0.048,0.259
