personnel_id,date,month_idx,attendance_change,leave_frequency_change,workload_change,sleep_change,routine_deviation,performance_change,schedule_change,recovery_change
P-000002,2025-12-01,12,-0.0,0.2,0.503,0.45,0.167,0.224,-0.172,0.138
P-000003,2025-01-01,1,-0.0,-0.1,-0.055,0.03,0.072,0.161,-0.121,0.128
P-000003,2025-02-01,2,-0.0,0.2,-0.478,-0.002,0.194,0.071,-0.14,0.197
P-000003,2025-03-01,3,-0.0,-0.1,4.82,-0.354,0.56,-0.13,0.953,-0.449
P-000003,2025-04-01,4,-0.0,-0.1,-0.106,0.22,0.453,-0.023,0.988,-0.36
P-000003,2025-05-01,5,-0.201,-0.1,0.196,-0.148,0.426,-0.028,1.039,-0.688
P-000003,2025-06-01,6,-0.0,-0.1,-0.101,-0.207,0.456,0.071,0.711,-0.456
P-000003,2025-07-01,7,-0.085,-0.1,0.038,0.339,0.455,-0.011,0.982,-0.795
P-000003,2025-08-01,8,-0.0,0.2,0.125,-0.073,0.429,-0.035,0.854,-0.68
P-000003,2025-09-01,9,-0.11,-0.1,-0.205,0.297,0.358,0.072,0.841,-0.56
P-000003,2025-10-01,10,-0.0,-0.1,-0.734,-0.118,0.225,-0.029,-0.076,0.398
P-000003,2025-11-01,11,-0.096,0.2,-0.14,0.138,0.147,0.096,-0.033,0.109
P-000003,2025-12-01,12,-0.059,-0.1,0.364,-0.101,0.091,-0.135,-0.198,0.322
P-000004,2025-01-01,1,-0.0,-0.1,-0.542,0.065,0.013,0.112,0.015,0.091
P-000004,2025-02-01,2,-0.0,-0.1,0.191,-0.091,0.16,0.009,-0.069,0.013
P-000004,2025-03-01,3,-0.024,-0.1,0.441,-0.005,0.046,-0.063,0.031,0.135
P-000004,2025-04-01,4,-0.015,-0.1,2.621,-0.215,0.62,-0.087,1.059,-0.696
P-000004,2025-05-01,5,-0.108,-0.1,-0.13,-0.052,0.407,-0.029,0.877,-0.591
P-000004,2025-06-01,6,-0.019,-0.1,0.141,0.229,0.516,0.136,0.898,-0.722
P-000004,2025-07-01,7,-0.026,-0.1,0.038,-0.175,0.353,0.039,0.859,-0.744
P-000004,2025-08-01,8,-0.0,-0.1,0.017,-0.129,0.49,-0.003,0.892,-0.634
P-000004,2025-09-01,9,-0.0,-0.1,-0.09,0.657,0.495,0.037,0.881,-0.58
P-000004,2025-10-01,10,-0.0,-0.1,0.096,-0.299,0.402,0.005,0.939,-0.51
P-000004,2025-11-01,11,-0.0,-0.1,-0.032,-0.128,0.294,-0.099,0.726,-0.596
P-000004,2025-12-01,12,-0.057,-0.1,-0.715,0.095,0.203,0.087,0.101,0.243
P-000005,2025-01-01,1,-0.005,-0.1,-0.262,0.002,0.045,0.069,-0.067,0.148
P-000005,2025-02-01,2,-0.018,0.2,-0.199,0.03,0.053,0.08,0.003,0.213
P-000005,2025-03-01,3,-0.0,-0.1,-0.183,-0.15,0.061,-0.011,-0.129,0.154
P-000005,2025-04-01,4,-0.0,-0.1,0.225,0.072,0.096,-0.038,-0.176,0.367
P-000005,2025-05-01,5,-0.109,-0.1,-0.038,0.1,0.136,0.201,-0.048,0.036
P-000005,2025-06-01,6,-0.011,-0.1,-0.069,-0.199,0.029,-0.021,-0.023,0.053
P-000005,2025-07-01,7,-0.154,0.2,-0.098,0.222,0.066,0.175,0.071,0.265
P-000005,2025-08-01,8,-0.0,-0.1,0.666,-0.177,0.016,-0.205,0.004,0.007
P-000005,2025-09-01,9,-0.137,0.2,-0.218,0.224,0.158,0.147,-0.134,-0.108
P-000005,2025-10-01,10,-0.0,-0.1,-0.049,0.033,0.15,0.131,-0.019,0.21
P-000005,2025-11-01,11,-0.0,-0.1,0.323,0.105,0.125,0.025,0.009,0.062
P-000005,2025-12-01,12,-0.0,-0.1,-0.223,-0.097,0.203,-0.039,0.154,0.369
P-000006,2025-01-01,1,-0.0,-0.1,-0.307,0.078,0.151,0.008,-0.055,0.301
P-000006,2025-02-01,2,-0.02,-0.1,0.257,-0.188,0.159,0.034,-0.091,0.318
P-000006,2025-03-01,3,-0.039,-0.1,-0.027,0.188,0.06,0.056,-0.028,0.209
P-000006,2025-04-01,4,-0.069,-0.1,2.051,-0.396,0.37,-0.25,0.429,-0.811
P-000006,2025-05-01,5,-0.0,0.2,-0.754,0.564,0.135,0.368,-0.11,0.216
P-000006,2025-06-01,6,-0.0,-0.1,-0.189,0.104,0.134,0.135,0.081,0.205
P-000006,2025-07-01,7,-0.038,-0.1,0.115,-0.166,0.139,-0.111,0.099,0.2
P-000006,2025-08-01,8,-0.0,-0.1,0.06,-0.029,0.167,-0.013,-0.049,0.153
P-000006,2025-09-01,9,-0.0,-0.1,0.033,0.101,0.17,0.1,-0.104,0.238
P-000006,2025-10-01,10,-0.078,-0.1,-0.082,-0.009,0.115,-0.02,-0.146,0.217
P-000006,2025-11-01,11,-0.0,-0.1,-0.092,0.092,0.078,-0.021,0.034,0.233
P-000006,2025-12-01,12,-0.0,0.2,0.462,-0.244,0.107,0.055,0.035,0.15
P-000007,2025-01-01,1,-0.0,-0.1,-0.513,-0.02,0.197,0.108,-0.212,0.234
P-000007,2025-02-01,2,-0.0,-0.1,0.479,-0.101,0.059,-0.013,-0.102,0.03
P-000007,2025-03-01,3,-0.074,-0.1,0.074,0.102,0.105,0.044,-0.004,0.259
P-000007,2025-04-01,4,-0.089,-0.1,3.008,-0.16,0.568,0.024,0.912,-0.495
P-000007,2025-05-01,5,-0.0,-0.1,-0.139,-0.155,0.479,-0.039,0.813,-0.667
P-000007,2025-06-01,6,-0.084,-0.1,0.032,0.013,0.29,-0.087,0.446,-0.698
P-000007,2025-07-01,7,-0.0,-0.1,0.016,-0.232,0.353,-0.181,0.855,-0.449
P-000007,2025-08-01,8,-0.0,-0.1,0.035,0.46,0.392,0.215,0.766,-0.555
P-000007,2025-09-01,9,-0.043,0.2,-0.089,-0.41,0.425,-0.285,0.74,-0.559
P-000007,2025-10-01,10,-0.006,-0.1,-0.064,0.328,0.463,0.077,0.708,-0.699
P-000007,2025-11-01,11,-0.071,-0.1,0.173,0.136,0.389,-0.104,0.743,-0.886
P-000007,2025-12-01,12,-0.0,-0.1,-0.73,0.017,0.173,0.051,-0.09,0.038
P-000008,2025-01-01,1,-0.197,-0.1,-0.463,0.147,0.078,0.064,-0.054,0.238
P-000008,2025-02-01,2,-0.046,-0.1,-0.395,0.021,0.123,0.06,-0.07,0.234
P-000008,2025-03-01,3,-0.0,-0.1,0.782,-0.166,0.078,-0.027,-0.084,0.056
P-000008,2025-04-01,4,-0.26,-0.1,2.987,-0.143,0.484,-0.008,0.617,-0.451
P-000008,2025-05-01,5,-0.0,-0.1,-0.73,0.001,0.101,0.065,-0.016,0.317
P-000008,2025-06-01,6,-0.004,0.2,0.165,0.205,0.122,0.185,-0.128,0.077
P-000008,2025-07-01,7,-0.0,-0.1,0.0,0.107,0.157,-0.02,-0.096,0.153
P-000008,2025-08-01,8,-0.0,0.2,-0.14,-0.067,0.15,-0.108,-0.139,0.06
P-000008,2025-09-01,9,-0.029,-0.1,0.356,-0.175,0.187,-0.214,-0.089,0.135
P-000008,2025-10-01,10,-0.0,0.2,-0.35,0.063,0.04,0.033,0.024,0.289
P-000008,2025-11-01,11,-0.099,-0.1,0.222,0.025,0.086,0.114,-0.167,0.188
P-000008,2025-12-01,12,-0.005,-0.1,0.161,-0.025,0.164,-0.041,-0.201,0.291
P-000009,2025-01-01,1,-0.003,0.2,-0.493,0.066,0.11,0.011,0.023,0.33
P-000009,2025-02-01,2,-0.018,-0.1,0.274,0.004,0.117,-0.131,0.053,0.15
P-000009,2025-03-01,3,-0.0,0.2,0.074,-0.015,0.134,0.022,-0.201,0.162
P-000009,2025-04-01,4,-0.0,-0.1,-0.476,0.008,0.105,0.144,-0.105,0.221
P-000009,2025-05-01,5,-0.051,-0.1,4.334,-0.12,0.34,-0.248,0.485,-0.312
P-000009,2025-06-01,6,-0.041,-0.1,-0.651,-0.159,0.253,0.043,-0.046,0.116
P-000009,2025-07-01,7,-0.0,-0.1,0.226,0.246,0.125,0.162,0.129,0.249
P-000009,2025-08-01,8,-0.042,0.2,-0.175,-0.075,0.052,-0.105,0.023,0.034
P-000009,2025-09-01,9,-0.055,-0.1,0.055,0.017,0.145,-0.161,-0.051,0.264
P-000009,2025-10-01,10,-0.005,-0.1,-0.092,-0.159,0.081,-0.09,0.03,0.11
P-000009,2025-11-01,11,-0.0,-0.1,0.158,0.38,0.159,0.23,-0.076,0.226
P-000009,2025-12-01,12,-0.026,0.2,0.085,-0.294,0.099,-0.145,-0.134,0.149
P-000010,2025-01-01,1,-0.007,-0.1,-0.041,-0.139,0.078,-0.065,0.112,-0.003
P-000010,2025-02-01,2,-0.0,-0.1,-0.032,0.109,0.154,0.05,-0.065,0.196
P-000010,2025-03-01,3,-0.0,-0.1,-0.023,0.076,0.149,-0.137,-0.008,-0.008
P-000010,2025-04-01,4,-0.125,-0.1,2.309,-0.35,0.596,-0.193,0.948,-0.53
P-000010,2025-05-01,5,-0.179,0.2,-0.017,-0.07,0.46,-0.092,0.957,-0.578
P-000010,2025-06-01,6,-0.024,-0.1,-0.037,0.04,0.429,0.09,0.861,-0.317
P-000010,2025-07-01,7,-0.0,-0.1,0.008,0.221,0.427,-0.039,0.935,-0.849
P-000010,2025-08-01,8,-0.049,-0.1,-0.019,-0.195,0.369,-0.151,0.736,-0.475
P-000010,2025-09-01,9,-0.0,-0.1,-0.011,0.008,0.34,0.063,0.717,-0.486
P-000010,2025-10-01,10,-0.013,-0.1,-0.12,0.083,0.428,0.205,0.717,-0.57
P-000010,2025-11-01,11,-0.0,-0.1,0.102,-0.223,0.387,0.114,0.738,-0.735
P-000010,2025-12-01,12,-0.041,-0.1,-0.738,0.423,0.198,0.176,-0.133,0.162
P-000011,2025-01-01,1,-0.0,-0.1,-0.13,-0.109,0.165,0.077,-0.068,0.056
P-000011,2025-02-01,2,-0.0,-0.1,-0.077,0.127,0.057,0.223,0.078,0.231
P-000011,2025-03-01,3,-0.03,-0.1,-0.27,0.038,0.208,0.004,0.166,0.332
P-000011,2025-04-01,4,-0.174,-0.1,3.819,-0.245,0.502,-0.027,0.793,-0.701
P-000011,2025-05-01,5,-0.054,0.2,-0.105,-0.359,0.404,-0.119,0.745,-0.438
P-000011,2025-06-01,6,-0.0,-0.1,0.077,0.269,0.453,-0.09,0.923,-0.52
P-000011,2025-07-01,7,-0.112,-0.1,-0.032,-0.173,0.398,0.04,0.729,-0.508
P-000011,2025-08-01,8,-0.0,-0.1,0.23,-0.35,0.376,-0.171,0.802,-0.454
P-000011,2025-09-01,9,-0.002,-0.1,-0.193,0.695,0.405,0.206,0.676,-0.495
P-000011,2025-10-01,10,-0.019,-0.1,0.046,0.043,0.429,-0.148,0.837,-0.553
P-000011,2025-11-01,11,-0.0,-0.1,-0.077,-0.018,0.343,0.026,0.696,-0.49
P-000011,2025-12-01,12,-0.0,-0.1,-0.663,0.09,0.196,0.228,-0.032,0.415
P-000012,2025-01-01,1,-0.0,0.2,-0.377,0.07,0.158,0.018,0.022,0.244
P-000012,2025-02-01,2,-0.015,-0.1,0.088,-0.051,0.069,-0.258,-0.118,0.315
P-000012,2025-03-01,3,-0.0,-0.1,-0.12,-0.095,0.055,-0.079,0.046,0.055
P-000012,2025-04-01,4,-0.0,-0.1,3.225,-0.029,0.533,-0.069,0.712,-0.515
P-000012,2025-05-01,5,-0.09,-0.1,-0.154,-0.076,0.345,0.049,0.521,-0.354
P-000012,2025-06-01,6,-0.131,-0.1,-0.711,0.031,0.237,-0.03,-0.19,0.198
P-000012,2025-07-01,7,-0.005,-0.1,-0.137,0.083,0.174,0.236,-0.134,0.213
P-000012,2025-08-01,8,-0.0,-0.1,0.1,-0.137,0.205,-0.048,-0.188,0.154
P-000012,2025-09-01,9,-0.01,-0.1,-0.015,0.346,0.188,0.068,-0.091,0.231
P-000012,2025-10-01,10,-0.186,0.2,0.611,-0.071,0.038,0.064,-0.044,0.1
P-000012,2025-11-01,11,-0.0,-0.1,-0.453,0.258,0.152,0.133,0.128,0.282
P-000012,2025-12-01,12,-0.064,0.2,-0.075,-0.31,0.1,-0.159,-0.085,0.308
P-000013,2025-01-01,1,-0.155,-0.1,-0.514,-0.01,0.038,0.162,0.022,0.277
P-000013,2025-02-01,2,-0.0,-0.1,0.988,-0.184,0.207,-0.013,-0.092,0.269
P-000013,2025-03-01,3,-0.032,-0.1,-0.647,0.321,0.075,0.126,-0.062,0.382
P-000013,2025-04-01,4,-0.033,-0.1,0.821,0.059,0.09,-0.181,-0.01,0.12
P-000013,2025-05-01,5,-0.0,0.2,0.133,-0.107,0.196,-0.093,0.11,0.261
P-000013,2025-06-01,6,-0.0,-0.1,0.032,-0.092,0.091,-0.144,-0.132,0.193
P-000013,2025-07-01,7,-0.0,0.2,0.003,0.085,0.185,0.005,-0.136,0.196
P-000013,2025-08-01,8,-0.0,-0.1,0.403,-0.094,0.17,-0.063,0.104,0.084
P-000013,2025-09-01,9,-0.183,-0.1,-0.311,-0.032,0.166,-0.188,0.146,0.129
P-000013,2025-10-01,10,-0.0,0.2,0.313,0.15,0.177,0.108,-0.024,0.171
P-000013,2025-11-01,11,-0.042,-0.1,-0.295,0.02,0.092,0.098,0.031,0.086
P-000013,2025-12-01,12,-0.0,-0.1,-0.072,0.077,0.078,-0.059,0.053,0.005
P-000014,2025-01-01,1,-0.0,0.2,-0.118,-0.183,0.113,0.037,-0.048,0.235
P-000014,2025-02-01,2,-0.0,-0.1,-0.204,0.002,0.053,-0.086,0.053,0.139
P-000014,2025-03-01,3,-0.0,-0.1,0.092,0.301,0.157,0.154,-0.062,-0.102
P-000014,2025-04-01,4,-0.0,-0.1,2.257,-0.377,0.497,-0.059,0.763,-0.602
P-000014,2025-05-01,5,-0.0,-0.1,-0.06,0.325,0.379,0.037,0.644,-0.623
P-000014,2025-06-01,6,-0.0,-0.1,-0.778,0.154,0.214,-0.067,-0.042,0.241
P-000014,2025-07-01,7,-0.074,0.2,0.303,-0.044,0.117,-0.018,-0.108,0.217
P-000014,2025-08-01,8,-0.119,-0.1,-0.107,0.005,0.123,-0.058,-0.219,0.218
P-000014,2025-09-01,9,-0.0,0.2,0.69,-0.05,0.128,0.008,0.136,0.238
P-000014,2025-10-01,10,-0.01,-0.1,-0.329,-0.119,0.174,0.028,0.081,0.126
P-000014,2025-11-01,11,-0.0,-0.1,-0.107,0.308,0.165,0.254,-0.108,0.222
P-000014,2025-12-01,12,-0.0,-0.1,0.384,-0.046,0.05,0.02,-0.004,0.152
P-000015,2025-01-01,1,-0.074,0.2,-0.294,0.051,0.077,0.002,-0.088,0.08
P-000015,2025-02-01,2,-0.068,-0.1,-0.173,0.001,0.119,0.051,-0.01,0.098
P-000015,2025-03-01,3,-0.108,-0.1,0.455,-0.061,0.148,0.018,0.059,0.224
P-000015,2025-04-01,4,-0.067,-0.1,1.926,-0.016,0.375,-0.076,0.627,-0.764
P-000015,2025-05-01,5,-0.0,-0.1,0.149,-0.27,0.339,-0.052,0.759,-0.475
P-000015,2025-06-01,6,-0.0,-0.1,-0.11,0.163,0.353,0.147,0.664,-0.532
P-000015,2025-07-01,7,-0.0,-0.1,-0.083,0.299,0.408,0.116,0.783,-0.624
P-000015,2025-08-01,8,-0.0,-0.1,0.199,-0.4,0.387,-0.359,0.842,-0.62
P-000015,2025-09-01,9,-0.0,-0.1,-0.769,0.308,0.144,0.104,-0.014,0.172
P-000015,2025-10-01,10,-0.0,-0.1,-0.074,0.153,0.172,-0.015,-0.016,0.267
P-000015,2025-11-01,11,-0.0,0.2,-0.1,0.075,0.169,-0.012,-0.04,0.197
P-000015,2025-12-01,12,-0.101,-0.1,0.452,0.001,0.133,-0.079,-0.054,0.357
P-000016,2025-01-01,1,-0.063,-0.1,-0.284,0.08,0.134,0.024,-0.151,0.25
P-000016,2025-02-01,2,-0.0,-0.1,2.596,-0.083,0.506,-0.117,0.89,-0.298
P-000016,2025-03-01,3,-0.012,0.2,0.107,-0.274,0.443,-0.127,0.745,-0.845
P-000016,2025-04-01,4,-0.07,-0.1,0.029,-0.02,0.433,0.028,0.892,-0.646
P-000016,2025-05-01,5,-0.028,-0.1,-0.059,-0.006,0.434,-0.171,0.859,-0.561
P-000016,2025-06-01,6,-0.0,0.2,-0.731,0.102,0.176,0.152,-0.12,0.157
P-000016,2025-07-01,7,-0.045,-0.1,0.106,0.36,0.079,0.095,0.059,0.158
P-000016,2025-08-01,8,-0.044,-0.1,-0.466,-0.052,0.104,0.07,0.016,0.069
P-000016,2025-09-01,9,-0.0,-0.1,0.349,0.004,0.157,0.097,-0.142,0.096
P-000016,2025-10-01,10,-0.0,0.2,-0.089,-0.108,0.123,0.058,-0.192,0.247
P-000016,2025-11-01,11,-0.0,-0.1,0.154,-0.147,0.026,-0.046,-0.006,0.213
P-000016,2025-12-01,12,-0.057,-0.1,0.559,0.153,0.169,0.064,-0.231,0.245
P-000017,2025-01-01,1,-0.023,-0.1,-0.221,-0.111,0.061,-0.199,0.01,0.23
P-000017,2025-02-01,2,-0.143,0.2,-0.304,0.328,0.159,0.015,-0.05,0.185
P-000017,2025-03-01,3,-0.0,-0.1,0.212,-0.397,0.132,-0.047,0.015,0.07
P-000017,2025-04-01,4,-0.149,-0.1,2.993,0.259,0.542,0.002,0.773,-0.683
P-000017,2025-05-01,5,-0.0,-0.1,-0.044,-0.255,0.329,-0.122,0.704,-0.237
P-000017,2025-06-01,6,-0.0,-0.1,-0.056,0.045,0.377,-0.091,0.722,-0.458
P-000017,2025-07-01,7,-0.104,-0.1,-0.015,0.253,0.346,0.098,0.539,-0.738
P-000017,2025-08-01,8,-0.053,-0.1,0.024,-0.381,0.318,-0.16,0.667,-0.498
P-000017,2025-09-01,9,-0.0,-0.1,-0.775,0.665,0.18,0.281,0.027,0.221
P-000017,2025-10-01,10,-0.0,-0.1,0.016,-0.227,0.102,0.0,-0.084,0.254
P-000017,2025-11-01,11,-0.0,-0.1,0.195,0.008,0.144,-0.049,-0.083,0.183
P-000017,2025-12-01,12,-0.014,0.2,0.125,0.07,0.153,0.074,-0.015,0.139
P-000018,2025-01-01,1,-0.005,0.2,-0.404,-0.014,0.099,-0.018,-0.096,0.185
P-000018,2025-02-01,2,-0.0,-0.1,0.22,0.141,0.104,0.065,-0.036,0.205
P-000018,2025-03-01,3,-0.0,-0.1,-0.469,-0.021,0.139,0.01,-0.157,0.155
P-000018,2025-04-01,4,-0.0,0.2,1.3,0.038,0.103,-0.101,0.141,0.036
P-000018,2025-05-01,5,-0.0,-0.1,-0.247,-0.011,0.147,-0.242,-0.091,0.069
P-000018,2025-06-01,6,-0.0,-0.1,0.396,-0.134,0.147,0.009,-0.019,0.059
P-000018,2025-07-01,7,-0.089,-0.1,-0.177,-0.043,0.052,0.027,-0.067,0.05
P-000018,2025-08-01,8,-0.05,-0.1,0.229,0.016,0.149,-0.039,-0.045,0.154
P-000018,2025-09-01,9,-0.0,-0.1,-0.321,-0.04,0.116,0.025,-0.151,0.229
P-000018,2025-10-01,10,-0.039,-0.1,-0.093,0.173,0.202,0.01,0.063,0.123
P-000018,2025-11-01,11,-0.0,-0.1,0.588,0.028,0.039,0.167,0.054,0.027
P-000018,2025-12-01,12,-0.065,-0.1,-0.175,-0.134,0.138,0.25,-0.11,-0.045
P-000019,2025-01-01,1,-0.069,-0.1,-0.489,0.088,0.097,-0.027,0.051,0.263
P-000019,2025-02-01,2,-0.033,-0.1,0.386,-0.198,0.178,-0.251,0.017,0.304
P-000019,2025-03-01,3,-0.078,0.2,-0.163,0.114,0.227,0.033,-0.187,0.168
P-000019,2025-04-01,4,-0.023,-0.1,0.217,0.135,0.069,0.028,0.118,0.341
P-000019,2025-05-01,5,-0.005,-0.1,-0.159,-0.118,0.135,-0.15,0.118,0.241
P-000019,2025-06-01,6,-0.068,-0.1,3.63,-0.266,0.603,-0.019,0.809,-0.841
P-000019,2025-07-01,7,-0.0,-0.1,-0.098,0.271,0.414,0.09,0.799,-0.464
P-000019,2025-08-01,8,-0.0,-0.1,-0.731,0.202,0.167,-0.009,-0.086,0.271
P-000019,2025-09-01,9,-0.0,-0.1,0.151,-0.288,0.159,-0.123,-0.14,0.162
P-000019,2025-10-01,10,-0.0,0.2,-0.367,0.274,0.097,-0.05,-0.034,0.102
P-000019,2025-11-01,11,-0.0,-0.1,0.516,0.1,0.21,-0.089,-0.1,0.287
P-000019,2025-12-01,12,-0.067,-0.1,0.062,-0.088,0.18,-0.0,-0.132,0.214
P-000020,2025-01-01,1,-0.017,-0.1,-0.438,-0.085,0.116,0.08,-0.068,0.093
P-000020,2025-02-01,2,-0.0,-0.1,0.105,-0.069,0.022,-0.167,0.017,0.365
P-000020,2025-03-01,3,-0.049,-0.1,0.194,0.206,0.18,0.08,-0.049,0.25
P-000020,2025-04-01,4,-0.068,-0.1,2.357,-0.332,0.411,-0.221,0.645,-0.381
P-000020,2025-05-01,5,-0.111,-0.1,0.293,0.022,0.539,0.008,0.865,-0.618
P-000020,2025-06-01,6,-0.185,0.2,0.006,-0.182,0.436,-0.016,0.774,-0.661
P-000020,2025-07-01,7,-0.075,-0.1,-0.071,-0.221,0.403,-0.139,0.879,-0.607
P-000020,2025-08-01,8,-0.195,-0.1,0.002,0.365,0.549,0.096,0.974,-0.613
P-000020,2025-09-01,9,-0.0,-0.1,-0.041,-0.053,0.44,0.14,0.732,-0.494
P-000020,2025-10-01,10,-0.0,-0.1,-0.18,-0.043,0.493,-0.09,0.793,-0.399
P-000020,2025-11-01,11,-0.053,-0.1,0.084,-0.198,0.48,-0.216,0.825,-0.532
P-000020,2025-12-01,12,-0.0,-0.1,-0.716,0.508,0.256,0.302,0.077,0.222
P-000021,2025-01-01,1,-0.0,-0.1,-0.361,0.006,0.107,-0.003,-0.159,0.291
P-000021,2025-02-01,2,-0.0,-0.1,-0.018,0.009,0.084,0.12,-0.087,0.339
P-000021,2025-03-01,3,-0.0,0.2,-0.135,-0.013,0.068,-0.373,-0.03,0.255
P-000021,2025-04-01,4,-0.075,-0.1,4.257,-0.064,0.721,0.01,0.98,-0.44
P-000021,2025-05-01,5,-0.03,-0.1,0.145,-0.247,0.488,-0.193,1.022,-0.711
P-000021,2025-06-01,6,-0.0,-0.1,-0.209,-0.046,0.455,0.055,0.821,-0.603
P-000021,2025-07-01,7,-0.0,-0.1,0.198,-0.141,0.399,-0.042,0.866,-0.793
P-000021,2025-08-01,8,-0.0,-0.1,-0.096,0.283,0.489,0.069,0.919,-0.798
P-000021,2025-09-01,9,-0.0,-0.1,0.144,-0.664,0.294,-0.295,0.569,-0.751
P-000021,2025-10-01,10,-0.122,-0.1,-0.17,2.047,0.395,0.5,0.802,-0.571
P-000021,2025-11-01,11,-0.042,-0.1,0.192,-0.237,0.361,0.022,0.85,-0.654
P-000021,2025-12-01,12,-0.015,-0.1,-0.806,0.325,0.173,0.218,-0.078,0.111
P-000022,2025-01-01,1,-0.011,-0.1,-0.305,-0.131,0.114,0.064,0.047,0.231
P-000022,2025-02-01,2,-0.232,-0.1,3.166,-0.376,0.523,-0.058,0.68,-0.4
P-000022,2025-03-01,3,-0.153,-0.1,0.011,0.037,0.446,0.01,0.832,-0.506
P-000022,2025-04-01,4,-0.069,-0.1,-0.074,0.45,0.394,0.145,0.713,-0.581
P-000022,2025-05-01,5,-0.018,-0.1,0.031,-0.163,0.412,0.061,0.688,-0.656
P-000022,2025-06-01,6,-0.0,0.2,-0.754,0.364,0.214,0.29,0.159,0.175
P-000022,2025-07-01,7,-0.0,-0.1,-0.05,0.084,0.151,0.117,-0.181,0.075
P-000022,2025-08-01,8,-0.059,-0.1,0.316,0.053,0.105,-0.001,0.164,0.105
P-000022,2025-09-01,9,-0.021,0.2,-0.264,-0.051,0.081,-0.136,0.129,0.214
P-000022,2025-10-01,10,-0.0,-0.1,0.288,0.008,0.181,0.024,0.055,0.225
P-000022,2025-11-01,11,-0.0,-0.1,-0.325,-0.13,0.05,0.026,0.002,0.115
P-000022,2025-12-01,12,-0.056,-0.1,0.337,0.057,0.078,0.045,0.002,-0.002
P-000023,2025-01-01,1,-0.0,-0.1,-0.404,0.042,0.11,-0.041,-0.013,0.056
P-000023,2025-02-01,2,-0.031,-0.1,0.344,-0.055,0.099,-0.008,0.016,0.037
P-000023,2025-03-01,3,-0.077,0.2,-0.529,0.192,0.168,0.132,0.078,0.292
P-000023,2025-04-01,4,-0.0,-0.1,0.798,-0.04,0.124,0.029,-0.027,0.32
P-000023,2025-05-01,5,-0.0,0.2,0.102,-0.149,0.119,-0.086,0.151,0.127
P-000023,2025-06-01,6,-0.036,-0.1,-0.227,0.04,0.134,-0.125,0.109,0.13
P-000023,2025-07-01,7,-0.0,0.2,-0.117,-0.033,0.142,0.1,-0.116,0.341
P-000023,2025-08-01,8,-0.0,-0.1,0.195,-0.028,0.148,-0.143,0.045,0.188
P-000023,2025-09-01,9,-0.004,0.2,-0.082,-0.146,0.17,-0.228,0.066,0.283
P-000023,2025-10-01,10,-0.002,-0.1,-0.153,0.304,0.164,0.099,-0.121,0.051
P-000023,2025-11-01,11,-0.0,0.2,0.281,-0.138,0.143,0.028,-0.186,0.212
P-000023,2025-12-01,12,-0.013,-0.1,0.149,0.165,0.061,-0.104,-0.103,0.066
