personnel_id,deployment_id,month_idx,date,start_date,end_date,deployment_duration_days,deployment_type,operational_intensity,hardship_level,recovery_required,location_category
P-000034,DEP-0000093,5,2025-05-01,2025-05-03,2025-05-25,22,High Tempo,4,4,True,Remote/Difficult Terrain
P-000035,DEP-0000094,6,2025-06-01,2025-06-05,2025-06-25,20,High Tempo,4,3,True,Semi-Urban Outpost
P-000035,DEP-0000095,7,2025-07-01,2025-07-03,2025-07-28,25,High Tempo,4,3,True,Semi-Urban Outpost
P-000036,DEP-0000096,4,2025-04-01,2025-04-02,2025-04-26,24,High Tempo,5,4,True,High Altitude/Extreme
P-000036,DEP-0000097,5,2025-05-01,2025-05-02,2025-05-25,23,High Tempo,5,5,True,Remote/Difficult Terrain
P-000036,DEP-0000098,6,2025-06-01,2025-06-03,2025-06-24,21,Extended,5,5,True,High Altitude/Extreme
P-000036,DEP-0000099,7,2025-07-01,2025-07-03,2025-07-25,22,High Tempo,4,4,True,Remote/Difficult Terrain
P-000036,DEP-0000100,8,2025-08-01,2025-08-03,2025-08-25,22,Extended,4,4,True,Remote/Difficult Terrain
P-000036,DEP-0000101,9,2025-09-01,2025-09-05,2025-09-27,22,High Tempo,5,4,True,Remote/Difficult Terrain
P-000036,DEP-0000102,10,2025-10-01,2025-10-05,2025-10-25,20,Extended,5,5,True,High Altitude/Extreme
P-000036,DEP-0000103,11,2025-11-01,2025-11-02,2025-11-27,25,High Tempo,5,4,True,Remote/Difficult Terrain
P-000037,DEP-0000104,4,2025-04-01,2025-04-02,2025-04-27,25,Routine,3,1,False,Urban Base
P-000037,DEP-0000105,5,2025-05-01,2025-05-04,2025-05-27,23,Routine,3,1,False,Semi-Urban Outpost
P-000039,DEP-0000106,3,2025-03-01,2025-03-05,2025-03-27,22,Extended,3,4,True,High Altitude/Extreme
P-000039,DEP-0000107,4,2025-04-01,2025-04-02,2025-04-24,22,Extended,3,4,True,Remote/Difficult Terrain
P-000039,DEP-0000108,5,2025-05-01,2025-05-05,2025-05-27,22,Extended,4,5,True,High Altitude/Extreme
P-000039,DEP-0000109,6,2025-06-01,2025-06-05,2025-06-26,21,Extended,3,4,True,Remote/Difficult Terrain
P-000039,DEP-0000110,7,2025-07-01,2025-07-03,2025-07-23,20,Extended,3,4,True,Remote/Difficult Terrain
P-000039,DEP-0000111,8,2025-08-01,2025-08-04,2025-08-24,20,Extended,3,5,True,High Altitude/Extreme
P-000039,DEP-0000112,9,2025-09-01,2025-09-03,2025-09-25,22,Extended,4,5,True,High Altitude/Extreme
P-000040,DEP-0000113,5,2025-05-01,2025-05-03,2025-05-25,22,Routine,2,1,False,Semi-Urban Outpost
P-000041,DEP-0000114,4,2025-04-01,2025-04-03,2025-04-26,23,Routine,2,2,False,Urban Base
P-000043,DEP-0000115,5,2025-05-01,2025-05-02,2025-05-28,26,Routine,2,1,False,Semi-Urban Outpost
P-000044,DEP-0000116,2,2025-02-01,2025-02-02,2025-02-25,23,High Tempo,4,4,True,Remote/Difficult Terrain
P-000044,DEP-0000117,3,2025-03-01,2025-03-05,2025-03-26,21,High Tempo,4,4,True,Remote/Difficult Terrain
P-000044,DEP-0000118,4,2025-04-01,2025-04-03,2025-04-27,24,High Tempo,4,4,True,Remote/Difficult Terrain
P-000044,DEP-0000119,5,2025-05-01,2025-05-05,2025-05-26,21,High Tempo,4,4,True,Remote/Difficult Terrain
P-000045,DEP-0000120,4,2025-04-01,2025-04-04,2025-04-27,23,Routine,3,2,False,Urban Base
P-000046,DEP-0000121,3,2025-03-01,2025-03-05,2025-03-23,18,Extended,4,5,True,High Altitude/Extreme
P-000046,DEP-0000122,4,2025-04-01,2025-04-02,2025-04-23,21,Extended,4,4,True,High Altitude/Extreme
P-000046,DEP-0000123,5,2025-05-01,2025-05-04,2025-05-23,19,Extended,3,4,True,High Altitude/Extreme
P-000046,DEP-0000124,6,2025-06-01,2025-06-03,2025-06-28,25,Extended,4,5,True,Remote/Difficult Terrain
P-000046,DEP-0000125,7,2025-07-01,2025-07-05,2025-07-25,20,Extended,4,4,True,High Altitude/Extreme
P-000046,DEP-0000126,8,2025-08-01,2025-08-05,2025-08-24,19,Extended,4,5,True,Remote/Difficult Terrain
P-000046,DEP-0000127,9,2025-09-01,2025-09-05,2025-09-28,23,Extended,4,5,True,High Altitude/Extreme
P-000048,DEP-0000128,4,2025-04-01,2025-04-03,2025-04-25,22,High Tempo,4,4,True,Remote/Difficult Terrain
P-000048,DEP-0000129,5,2025-05-01,2025-05-04,2025-05-24,20,High Tempo,3,4,True,Semi-Urban Outpost
P-000048,DEP-0000130,6,2025-06-01,2025-06-05,2025-06-27,22,High Tempo,4,4,True,Remote/Difficult Terrain
P-000048,DEP-0000131,7,2025-07-01,2025-07-04,2025-07-28,24,High Tempo,4,3,True,Remote/Difficult Terrain
P-000048,DEP-0000132,8,2025-08-01,2025-08-05,2025-08-26,21,High Tempo,4,4,True,Semi-Urban Outpost
P-000049,DEP-0000133,4,2025-04-01,2025-04-02,2025-04-26,24,High Tempo,3,4,True,Semi-Urban Outpost
P-000049,DEP-0000134,5,2025-05-01,2025-05-05,2025-05-24,19,High Tempo,3,4,True,Remote/Difficult Terrain
P-000049,DEP-0000135,6,2025-06-01,2025-06-03,2025-06-25,22,High Tempo,4,4,True,Semi-Urban Outpost
P-000049,DEP-0000136,7,2025-07-01,2025-07-05,2025-07-26,21,High Tempo,3,3,False,Remote/Difficult Terrain
P-000049,DEP-0000137,8,2025-08-01,2025-08-04,2025-08-26,22,High Tempo,4,3,True,Remote/Difficult Terrain
P-000051,DEP-0000138,6,2025-06-01,2025-06-02,2025-06-28,26,High Tempo,4,3,True,Semi-Urban Outpost
P-000051,DEP-0000139,7,2025-07-01,2025-07-02,2025-07-27,25,High Tempo,4,3,True,Semi-Urban Outpost
P-000052,DEP-0000140,4,2025-04-01,2025-04-03,2025-04-24,21,High Tempo,5,5,True,High Altitude/Extreme
P-000052,DEP-0000141,5,2025-05-01,2025-05-02,2025-05-28,26,High Tempo,4,5,True,High Altitude/Extreme
P-000052,DEP-0000142,6,2025-06-01,2025-06-02,2025-06-25,23,Extended,4,5,True,Remote/Difficult Terrain
P-000052,DEP-0000143,7,2025-07-01,2025-07-03,2025-07-26,23,High Tempo,5,4,True,High Altitude/Extreme
P-000052,DEP-0000144,8,2025-08-01,2025-08-03,2025-08-26,23,High Tempo,5,5,True,High Altitude/Extreme
P-000052,DEP-0000145,9,2025-09-01,2025-09-05,2025-09-28,23,High Tempo,5,5,True,High Altitude/Extreme
P-000052,DEP-0000146,10,2025-10-01,2025-10-02,2025-10-27,25,High Tempo,4,5,True,High Altitude/Extreme
P-000052,DEP-0000147,11,2025-11-01,2025-11-03,2025-11-26,23,Extended,4,4,True,High Altitude/Extreme
P-000053,DEP-0000148,2,2025-02-01,2025-02-02,2025-02-28,26,High Tempo,4,4,True,Remote/Difficult Terrain
P-000053,DEP-0000149,3,2025-03-01,2025-03-02,2025-03-23,21,High Tempo,4,4,True,Remote/Difficult Terrain
P-000053,DEP-0000150,4,2025-04-01,2025-04-03,2025-04-24,21,High Tempo,4,4,True,Remote/Difficult Terrain
P-000053,DEP-0000151,5,2025-05-01,2025-05-05,2025-05-23,18,High Tempo,4,4,True,Remote/Difficult Terrain
P-000054,DEP-0000152,2,2025-02-01,2025-02-05,2025-02-24,19,High Tempo,4,4,True,Remote/Difficult Terrain
P-000054,DEP-0000153,3,2025-03-01,2025-03-03,2025-03-23,20,High Tempo,4,4,True,Remote/Difficult Terrain
P-000054,DEP-0000154,4,2025-04-01,2025-04-04,2025-04-27,23,High Tempo,4,4,True,Remote/Difficult Terrain
P-000054,DEP-0000155,5,2025-05-01,2025-05-02,2025-05-25,23,High Tempo,4,4,True,Remote/Difficult Terrain
P-000055,DEP-0000156,4,2025-04-01,2025-04-02,2025-04-23,21,High Tempo,4,3,True,Remote/Difficult Terrain
P-000055,DEP-0000157,5,2025-05-01,2025-05-02,2025-05-27,25,High Tempo,4,3,True,Remote/Difficult Terrain
P-000055,DEP-0000158,6,2025-06-01,2025-06-03,2025-06-27,24,High Tempo,3,3,False,Remote/Difficult Terrain
P-000055,DEP-0000159,7,2025-07-01,2025-07-05,2025-07-28,23,High Tempo,3,4,True,Semi-Urban Outpost
P-000055,DEP-0000160,8,2025-08-01,2025-08-02,2025-08-26,24,High Tempo,4,4,True,Remote/Difficult Terrain
P-000056,DEP-0000161,2,2025-02-01,2025-02-02,2025-02-26,24,High Tempo,4,4,True,Remote/Difficult Terrain
P-000056,DEP-0000162,3,2025-03-01,2025-03-04,2025-03-26,22,High Tempo,4,4,True,Remote/Difficult Terrain
P-000056,DEP-0000163,4,2025-04-01,2025-04-04,2025-04-27,23,High Tempo,4,4,True,Remote/Difficult Terrain
P-000056,DEP-0000164,5,2025-05-01,2025-05-04,2025-05-25,21,High Tempo,4,4,True,Remote/Difficult Terrain
P-000057,DEP-0000165,4,2025-04-01,2025-04-02,2025-04-23,21,Routine,2,1,False,Semi-Urban Outpost
P-000057,DEP-0000166,5,2025-05-01,2025-05-04,2025-05-26,22,Routine,2,2,False,Semi-Urban Outpost
P-000058,DEP-0000167,4,2025-04-01,2025-04-03,2025-04-24,21,Routine,3,1,False,Urban Base
P-000058,DEP-0000168,5,2025-05-01,2025-05-02,2025-05-25,23,Routine,3,1,False,Urban Base
P-000059,DEP-0000169,5,2025-05-01,2025-05-04,2025-05-23,19,Routine,3,2,False,Urban Base
P-000061,DEP-0000170,5,2025-05-01,2025-05-05,2025-05-28,23,Routine,2,2,False,Semi-Urban Outpost
P-000062,DEP-0000171,5,2025-05-01,2025-05-04,2025-05-26,22,Routine,2,1,False,Urban Base
P-000063,DEP-0000172,4,2025-04-01,2025-04-03,2025-04-25,22,Extended,5,5,True,Remote/Difficult Terrain
P-000063,DEP-0000173,5,2025-05-01,2025-05-02,2025-05-24,22,Extended,4,4,True,High Altitude/Extreme
P-000063,DEP-0000174,6,2025-06-01,2025-06-04,2025-06-24,20,Extended,5,4,True,Remote/Difficult Terrain
P-000063,DEP-0000175,7,2025-07-01,2025-07-04,2025-07-26,22,High Tempo,4,4,True,Remote/Difficult Terrain
P-000063,DEP-0000176,8,2025-08-01,2025-08-04,2025-08-27,23,Extended,4,5,True,Remote/Difficult Terrain
P-000063,DEP-0000177,9,2025-09-01,2025-09-04,2025-09-28,24,Extended,5,5,True,High Altitude/Extreme
P-000063,DEP-0000178,10,2025-10-01,2025-10-03,2025-10-25,22,Extended,5,4,True,High Altitude/Extreme
P-000063,DEP-0000179,11,2025-11-01,2025-11-05,2025-11-27,22,High Tempo,5,5,True,High Altitude/Extreme
P-000065,DEP-0000180,4,2025-04-01,2025-04-02,2025-04-28,26,Routine,3,1,False,Urban Base
P-000066,DEP-0000181,4,2025-04-01,2025-04-03,2025-04-25,22,High Tempo,3,4,True,Remote/Difficult Terrain
P-000066,DEP-0000182,5,2025-05-01,2025-05-03,2025-05-26,23,High Tempo,4,3,True,Semi-Urban Outpost
P-000066,DEP-0000183,6,2025-06-01,2025-06-05,2025-06-25,20,High Tempo,4,4,True,Remote/Difficult Terrain
P-000066,DEP-0000184,7,2025-07-01,2025-07-05,2025-07-26,21,High Tempo,3,3,False,Semi-Urban Outpost
P-000066,DEP-0000185,8,2025-08-01,2025-08-04,2025-08-27,23,High Tempo,3,4,True,Semi-Urban Outpost
P-000067,DEP-0000186,4,2025-04-01,2025-04-02,2025-04-23,21,Routine,2,1,False,Urban Base
P-000068,DEP-0000187,4,2025-04-01,2025-04-03,2025-04-23,20,High Tempo,4,4,True,Remote/Difficult Terrain
P-000068,DEP-0000188,5,2025-05-01,2025-05-03,2025-05-24,21,High Tempo,4,5,True,High Altitude/Extreme
P-000068,DEP-0000189,6,2025-06-01,2025-06-02,2025-06-23,21,Extended,4,5,True,High Altitude/Extreme
P-000068,DEP-0000190,7,2025-07-01,2025-07-03,2025-07-27,24,Extended,4,4,True,High Altitude/Extreme
P-000068,DEP-0000191,8,2025-08-01,2025-08-02,2025-08-27,25,High Tempo,4,4,True,Remote/Difficult Terrain
P-000068,DEP-0000192,9,2025-09-01,2025-09-05,2025-09-24,19,High Tempo,4,4,True,High Altitude/Extreme
P-000068,DEP-0000193,10,2025-10-01,2025-10-03,2025-10-25,22,Extended,5,4,True,Remote/Difficult Terrain
P-000068,DEP-0000194,11,2025-11-01,2025-11-02,2025-11-23,21,High Tempo,4,4,True,Remote/Difficult Terrain
P-000069,DEP-0000195,5,2025-05-01,2025-05-03,2025-05-26,23,Routine,3,1,False,Semi-Urban Outpost
P-000070,DEP-0000196,6,2025-06-01,2025-06-02,2025-06-24,22,High Tempo,4,3,True,Semi-Urban Outpost
P-000070,DEP-0000197,7,2025-07-01,2025-07-05,2025-07-26,21,High Tempo,4,3,True,Semi-Urban Outpost
P-000071,DEP-0000198,4,2025-04-01,2025-04-02,2025-04-28,26,High Tempo,4,5,True,Remote/Difficult Terrain
P-000071,DEP-0000199,5,2025-05-01,2025-05-03,2025-05-24,21,High Tempo,4,4,True,High Altitude/Extreme
P-000071,DEP-0000200,6,2025-06-01,2025-06-04,2025-06-25,21,Extended,4,4,True,Remote/Difficult Terrain
P-000071,DEP-0000201,7,2025-07-01,2025-07-02,2025-07-27,25,High Tempo,4,5,True,High Altitude/Extreme
P-000071,DEP-0000202,8,2025-08-01,2025-08-05,2025-08-27,22,Extended,5,5,True,Remote/Difficult Terrain
P-000071,DEP-0000203,9,2025-09-01,2025-09-05,2025-09-23,18,High Tempo,4,5,True,Remote/Difficult Terrain
P-000071,DEP-0000204,10,2025-10-01,2025-10-02,2025-10-26,24,High Tempo,5,5,True,High Altitude/Extreme
P-000071,DEP-0000205,11,2025-11-01,2025-11-02,2025-11-25,23,High Tempo,4,5,True,High Altitude/Extreme
P-000072,DEP-0000206,4,2025-04-01,2025-04-04,2025-04-28,24,Routine,3,1,False,Semi-Urban Outpost
P-000074,DEP-0000207,4,2025-04-01,2025-04-05,2025-04-24,19,Extended,5,4,True,High Altitude/Extreme
P-000074,DEP-0000208,5,2025-05-01,2025-05-04,2025-05-28,24,High Tempo,4,4,True,High Altitude/Extreme
P-000074,DEP-0000209,6,2025-06-01,2025-06-04,2025-06-26,22,High Tempo,4,4,True,Remote/Difficult Terrain
P-000074,DEP-0000210,7,2025-07-01,2025-07-05,2025-07-25,20,Extended,4,4,True,High Altitude/Extreme
P-000074,DEP-0000211,8,2025-08-01,2025-08-02,2025-08-25,23,Extended,5,5,True,Remote/Difficult Terrain
P-000074,DEP-0000212,9,2025-09-01,2025-09-04,2025-09-28,24,Extended,4,4,True,High Altitude/Extreme
P-000074,DEP-0000213,10,2025-10-01,2025-10-02,2025-10-25,23,High Tempo,5,5,True,Remote/Difficult Terrain
P-000074,DEP-0000214,11,2025-11-01,2025-11-04,2025-11-28,24,Extended,4,5,True,Remote/Difficult Terrain
P-000075,DEP-0000215,3,2025-03-01,2025-03-03,2025-03-25,22,Extended,3,5,True,Remote/Difficult Terrain
P-000075,DEP-0000216,4,2025-04-01,2025-04-05,2025-04-25,20,Extended,3,5,True,High Altitude/Extreme
P-000075,DEP-0000217,5,2025-05-01,2025-05-04,2025-05-23,19,Extended,3,5,True,High Altitude/Extreme
P-000075,DEP-0000218,6,2025-06-01,2025-06-04,2025-06-27,23,Extended,4,4,True,High Altitude/Extreme
P-000075,DEP-0000219,7,2025-07-01,2025-07-05,2025-07-24,19,Extended,4,5,True,High Altitude/Extreme
P-000075,DEP-0000220,8,2025-08-01,2025-08-05,2025-08-23,18,Extended,4,4,True,High Altitude/Extreme
P-000075,DEP-0000221,9,2025-09-01,2025-09-03,2025-09-28,25,Extended,4,4,True,Remote/Difficult Terrain
P-000076,DEP-0000222,3,2025-03-01,2025-03-02,2025-03-28,26,Extended,4,4,True,Remote/Difficult Terrain
P-000076,DEP-0000223,4,2025-04-01,2025-04-05,2025-04-26,21,Extended,3,4,True,Remote/Difficult Terrain
P-000076,DEP-0000224,5,2025-05-01,2025-05-05,2025-05-26,21,Extended,4,4,True,Remote/Difficult Terrain
P-000076,DEP-0000225,6,2025-06-01,2025-06-02,2025-06-26,24,Extended,3,4,True,Remote/Difficult Terrain
P-000076,DEP-0000226,7,2025-07-01,2025-07-04,2025-07-25,21,Extended,3,4,True,High Altitude/Extreme
P-000076,DEP-0000227,8,2025-08-01,2025-08-02,2025-08-23,21,Extended,4,5,True,Remote/Difficult Terrain
P-000076,DEP-0000228,9,2025-09-01,2025-09-05,2025-09-28,23,Extended,3,5,True,High Altitude/Extreme
