personnel_id,date,month_idx,sleep_quality,fatigue_level,work_stress,mood_wellbeing,work_life_balance,job_satisfaction,recovery_quality,self_reported_strain,checkin_completion
P-000002,2025-11-01,11,3.2,2.7,2.7,3.9,3.7,4.1,3.4,1.8,True
P-000002,2025-12-01,12,4.2,3.2,2.4,4.0,3.8,4.4,3.9,1.8,True
P-000003,2025-01-01,1,4.1,3.0,2.6,4.4,4.3,3.5,3.4,1.8,True
P-000003,2025-02-01,2,4.3,2.3,2.1,3.4,3.9,4.0,3.1,1.0,True
P-000003,2025-03-01,3,3.1,4.0,4.1,2.3,2.3,2.8,2.7,4.3,True
P-000003,2025-04-01,4,3.7,3.7,4.1,2.2,2.9,3.5,2.5,4.0,True
P-000003,2025-05-01,5,,,,,,,,,False
P-000003,2025-06-01,6,2.8,4.1,4.6,2.6,2.0,2.9,2.2,4.1,True
P-000003,2025-07-01,7,2.4,3.8,3.9,2.5,2.2,2.9,2.7,3.6,True
P-000003,2025-08-01,8,2.5,3.9,3.1,2.9,1.6,2.5,2.0,3.7,True
P-000003,2025-09-01,9,3.0,4.6,3.6,2.8,2.4,3.2,1.8,4.2,True
P-000003,2025-10-01,10,5.0,1.7,2.0,3.5,4.1,4.1,4.2,2.2,True
P-000003,2025-11-01,11,4.4,2.3,1.8,4.1,3.4,3.3,3.6,2.5,True
P-000003,2025-12-01,12,4.4,3.0,3.6,3.9,3.1,3.5,3.9,1.2,True
P-000004,2025-01-01,1,,,,,,,,,False
P-000004,2025-02-01,2,4.2,2.7,1.9,3.5,3.1,3.5,3.9,2.2,True
P-000004,2025-03-01,3,3.7,2.3,2.4,4.5,3.5,3.9,3.6,2.3,True
P-000004,2025-04-01,4,3.4,4.1,3.6,2.9,3.0,4.1,2.8,4.2,True
P-000004,2025-05-01,5,3.5,3.8,3.4,3.2,2.9,3.5,3.2,3.7,True
P-000004,2025-06-01,6,3.4,3.8,3.4,2.6,2.9,3.1,3.1,3.1,True
P-000004,2025-07-01,7,3.4,3.8,4.1,4.1,2.8,3.0,2.7,2.7,True
P-000004,2025-08-01,8,,,,,,,,,False
P-000004,2025-09-01,9,4.3,3.1,2.1,2.8,3.6,3.8,4.3,2.1,True
P-000004,2025-10-01,10,4.2,2.3,2.2,4.8,3.2,4.2,4.1,2.1,True
P-000004,2025-11-01,11,4.7,2.6,1.9,4.4,3.4,3.1,3.8,1.8,True
P-000004,2025-12-01,12,4.0,1.9,2.6,4.2,4.4,4.6,4.2,2.4,True
P-000005,2025-01-01,1,4.3,1.8,2.0,3.6,3.8,3.8,4.1,2.1,True
P-000005,2025-02-01,2,4.4,2.0,1.5,4.0,4.0,4.2,4.2,1.0,True
P-000005,2025-03-01,3,4.5,1.1,2.1,4.9,3.5,4.1,3.9,1.8,True
P-000005,2025-04-01,4,4.6,1.7,2.2,3.6,3.7,3.6,4.4,1.9,True
P-000005,2025-05-01,5,3.5,1.4,2.2,3.7,4.3,4.7,4.0,1.0,True
P-000005,2025-06-01,6,4.3,1.6,1.3,3.7,4.0,4.4,3.9,2.1,True
P-000005,2025-07-01,7,4.4,1.4,2.2,4.5,3.9,4.4,3.8,1.2,True
P-000005,2025-08-01,8,3.8,1.8,1.4,3.4,4.1,3.3,4.5,1.0,True
P-000005,2025-09-01,9,4.2,1.6,2.0,4.0,4.0,4.3,3.8,1.9,True
P-000005,2025-10-01,10,4.4,2.3,2.6,4.1,3.9,4.1,4.3,2.2,True
P-000005,2025-11-01,11,4.1,1.3,1.4,3.5,4.4,3.7,4.8,1.4,True
P-000005,2025-12-01,12,3.9,1.4,2.0,4.1,4.0,3.7,4.1,1.2,True
P-000006,2025-01-01,1,4.6,2.5,1.4,4.4,4.3,3.5,4.5,2.2,True
P-000006,2025-02-01,2,,,,,,,,,False
P-000006,2025-03-01,3,4.1,2.2,1.6,3.8,4.7,3.9,4.8,2.0,True
P-000006,2025-04-01,4,3.9,2.0,2.2,3.4,4.1,4.3,4.1,2.0,True
P-000006,2025-05-01,5,3.7,1.9,1.6,3.7,4.3,3.9,4.2,1.2,True
P-000006,2025-06-01,6,4.1,1.7,2.1,4.3,4.2,3.4,4.8,1.2,True
P-000006,2025-07-01,7,3.8,1.0,2.5,3.9,4.0,4.4,3.9,2.0,True
P-000006,2025-08-01,8,3.8,1.7,1.6,3.8,3.5,4.2,4.8,1.6,True
P-000006,2025-09-01,9,4.0,2.1,2.2,4.1,4.1,4.0,3.8,1.6,True
P-000006,2025-10-01,10,4.4,2.4,1.9,4.0,3.9,4.1,3.5,2.1,True
P-000006,2025-11-01,11,3.7,2.0,2.4,3.9,3.2,4.2,3.9,1.1,True
P-000006,2025-12-01,12,3.9,2.0,2.5,4.7,4.2,4.3,4.4,1.1,True
P-000007,2025-01-01,1,4.1,2.6,1.6,4.6,3.3,4.2,3.7,2.0,True
P-000007,2025-02-01,2,4.3,1.4,2.1,4.3,4.1,4.0,4.5,1.9,True
P-000007,2025-03-01,3,4.6,2.6,1.9,4.9,3.7,4.1,4.0,1.8,True
P-000007,2025-04-01,4,3.6,2.4,1.9,3.7,3.3,3.4,3.9,1.5,True
P-000007,2025-05-01,5,3.4,1.9,2.3,4.1,4.3,4.4,4.1,1.4,True
P-000007,2025-06-01,6,3.6,3.1,1.5,4.0,3.3,4.2,4.3,1.9,True
P-000007,2025-07-01,7,,,,,,,,,False
P-000007,2025-08-01,8,3.7,2.3,1.5,3.8,3.8,3.8,4.7,1.1,True
P-000007,2025-09-01,9,4.1,2.0,3.0,4.2,3.6,4.0,3.5,1.6,True
P-000007,2025-10-01,10,,,,,,,,,False
P-000007,2025-11-01,11,,,,,,,,,False
P-000007,2025-12-01,12,4.6,2.1,2.4,4.8,3.9,3.8,3.9,1.2,True
P-000008,2025-01-01,1,3.6,2.2,3.2,3.2,3.9,3.1,3.3,2.1,True
P-000008,2025-02-01,2,3.0,2.8,2.3,3.5,3.2,3.2,3.5,3.1,True
P-000008,2025-03-01,3,3.1,2.3,3.1,3.7,2.5,3.4,4.2,3.0,True
P-000008,2025-04-01,4,,,,,,,,,False
P-000008,2025-05-01,5,1.7,3.2,4.3,2.9,2.2,2.9,2.0,3.7,True
P-000008,2025-06-01,6,2.1,3.5,4.0,2.4,1.5,2.1,2.0,4.3,True
P-000008,2025-07-01,7,2.0,3.5,4.0,2.4,2.0,2.1,1.9,3.2,True
P-000008,2025-08-01,8,2.0,4.1,4.4,2.5,1.3,1.9,1.6,4.0,True
P-000008,2025-09-01,9,1.8,5.0,4.5,2.0,1.8,1.6,2.1,4.5,True
P-000008,2025-10-01,10,1.5,4.6,4.7,1.7,1.8,1.9,1.7,5.0,True
P-000008,2025-11-01,11,1.0,4.6,5.0,2.0,1.4,1.7,1.5,4.2,True
P-000008,2025-12-01,12,1.5,4.5,4.6,1.8,1.1,1.5,1.3,4.7,True
P-000009,2025-01-01,1,3.7,1.7,2.2,3.5,3.2,3.7,3.8,2.1,True
P-000009,2025-02-01,2,3.3,2.9,2.4,3.4,2.9,3.8,3.9,2.1,True
P-000009,2025-03-01,3,3.3,2.0,2.4,3.4,3.6,3.9,3.8,1.7,True
P-000009,2025-04-01,4,2.6,3.8,3.8,3.5,2.2,2.9,2.4,3.7,True
P-000009,2025-05-01,5,2.8,3.3,3.8,2.4,3.3,3.7,2.9,3.4,True
P-000009,2025-06-01,6,2.5,3.9,3.9,2.7,2.7,2.5,2.9,3.5,True
P-000009,2025-07-01,7,,,,,,,,,False
P-000009,2025-08-01,8,3.1,2.6,4.2,3.1,2.1,2.8,3.4,3.0,True
P-000009,2025-09-01,9,3.5,2.4,2.3,3.4,4.0,4.7,4.0,1.6,True
P-000009,2025-10-01,10,4.0,1.6,2.9,4.0,4.2,3.3,3.4,1.9,True
P-000009,2025-11-01,11,3.9,2.1,2.1,3.7,3.8,3.8,3.7,1.9,True
P-000009,2025-12-01,12,4.5,1.9,2.4,4.0,4.6,3.6,3.2,2.6,True
P-000010,2025-01-01,1,3.4,1.8,2.1,3.7,3.5,4.4,3.1,2.3,True
P-000010,2025-02-01,2,3.4,2.6,1.4,4.0,3.6,3.5,4.5,1.8,True
P-000010,2025-03-01,3,1.7,4.2,3.7,2.6,1.6,2.9,2.2,4.0,True
P-000010,2025-04-01,4,2.1,3.8,3.8,1.6,2.6,3.3,1.6,3.0,True
P-000010,2025-05-01,5,2.0,4.4,4.6,2.9,2.1,2.9,1.9,3.3,True
P-000010,2025-06-01,6,2.7,4.7,3.2,2.9,2.3,2.6,2.5,4.3,True
P-000010,2025-07-01,7,3.0,5.0,3.4,2.1,2.2,3.4,2.1,3.2,True
P-000010,2025-08-01,8,2.3,4.0,3.8,2.3,2.1,3.2,3.1,4.0,True
P-000010,2025-09-01,9,2.8,4.6,4.6,2.9,1.8,3.2,2.7,3.7,True
P-000010,2025-10-01,10,3.6,2.2,2.3,3.7,4.0,3.1,4.0,2.4,True
P-000010,2025-11-01,11,3.9,2.9,2.8,3.2,3.6,2.8,3.7,2.9,True
P-000010,2025-12-01,12,3.9,2.4,2.1,3.6,3.3,4.0,3.5,1.9,True
P-000011,2025-01-01,1,,,,,,,,,False
P-000011,2025-02-01,2,3.8,2.4,1.2,4.4,4.6,4.0,4.1,1.9,True
P-000011,2025-03-01,3,4.1,2.1,1.5,4.5,4.1,4.0,4.3,1.1,True
P-000011,2025-04-01,4,3.9,2.5,1.2,4.0,4.0,4.7,4.6,1.0,True
P-000011,2025-05-01,5,4.4,1.8,1.5,3.6,3.4,4.6,4.5,1.6,True
P-000011,2025-06-01,6,,,,,,,,,False
P-000011,2025-07-01,7,4.3,1.9,2.6,3.9,4.4,4.5,3.7,1.2,True
P-000011,2025-08-01,8,4.3,1.8,2.3,4.1,4.9,3.5,3.8,1.8,True
P-000011,2025-09-01,9,,,,,,,,,False
P-000011,2025-10-01,10,5.0,2.0,2.0,4.4,4.2,4.4,3.6,1.7,True
P-000011,2025-11-01,11,3.4,1.6,1.4,4.2,3.7,4.2,4.5,1.3,True
P-000011,2025-12-01,12,3.9,2.1,1.2,3.9,3.6,4.4,3.7,1.8,True
P-000012,2025-01-01,1,4.7,1.9,2.3,4.3,3.9,4.0,4.3,2.2,True
P-000012,2025-02-01,2,4.6,2.3,3.3,4.0,3.6,3.9,3.6,2.5,True
P-000012,2025-03-01,3,4.1,2.5,2.3,4.6,3.7,3.8,4.2,2.1,True
P-000012,2025-04-01,4,4.5,2.3,2.3,3.7,4.0,4.1,4.1,1.9,True
P-000012,2025-05-01,5,4.1,2.4,2.2,4.2,3.9,3.7,3.9,2.2,True
P-000012,2025-06-01,6,4.2,2.6,2.7,4.3,3.5,3.9,3.2,2.1,True
P-000012,2025-07-01,7,4.4,2.9,2.6,3.7,3.7,3.9,4.0,1.6,True
P-000012,2025-08-01,8,4.5,2.8,2.4,3.8,3.2,3.9,3.7,2.5,True
P-000012,2025-09-01,9,4.7,2.2,3.1,4.5,3.7,3.6,3.6,2.3,True
P-000012,2025-10-01,10,4.3,2.3,2.6,3.6,3.7,3.6,4.2,2.3,True
P-000012,2025-11-01,11,4.3,1.9,2.4,4.4,3.6,4.0,4.0,1.5,True
P-000012,2025-12-01,12,,,,,,,,,False
P-000013,2025-01-01,1,3.2,2.3,2.7,3.3,3.5,3.4,3.3,2.3,True
P-000013,2025-02-01,2,3.5,2.7,2.9,2.3,3.2,3.5,3.7,2.8,True
P-000013,2025-03-01,3,3.8,2.6,3.1,3.2,2.8,3.3,3.2,2.9,True
P-000013,2025-04-01,4,2.8,3.3,3.6,3.5,2.1,2.5,2.4,3.4,True
P-000013,2025-05-01,5,2.5,2.8,3.4,2.3,2.1,2.4,2.5,2.9,True
P-000013,2025-06-01,6,1.8,3.8,4.3,2.6,2.4,2.7,1.9,3.5,True
P-000013,2025-07-01,7,2.0,4.2,4.2,1.7,1.5,2.5,1.9,3.8,True
P-000013,2025-08-01,8,1.9,4.3,4.1,1.9,1.9,2.1,2.1,4.1,True
P-000013,2025-09-01,9,,,,,,,,,False
P-000013,2025-10-01,10,1.4,5.0,5.0,1.9,1.9,1.8,1.0,5.0,True
P-000013,2025-11-01,11,1.0,4.8,4.3,1.7,1.7,1.4,1.5,4.7,True
P-000013,2025-12-01,12,1.8,4.6,4.2,1.8,1.1,2.7,1.0,4.4,True
P-000014,2025-01-01,1,3.8,1.9,1.8,4.4,4.2,4.5,4.7,1.7,True
P-000014,2025-02-01,2,,,,,,,,,False
P-000014,2025-03-01,3,4.4,1.0,1.0,4.2,3.8,3.8,4.5,2.1,True
P-000014,2025-04-01,4,4.0,1.8,2.1,4.7,3.8,3.8,4.7,1.7,True
P-000014,2025-05-01,5,4.0,1.8,2.1,4.2,4.5,4.5,4.4,1.9,True
P-000014,2025-06-01,6,4.1,1.5,2.2,4.1,3.8,3.9,4.2,2.2,True
P-000014,2025-07-01,7,4.5,1.9,1.8,4.2,3.7,4.0,4.4,1.7,True
P-000014,2025-08-01,8,4.5,1.4,1.7,4.5,4.2,4.8,4.7,2.1,True
P-000014,2025-09-01,9,4.2,2.4,1.4,3.4,3.2,4.4,3.9,1.7,True
P-000014,2025-10-01,10,4.1,2.0,1.5,4.8,3.6,4.1,4.5,1.4,True
P-000014,2025-11-01,11,4.1,1.4,1.8,3.6,4.7,3.8,4.5,1.7,True
P-000014,2025-12-01,12,4.5,1.0,1.9,4.2,3.9,4.5,4.4,2.1,True
P-000015,2025-01-01,1,4.1,2.5,1.8,4.1,4.7,3.8,4.9,1.4,True
P-000015,2025-02-01,2,3.4,1.0,2.4,4.1,4.1,5.0,4.0,2.3,True
P-000015,2025-03-01,3,5.0,1.5,1.7,3.9,4.3,3.9,3.9,2.3,True
P-000015,2025-04-01,4,4.9,1.9,2.0,4.0,3.8,4.6,3.9,1.2,True
P-000015,2025-05-01,5,4.8,1.4,1.7,4.1,3.4,4.4,4.7,1.3,True
P-000015,2025-06-01,6,4.7,1.7,1.4,4.8,4.4,4.0,4.1,1.7,True
P-000015,2025-07-01,7,4.2,1.7,1.9,4.3,4.1,3.7,4.5,1.4,True
P-000015,2025-08-01,8,4.4,1.8,1.6,4.2,3.7,4.5,4.0,1.9,True
P-000015,2025-09-01,9,5.0,1.6,1.9,4.4,4.0,4.3,4.6,1.5,True
P-000015,2025-10-01,10,4.3,1.3,1.8,3.7,3.8,3.2,4.0,1.6,True
P-000015,2025-11-01,11,4.6,1.5,1.6,4.6,3.4,4.1,4.1,1.8,True
P-000015,2025-12-01,12,4.5,2.0,1.5,4.4,3.5,4.2,4.4,1.0,True
P-000016,2025-01-01,1,,,,,,,,,False
P-000016,2025-02-01,2,3.9,1.9,1.9,4.8,3.6,4.0,3.6,1.4,True
P-000016,2025-03-01,3,4.7,1.5,1.7,5.0,4.3,3.5,3.5,1.4,True
P-000016,2025-04-01,4,4.2,1.9,2.2,3.7,2.9,4.0,4.0,1.4,True
P-000016,2025-05-01,5,4.6,2.0,1.3,4.3,3.9,4.0,3.9,2.3,True
P-000016,2025-06-01,6,4.6,1.8,1.8,3.7,4.0,4.1,3.9,1.5,True
P-000016,2025-07-01,7,4.7,2.4,2.0,3.7,3.6,4.1,4.3,2.3,True
P-000016,2025-08-01,8,4.9,2.8,2.2,3.8,3.8,3.8,3.5,1.5,True
P-000016,2025-09-01,9,4.5,1.9,2.0,4.1,4.2,4.3,4.2,1.4,True
P-000016,2025-10-01,10,4.8,1.5,2.0,4.5,3.8,4.0,4.1,1.0,True
P-000016,2025-11-01,11,3.9,2.0,1.8,4.4,4.1,4.1,4.1,1.1,True
P-000016,2025-12-01,12,4.1,1.5,2.1,3.5,4.1,4.0,4.2,2.0,True
P-000017,2025-01-01,1,,,,,,,,,False
P-000017,2025-02-01,2,5.0,2.0,1.9,3.6,3.2,4.3,4.8,1.3,True
P-000017,2025-03-01,3,4.4,2.1,2.1,4.3,3.4,4.0,4.4,1.9,True
P-000017,2025-04-01,4,4.4,1.3,2.1,4.1,3.3,4.0,3.9,1.1,True
P-000017,2025-05-01,5,3.8,1.9,2.4,3.7,3.2,4.4,4.8,1.0,True
P-000017,2025-06-01,6,3.6,1.4,2.3,4.0,3.8,4.1,4.5,2.6,True
P-000017,2025-07-01,7,4.4,2.0,2.0,3.9,3.8,3.5,4.9,1.6,True
P-000017,2025-08-01,8,4.1,2.7,2.1,4.4,3.9,3.7,4.3,2.2,True
P-000017,2025-09-01,9,4.1,1.2,1.6,3.6,3.8,3.7,3.5,2.4,True
P-000017,2025-10-01,10,4.5,1.2,2.2,4.6,5.0,3.5,4.5,1.4,True
P-000017,2025-11-01,11,4.0,2.3,1.7,3.4,4.8,4.2,4.5,1.2,True
P-000017,2025-12-01,12,4.3,1.7,2.4,3.7,3.8,4.3,4.2,1.7,True
P-000018,2025-01-01,1,3.4,2.4,2.7,4.9,3.0,4.1,3.9,1.3,True
P-000018,2025-02-01,2,,,,,,,,,False
P-000018,2025-03-01,3,3.4,1.9,2.4,4.1,3.8,4.0,3.6,2.3,True
P-000018,2025-04-01,4,2.4,4.0,3.1,3.2,2.5,2.9,2.8,3.4,True
P-000018,2025-05-01,5,2.8,3.6,4.5,2.9,1.3,3.8,2.9,3.7,True
P-000018,2025-06-01,6,,,,,,,,,False
P-000018,2025-07-01,7,2.9,3.3,4.0,2.3,2.5,3.2,2.6,3.2,True
P-000018,2025-08-01,8,3.2,3.3,3.8,3.5,1.7,3.8,2.5,3.6,True
P-000018,2025-09-01,9,3.1,2.3,2.6,4.1,3.7,4.3,3.3,2.2,True
P-000018,2025-10-01,10,3.4,2.1,2.0,3.9,4.2,4.0,4.4,1.8,True
P-000018,2025-11-01,11,3.7,2.0,2.3,4.2,3.9,3.6,4.0,2.5,True
P-000018,2025-12-01,12,3.4,3.0,1.9,3.0,3.4,3.2,3.7,2.0,True
P-000019,2025-01-01,1,3.3,1.3,2.2,4.3,3.9,4.6,4.0,1.5,True
P-000019,2025-02-01,2,3.7,1.9,1.5,3.6,4.0,4.1,5.0,1.4,True
P-000019,2025-03-01,3,4.1,1.8,1.3,4.6,4.2,3.9,4.4,1.6,True
P-000019,2025-04-01,4,4.0,1.2,1.8,4.4,3.8,4.1,4.3,1.6,True
P-000019,2025-05-01,5,2.6,2.0,2.4,4.2,3.8,3.6,4.1,1.2,True
P-000019,2025-06-01,6,4.5,2.7,2.0,4.2,3.8,3.8,4.5,1.5,True
P-000019,2025-07-01,7,3.9,2.0,1.7,4.3,3.9,4.2,3.4,1.4,True
P-000019,2025-08-01,8,4.4,1.8,1.7,4.0,4.2,4.6,3.9,1.6,True
P-000019,2025-09-01,9,3.9,1.8,1.5,4.3,3.9,3.8,4.5,1.6,True
P-000019,2025-10-01,10,4.3,1.6,2.0,3.6,4.2,3.9,4.2,1.9,True
P-000019,2025-11-01,11,3.0,1.8,2.1,4.1,3.8,3.5,4.3,1.8,True
P-000019,2025-12-01,12,3.6,2.0,1.9,3.8,4.6,3.3,4.1,1.3,True
P-000020,2025-01-01,1,4.3,1.0,2.1,5.0,3.2,4.0,3.4,1.2,True
P-000020,2025-02-01,2,3.7,2.4,2.9,4.2,4.3,3.8,4.0,2.1,True
P-000020,2025-03-01,3,4.9,1.7,1.5,4.1,4.0,4.1,4.0,1.6,True
P-000020,2025-04-01,4,4.1,1.9,1.9,4.2,3.8,4.2,4.1,1.8,True
P-000020,2025-05-01,5,3.3,1.8,2.5,4.2,3.7,4.4,4.6,2.1,True
P-000020,2025-06-01,6,3.6,2.0,2.1,4.4,3.8,3.8,4.8,1.0,True
P-000020,2025-07-01,7,4.1,1.7,1.4,3.7,3.4,3.6,4.0,1.9,True
P-000020,2025-08-01,8,4.7,2.3,2.3,3.1,3.9,4.2,4.0,1.2,True
P-000020,2025-09-01,9,4.4,1.7,1.9,4.6,4.0,3.9,3.9,1.7,True
P-000020,2025-10-01,10,3.9,1.9,1.5,4.0,3.8,4.3,3.9,1.3,True
P-000020,2025-11-01,11,4.4,2.0,1.5,3.6,4.0,4.0,4.5,1.8,True
P-000020,2025-12-01,12,4.8,2.0,1.5,4.3,4.7,3.7,4.4,1.7,True
P-000021,2025-01-01,1,3.9,1.4,2.5,3.1,3.3,4.0,3.7,2.1,True
P-000021,2025-02-01,2,4.4,1.8,2.4,3.5,3.8,3.5,3.8,1.3,True
P-000021,2025-03-01,3,4.5,1.9,2.5,3.7,3.6,3.9,3.6,2.1,True
P-000021,2025-04-01,4,3.5,2.7,3.6,3.5,3.5,3.1,2.1,3.9,True
P-000021,2025-05-01,5,3.1,3.9,3.2,2.4,3.2,3.0,3.2,3.3,True
P-000021,2025-06-01,6,3.5,3.2,3.7,3.4,2.9,3.2,1.9,2.7,True
P-000021,2025-07-01,7,3.7,3.1,4.6,2.3,2.4,3.4,2.1,3.0,True
P-000021,2025-08-01,8,3.5,4.3,3.4,3.5,2.8,2.7,1.7,3.1,True
P-000021,2025-09-01,9,4.0,1.8,2.2,4.6,3.9,3.6,3.8,1.5,True
P-000021,2025-10-01,10,,,,,,,,,False
P-000021,2025-11-01,11,3.8,1.8,2.7,3.7,3.3,3.9,3.6,2.1,True
P-000021,2025-12-01,12,4.4,2.6,1.6,4.5,3.5,4.0,4.1,2.1,True
P-000022,2025-01-01,1,3.3,1.5,1.8,4.3,4.1,4.5,4.5,1.2,True
P-000022,2025-02-01,2,4.1,1.6,1.8,3.9,4.2,3.3,4.3,2.3,True
P-000022,2025-03-01,3,3.4,2.1,1.8,4.7,3.8,3.9,4.0,1.8,True
P-000022,2025-04-01,4,4.4,1.7,2.4,4.3,3.7,3.9,4.5,1.4,True
P-000022,2025-05-01,5,4.6,1.2,1.3,4.1,3.8,3.7,4.3,2.0,True
P-000022,2025-06-01,6,4.1,1.6,1.6,5.0,4.7,4.0,4.8,2.1,True
P-000022,2025-07-01,7,4.0,2.1,1.6,4.0,3.8,4.5,3.9,2.3,True
P-000022,2025-08-01,8,4.1,2.0,1.7,4.3,3.7,3.5,4.3,1.1,True
P-000022,2025-09-01,9,4.7,2.5,1.4,4.1,3.8,4.2,4.4,1.2,True
P-000022,2025-10-01,10,4.1,2.2,2.0,3.7,3.8,3.7,4.4,1.8,True
P-000022,2025-11-01,11,4.2,2.7,1.0,3.9,3.9,4.6,4.4,1.8,True
P-000022,2025-12-01,12,3.6,1.8,1.1,4.6,3.7,3.8,4.6,1.0,True
P-000023,2025-01-01,1,,,,,,,,,False
P-000023,2025-02-01,2,4.6,2.0,1.9,3.8,4.2,4.0,3.9,1.1,True
P-000023,2025-03-01,3,4.0,2.1,2.1,3.8,3.8,3.1,4.5,1.7,True
P-000023,2025-04-01,4,4.1,1.1,2.0,3.5,4.2,3.7,3.8,1.7,True
P-000023,2025-05-01,5,4.5,1.2,2.3,4.6,4.6,4.0,4.1,1.2,True
P-000023,2025-06-01,6,3.7,1.9,2.3,4.4,4.1,4.5,4.6,1.5,True
P-000023,2025-07-01,7,3.9,1.3,1.9,3.6,4.2,4.4,4.2,1.2,True
P-000023,2025-08-01,8,4.4,1.9,2.3,4.5,3.8,4.2,4.4,1.6,True
P-000023,2025-09-01,9,3.4,1.8,1.4,4.0,3.7,3.6,4.7,1.1,True
P-000023,2025-10-01,10,4.8,1.9,1.0,3.7,4.7,4.3,4.4,1.5,True
P-000023,2025-11-01,11,3.6,2.1,1.7,4.4,4.4,4.5,3.6,1.3,True
P-000023,2025-12-01,12,3.5,1.4,2.2,3.9,3.5,4.2,3.6,1.3,True
P-000024,2025-01-01,1,3.4,1.6,1.9,4.3,3.5,4.4,3.5,1.4,True
P-000024,2025-02-01,2,3.8,2.2,2.1,4.4,4.2,3.5,4.9,1.6,True
P-000024,2025-03-01,3,3.4,1.0,1.5,4.0,3.6,3.7,4.0,1.2,True
P-000024,2025-04-01,4,3.4,2.7,1.7,4.2,3.8,4.3,4.4,1.0,True
P-000024,2025-05-01,5,4.1,1.7,1.7,3.5,3.1,4.0,4.2,1.7,True
P-000024,2025-06-01,6,4.2,2.2,1.5,3.8,3.5,4.0,4.6,2.3,True
P-000024,2025-07-01,7,3.2,2.6,1.9,3.8,4.1,4.3,4.6,1.2,True
P-000024,2025-08-01,8,3.6,2.4,1.6,4.2,3.4,3.9,4.4,1.8,True
P-000024,2025-09-01,9,,,,,,,,,False
P-000024,2025-10-01,10,3.8,2.4,1.4,4.0,4.6,4.3,4.4,2.0,True
P-000024,2025-11-01,11,4.2,2.5,1.7,3.8,3.7,3.3,4.4,1.1,True
P-000024,2025-12-01,12,,,,,,,,,False
P-000025,2025-01-01,1,2.7,2.3,2.5,4.5,4.8,4.4,4.0,2.1,True
P-000025,2025-02-01,2,4.2,2.2,2.4,3.5,4.3,4.4,4.5,1.6,True
P-000025,2025-03-01,3,3.9,1.8,2.4,3.4,4.4,4.6,3.5,1.0,True
P-000025,2025-04-01,4,4.0,2.2,1.9,4.3,4.3,3.7,4.4,1.4,True
P-000025,2025-05-01,5,4.2,2.2,2.6,3.9,4.4,4.1,4.0,1.6,True
P-000025,2025-06-01,6,3.9,1.8,1.0,4.5,3.6,3.8,4.5,1.6,True
P-000025,2025-07-01,7,4.7,2.1,1.4,4.4,4.5,4.2,4.8,1.6,True
P-000025,2025-08-01,8,4.2,2.1,2.3,4.5,3.5,3.7,3.8,1.7,True
P-000025,2025-09-01,9,4.2,2.5,2.3,5.0,4.3,4.1,4.0,1.4,True
P-000025,2025-10-01,10,3.5,1.9,2.3,3.6,3.9,4.2,4.3,1.1,True
P-000025,2025-11-01,11,4.1,1.8,1.8,4.4,3.9,4.3,4.1,2.3,True
P-000025,2025-12-01,12,3.5,1.9,2.7,4.1,4.3,3.4,4.1,1.5,True
