personnel_id,date,month_idx,duty_hours,overtime_hours,night_shifts,consecutive_duty_days,rest_hours,workload_score,operational_intensity,schedule_irregularity,sleep_quality,fatigue_level,work_stress,mood_wellbeing,work_life_balance,job_satisfaction,recovery_quality,self_reported_strain,checkin_completion,attendance_change,leave_frequency_change,workload_change,sleep_change,routine_deviation,performance_change,schedule_change,recovery_change,is_deployed,dep_duration_days,dep_intensity,dep_hardship,dep_recovery_required,dep_type,dep_location,took_leave,leave_duration_days,leave_type,days_since_prev_leave,original_ref_id,age,gender,department,job_role,job_level,education_level,education_field,marital_status,distance_from_home,business_travel,overtime_eligible,total_working_years,years_in_service,years_in_current_role,years_since_last_promotion,years_with_curr_supervisor,baseline_env_satisfaction,baseline_job_satisfaction,baseline_job_involvement,baseline_work_life_balance,baseline_rel_satisfaction,performance_rating,training_times_last_year,monthly_income,percent_salary_hike,num_prior_organizations,hr_attrition_historical,baseline_available,history_periods_count,duty_hours_personal_mean,duty_hours_personal_std,duty_hours_personal_median,duty_hours_delta_vs_baseline,duty_hours_pct_change_vs_baseline,duty_hours_zscore_vs_baseline,duty_hours_lag1_diff,overtime_hours_personal_mean,overtime_hours_personal_std,overtime_hours_personal_median,overtime_hours_delta_vs_baseline,overtime_hours_pct_change_vs_baseline,overtime_hours_zscore_vs_baseline,overtime_hours_lag1_diff,night_shifts_personal_mean,night_shifts_personal_std,night_shifts_personal_median,night_shifts_delta_vs_baseline,night_shifts_pct_change_vs_baseline,night_shifts_zscore_vs_baseline,night_shifts_lag1_diff,consecutive_duty_days_personal_mean,consecutive_duty_days_personal_std,consecutive_duty_days_personal_median,consecutive_duty_days_delta_vs_baseline,consecutive_duty_days_pct_change_vs_baseline,consecutive_duty_days_zscore_vs_baseline,consecutive_duty_days_lag1_diff,rest_hours_personal_mean,rest_hours_personal_std,rest_hours_personal_median,rest_hours_delta_vs_baseline,rest_hours_pct_change_vs_baseline,rest_hours_zscore_vs_baseline,rest_hours_lag1_diff,workload_score_personal_mean,workload_score_personal_std,workload_score_personal_median,workload_score_delta_vs_baseline,workload_score_pct_change_vs_baseline,workload_score_zscore_vs_baseline,workload_score_lag1_diff,sleep_quality_personal_mean,sleep_quality_personal_std,sleep_quality_personal_median,sleep_quality_delta_vs_baseline,sleep_quality_pct_change_vs_baseline,sleep_quality_zscore_vs_baseline,sleep_quality_lag1_diff,fatigue_level_personal_mean,fatigue_level_personal_std,fatigue_level_personal_median,fatigue_level_delta_vs_baseline,fatigue_level_pct_change_vs_baseline,fatigue_level_zscore_vs_baseline,fatigue_level_lag1_diff,self_reported_strain_personal_mean,self_reported_strain_personal_std,self_reported_strain_personal_median,self_reported_strain_delta_vs_baseline,self_reported_strain_pct_change_vs_baseline,self_reported_strain_zscore_vs_baseline,self_reported_strain_lag1_diff,period_latent_strain_score,period_support_priority,target_support_priority_next_month,target_support_score_next_month,data_completeness
P-000001,2025-11-01,11,186.5,3.1,0,5,92.8,21.4,2,1.95,4.1,1.6,1.8,3.8,4.1,3.7,4.2,1.3,True,-0.0,-0.1,-0.097,0.044,0.071,0.06,0.128,0.174,0,0,1,1,False,None,Base,0,0,None,120,RM001,41,Female,Sales,Sales Executive,2,2,Life Sciences,Single,1,Travel_Rarely,Yes,8,6,4,0,5.0,2,4,3,1,1,3,0,5993,11,8,Yes,True,10,185.65,2.72,185.05,0.85,0.46,0.31,2.5,5.05,2.99,4.65,-1.95,-38.61,-0.65,-5.4,2.75,0.96,2.5,-2.75,-100.0,-2.87,-2.0,3.75,0.96,3.5,1.25,33.33,1.31,2.0,93.02,2.52,92.45,-0.23,-0.24,-0.09,1.8,24.12,1.36,24.35,-2.72,-11.3,-2.0,-2.3,4.4,0.5,4.45,-0.3,-6.82,-0.6,0.2,1.78,0.5,1.8,-0.17,-9.86,-0.35,-0.2,1.6,0.5,1.55,-0.3,-18.75,-0.6,0.1,20.7,GREEN,GREEN,18.4,1.0
P-000001,2025-12-01,12,173.9,8.8,0,4,93.6,17.0,2,1.35,3.9,1.9,2.2,3.9,3.0,3.8,4.4,1.0,True,-0.0,-0.1,-0.204,-0.059,0.056,-0.011,-0.043,0.19,0,0,1,1,False,None,Base,0,0,None,120,RM001,41,Female,Sales,Sales Executive,2,2,Life Sciences,Single,1,Travel_Rarely,Yes,8,6,4,0,5.0,2,4,3,1,1,3,0,5993,11,8,Yes,True,11,186.48,2.18,186.3,-12.58,-6.74,-4.0,-12.6,4.18,2.9,2.9,4.63,110.78,1.6,5.7,2.25,1.71,2.5,-2.25,-100.0,-1.32,0.0,4.0,1.15,4.0,0.0,0.0,0.0,-1.0,93.48,2.17,93.35,0.12,0.13,0.06,0.8,23.87,1.8,24.35,-6.87,-28.8,-3.81,-4.4,4.35,0.5,4.35,-0.45,-10.34,-0.9,-0.2,1.8,0.5,1.8,0.1,5.56,0.2,0.3,1.48,0.5,1.3,-0.48,-32.2,-0.95,-0.3,18.4,GREEN,,,1.0
P-000002,2025-01-01,1,183.3,8.6,4,5,88.6,28.3,2,1.28,,,,,,,,,False,-0.031,0.2,-0.056,0.008,0.052,-0.018,-0.063,0.079,0,0,1,1,False,None,Base,1,8,Annual,65,RM002,49,Male,Research & Development,Research Scientist,2,1,Life Sciences,Married,8,Travel_Frequently,No,10,10,7,1,7.0,3,2,2,3,4,4,3,5130,23,1,No,False,0,188.77,1.0,188.77,-5.47,-2.9,-4.0,0.0,14.69,1.0,14.69,-6.09,-41.46,-4.0,0.0,3.22,1.0,3.22,0.78,24.07,0.78,0.0,5.72,1.0,5.72,-0.72,-12.58,-0.72,0.0,79.68,1.0,79.68,8.92,11.2,4.0,0.0,35.69,1.0,35.69,-7.39,-20.71,-4.0,0.0,3.7,1.0,3.7,,,,0.0,2.41,1.0,2.41,,,,0.0,2.22,1.0,2.22,,,,0.0,23.2,GREEN,GREEN,17.2,0.62
P-000002,2025-02-01,2,182.9,6.6,0,4,89.4,20.6,2,1.58,4.3,2.6,1.8,4.1,3.8,3.9,3.7,2.4,True,-0.062,-0.1,-0.271,0.057,0.012,-0.087,0.022,0.097,0,0,1,1,False,None,Base,0,0,None,65,RM002,49,Male,Research & Development,Research Scientist,2,1,Life Sciences,Married,8,Travel_Frequently,No,10,10,7,1,7.0,3,2,2,3,4,4,3,5130,23,1,No,False,1,183.3,1.0,183.3,-0.4,-0.22,-0.4,-0.4,8.6,1.0,8.6,-2.0,-23.26,-2.0,-2.0,4.0,1.0,4.0,-4.0,-100.0,-4.0,-4.0,5.0,1.0,5.0,-1.0,-20.0,-1.0,-1.0,88.6,1.0,88.6,0.8,0.9,0.8,0.8,28.3,1.0,28.3,-7.7,-27.21,-4.0,-7.7,3.7,1.0,3.7,0.6,16.08,0.6,0.0,2.41,1.0,2.41,0.19,7.75,0.19,0.0,2.22,1.0,2.22,0.18,8.25,0.18,0.0,17.2,GREEN,GREEN,16.5,1.0
P-000002,2025-03-01,3,178.4,4.8,0,5,90.1,18.7,2,1.51,3.7,2.1,2.8,4.0,3.5,3.8,3.6,2.0,True,-0.034,-0.1,-0.095,-0.138,0.014,-0.051,0.003,0.112,0,0,1,1,False,None,Base,0,0,None,65,RM002,49,Male,Research & Development,Research Scientist,2,1,Life Sciences,Married,8,Travel_Frequently,No,10,10,7,1,7.0,3,2,2,3,4,4,3,5130,23,1,No,False,2,183.1,0.5,183.1,-4.7,-2.57,-4.0,-4.5,7.6,1.41,7.6,-2.8,-36.84,-1.98,-1.8,2.0,2.83,2.0,-2.0,-100.0,-0.71,0.0,4.5,0.71,4.5,0.5,11.11,0.71,1.0,89.0,0.57,89.0,1.1,1.24,1.94,0.7,24.45,5.44,24.45,-5.75,-23.52,-1.06,-1.9,4.3,1.0,4.3,-0.6,-13.95,-0.6,-0.6,2.6,1.0,2.6,-0.5,-19.23,-0.5,-0.5,2.4,1.0,2.4,-0.4,-16.67,-0.4,-0.4,16.5,GREEN,GREEN,17.5,1.0
P-000002,2025-04-01,4,174.6,8.1,0,5,88.8,18.2,2,1.23,4.2,1.8,2.2,3.9,3.8,3.9,3.9,2.6,True,-0.0,-0.1,-0.023,0.14,0.05,0.117,-0.078,0.084,0,0,1,1,False,None,Base,0,0,None,65,RM002,49,Male,Research & Development,Research Scientist,2,1,Life Sciences,Married,8,Travel_Frequently,No,10,10,7,1,7.0,3,2,2,3,4,4,3,5130,23,1,No,True,3,181.53,2.72,182.9,-6.93,-3.82,-2.55,-3.8,6.67,1.9,6.6,1.43,21.5,0.75,3.3,1.33,2.31,0.0,-1.33,-99.99,-0.58,0.0,4.67,0.58,5.0,0.33,7.14,0.58,0.0,89.37,0.75,89.4,-0.57,-0.63,-0.75,-1.3,22.53,5.08,20.6,-4.33,-19.23,-0.85,-0.5,4.0,0.5,4.0,0.2,5.0,0.4,0.5,2.35,0.5,2.35,-0.55,-23.4,-1.1,-0.3,2.2,0.5,2.2,0.4,18.18,0.8,0.6,17.5,GREEN,GREEN,17.9,1.0
P-000002,2025-05-01,5,180.1,2.0,3,3,91.2,21.7,2,1.57,4.3,2.2,2.6,3.5,3.5,4.0,3.7,2.1,True,-0.009,-0.1,0.19,0.019,0.026,0.028,0.02,0.138,0,0,1,1,False,None,Base,0,0,None,65,RM002,49,Male,Research & Development,Research Scientist,2,1,Life Sciences,Married,8,Travel_Frequently,No,10,10,7,1,7.0,3,2,2,3,4,4,3,5130,23,1,No,True,4,179.8,4.12,180.65,0.3,0.17,0.07,5.5,7.02,1.71,7.35,-5.02,-71.53,-2.94,-6.1,1.0,2.0,0.0,2.0,199.98,1.0,3.0,4.75,0.5,5.0,-1.75,-36.84,-3.5,-2.0,89.22,0.68,89.1,1.98,2.21,2.93,2.4,21.45,4.68,19.65,0.25,1.17,0.05,3.5,4.07,0.5,4.2,0.23,5.74,0.47,0.1,2.17,0.5,2.1,0.03,1.54,0.07,0.4,2.33,0.5,2.4,-0.23,-10.0,-0.47,-0.5,17.9,GREEN,YELLOW,53.0,1.0
P-000002,2025-06-01,6,224.4,30.3,7,7,60.9,67.6,4,2.99,3.9,2.1,2.3,4.2,4.2,4.0,3.5,2.1,True,-0.134,-0.1,2.113,-0.094,0.336,-0.117,0.427,-0.535,1,22,4,3,True,High Tempo,Semi-Urban Outpost,0,0,None,65,RM002,49,Male,Research & Development,Research Scientist,2,1,Life Sciences,Married,8,Travel_Frequently,No,10,10,7,1,7.0,3,2,2,3,4,4,3,5130,23,1,No,True,5,179.0,3.47,179.25,45.4,25.36,4.0,44.3,5.38,2.62,5.7,24.92,300.0,4.0,28.3,0.75,1.5,0.0,6.25,300.0,4.0,4.0,4.25,0.96,4.5,2.75,64.7,2.87,4.0,89.88,1.03,89.75,-28.98,-32.24,-4.0,-30.3,19.8,1.64,19.65,47.8,241.41,4.0,45.9,4.12,0.5,4.25,-0.23,-5.45,-0.45,-0.4,2.17,0.5,2.15,-0.07,-3.45,-0.15,-0.1,2.28,0.5,2.25,-0.17,-7.69,-0.35,0.0,53.0,YELLOW,ORANGE,55.9,1.0
P-000002,2025-07-01,7,209.0,28.6,4,7,61.4,54.8,4,2.37,4.0,2.7,2.1,3.5,3.2,4.3,3.7,2.8,True,-0.0,0.2,-0.189,0.034,0.159,0.036,0.249,-0.524,1,21,4,3,True,High Tempo,Semi-Urban Outpost,1,8,Casual,180,RM002,49,Male,Research & Development,Research Scientist,2,1,Life Sciences,Married,8,Travel_Frequently,No,10,10,7,1,7.0,3,2,2,3,4,4,3,5130,23,1,No,True,6,189.38,23.46,179.25,19.62,10.36,0.84,-15.4,11.3,12.91,6.45,17.3,153.1,1.34,-1.7,2.5,3.32,1.5,1.5,60.0,0.45,-3.0,5.0,1.63,5.0,2.0,40.0,1.22,0.0,82.75,14.6,89.45,-21.35,-25.8,-1.46,0.5,31.55,24.08,20.2,23.25,73.69,0.97,-12.8,4.02,0.5,4.05,-0.02,-0.62,-0.05,0.1,2.05,0.5,2.1,0.65,31.71,1.3,0.6,2.2,0.5,2.1,0.6,27.27,1.2,0.7,55.9,ORANGE,GREEN,33.4,1.0
P-000002,2025-08-01,8,185.1,13.0,4,4,86.8,32.0,2,1.89,3.9,2.3,2.7,4.3,3.7,4.3,3.6,1.9,True,-0.0,-0.1,-0.416,-0.03,0.113,-0.082,0.112,0.04,0,0,1,1,False,None,Base,0,0,None,180,RM002,49,Male,Research & Development,Research Scientist,2,1,Life Sciences,Married,8,Travel_Frequently,No,10,10,7,1,7.0,3,2,2,3,4,4,3,5130,23,1,No,True,7,197.02,23.68,194.55,-11.93,-6.05,-0.5,-23.9,17.25,14.32,18.35,-4.25,-24.64,-0.3,-15.6,3.5,2.89,3.5,0.5,14.29,0.17,0.0,5.5,1.91,6.0,-1.5,-27.27,-0.78,-3.0,75.58,16.69,75.1,11.22,14.85,0.67,25.4,40.58,24.42,38.25,-8.58,-21.13,-0.35,-22.8,4.1,0.5,4.1,-0.2,-4.88,-0.4,-0.1,2.2,0.5,2.15,0.1,4.55,0.2,-0.4,2.4,0.5,2.35,-0.5,-20.83,-1.0,-0.9,33.4,GREEN,GREEN,17.4,1.0
P-000002,2025-09-01,9,179.7,8.7,3,6,88.5,26.4,2,1.41,4.5,2.9,2.4,3.7,3.7,3.4,4.0,2.0,True,-0.0,0.2,-0.173,0.159,0.028,-0.01,-0.026,0.078,0,0,1,1,False,None,Base,1,10,Annual,60,RM002,49,Male,Research & Development,Research Scientist,2,1,Life Sciences,Married,8,Travel_Frequently,No,10,10,7,1,7.0,3,2,2,3,4,4,3,5130,23,1,No,True,8,199.65,20.77,197.05,-19.95,-9.99,-0.96,-5.4,18.48,13.46,20.8,-9.78,-52.91,-0.73,-4.3,4.5,1.73,4.0,-1.5,-33.33,-0.87,-1.0,5.25,2.06,5.5,0.75,14.29,0.36,2.0,75.07,16.18,74.1,13.43,17.88,0.83,1.7,44.02,20.94,43.4,-17.62,-40.03,-0.84,-5.6,4.03,0.5,3.95,0.47,11.8,0.95,0.6,2.33,0.5,2.25,0.57,24.73,1.15,0.6,2.22,0.5,2.1,-0.23,-10.11,-0.45,0.1,17.4,GREEN,GREEN,17.4,1.0
