personnel_id,original_ref_id,age,gender,department,job_role,job_level,education_level,education_field,marital_status,distance_from_home,business_travel,overtime_eligible,total_working_years,years_in_service,years_in_current_role,years_since_last_promotion,years_with_curr_supervisor,baseline_env_satisfaction,baseline_job_satisfaction,baseline_job_involvement,baseline_work_life_balance,baseline_rel_satisfaction,performance_rating,training_times_last_year,monthly_income,percent_salary_hike,num_prior_organizations,hr_attrition_historical
P-000015,RM015,28,Male,Research & Development,Laboratory Technician,1,3,Life Sciences,Single,24,Travel_Rarely,Yes,6,4,2,0,3.0,3,3,2,3,2,3,4,2028,14,5,Yes
P-000016,RM016,29,Female,Research & Development,Manufacturing Director,3,4,Life Sciences,Divorced,21,Travel_Rarely,No,10,10,9,8,8.0,2,1,4,3,3,3,1,9980,11,1,No
P-000017,RM017,32,Male,Research & Development,Research Scientist,1,2,Life Sciences,Divorced,5,Travel_Rarely,Yes,7,6,2,0,5.0,1,2,4,2,4,3,5,3298,12,0,No
P-000018,RM018,22,Male,Research & Development,Laboratory Technician,1,2,Medical,Divorced,16,Non-Travel,Yes,1,1,0,0,0.0,4,4,4,2,2,3,2,2935,13,1,No
P-000019,RM019,53,Female,Sales,Manager,4,4,Life Sciences,Married,2,Travel_Rarely,No,31,25,8,3,7.0,1,4,2,3,3,3,3,15427,16,2,No
P-000020,RM020,38,Male,Research & Development,Research Scientist,1,3,Life Sciences,Single,2,Travel_Rarely,Yes,6,3,2,1,2.0,4,4,3,3,3,3,3,3944,11,5,No
P-000021,RM021,24,Female,Research & Development,Manufacturing Director,2,2,Other,Divorced,11,Non-Travel,No,5,4,2,1,3.0,1,3,4,2,4,3,5,4011,18,0,No
P-000022,RM022,36,Male,Sales,Sales Representative,1,4,Life Sciences,Single,9,Travel_Rarely,No,10,5,3,0,3.0,3,1,2,3,2,4,4,3407,23,7,Yes
P-000023,RM023,34,Female,Research & Development,Research Director,3,4,Life Sciences,Single,7,TravelRarely,No,13,12,6,2,3.0,1,2,3,3,3,3,4,11994,11,0,No
P-000024,RM024,21,Male,Research & Development,Research Scientist,1,2,Life Sciences,Single,15,Travel_Rarely,No,0,0,0,0,3.0,3,4,3,3,4,3,6,1232,14,1,No
P-000025,RM025,34,Male,Research & Development,Research Scientist,1,1,Medical,Single,6,Travel_Rarely,No,8,4,2,1,3.0,2,1,3,3,3,3,2,2960,11,2,Yes
P-000026,RM026,53,Female,Research & Development,Manager,5,3,Other,Divorced,5,Travel_Rarely,No,26,14,13,4,3.0,3,3,3,2,4,3,3,19094,11,4,No
P-000027,RM027,32,Female,Research & Development,Research Scientist,1,1,Life Sciences,Single,16,Travel_Frequently,Yes,10,10,2,6,3.0,2,1,1,3,2,4,5,3919,22,1,Yes
P-000028,RM028,42,Male,Sales,Sales Executive,2,4,Marketing,Married,8,Travel_Rarely,No,10,9,7,4,3.0,3,2,3,3,4,3,2,6825,11,0,No
P-000029,RM029,44,Female,Research & Development,Healthcare Representative,3,4,Medical,Married,7,Travel_Rarely,No,24,22,6,5,3.0,1,4,2,3,4,3,4,10248,14,3,No
P-000030,RM030,46,Female,Sales,Manager,5,4,Marketing,Single,2,Travel_Rarely,No,22,2,2,2,3.0,2,1,3,2,4,3,2,18947,12,3,No
P-000031,RM031,33,Male,Research & Development,Laboratory Technician,1,3,Medical,Single,2,Travel_Rarely,No,7,1,1,0,3.0,3,4,3,3,4,3,3,2496,11,4,No
P-000032,RM032,44,Male,Research & Development,Healthcare Representative,2,4,Other,Married,10,Travel_Rarely,Yes,9,4,2,1,3.0,4,4,3,4,4,3,5,6465,13,2,No
P-000033,RM033,30,Male,Research & Development,Laboratory Technician,1,2,Medical,Single,9,Travel_Rarely,No,10,10,0,1,8.0,4,3,2,3,1,3,5,2206,13,1,No
P-000034,RM034,39,Male,Sales,Sales Representative,2,3,Technical Degree,Married,5,Travel_Rarely,No,19,1,0,0,0.0,4,4,3,4,3,3,6,2086,14,3,Yes
P-000035,RM035,24,Male,Research & Development,Research Scientist,1,3,Medical,Married,1,Travel_Rarely,Yes,6,2,0,2,0.0,2,4,3,2,1,3,2,2293,16,2,Yes
P-000036,RM036,43,Female,Research & Development,Research Scientist,1,2,Medical,Divorced,2,Travel_Rarely,No,6,5,3,1,4.0,4,3,4,2,4,3,3,2645,12,1,No
P-000037,RM037,50,Male,Sales,Sales Representative,1,2,Marketing,Married,3,Travel_Rarely,Yes,3,3,2,0,2.0,1,3,2,3,3,3,2,2683,14,1,Yes
P-000038,RM038,35,Female,Sales,Sales Representative,1,3,Marketing,Married,2,Travel_Rarely,No,2,2,2,2,2.0,4,4,3,3,1,3,3,2014,13,1,No
P-000039,RM039,36,Female,Research & Development,Research Scientist,1,4,Life Sciences,Married,5,Travel_Rarely,Yes,6,1,1,0,0.0,2,1,2,4,4,3,3,3419,14,9,No
P-000040,RM040,33,Female,Sales,Sales Executive,2,3,Life Sciences,Married,1,Travel_Frequently,No,10,5,3,1,3.0,3,1,4,3,1,3,3,5376,19,2,No
P-000041,RM041,35,Male,Research & Development,Laboratory Technician,1,2,Other,Divorced,4,Travel_Rarely,No,1,1,0,0,0.0,3,4,3,3,3,3,3,1951,12,1,No
P-000042,RM042,27,Female,Research & Development,Laboratory Technician,1,4,Life Sciences,Divorced,2,Travel_Rarely,No,1,1,0,0,0.0,4,1,3,3,4,3,6,2341,13,1,No
P-000043,RM043,26,Male,Research & Development,Laboratory Technician,1,3,Life Sciences,Single,25,Travel_Rarely,No,1,1,0,0,1.0,1,3,1,2,3,3,2,2293,12,1,Yes
P-000044,RM044,27,Male,Sales,Sales Executive,3,3,Life Sciences,Single,8,Travel_Frequently,No,9,9,8,1,7.0,4,3,3,3,4,3,0,8726,15,1,No
P-000045,RM045,30,Female,Research & Development,Laboratory Technician,2,2,Medical,Single,1,Travel_Frequently,No,12,12,8,3,7.0,3,4,3,3,4,4,2,4011,23,1,No
P-000046,RM046,41,Female,Research & Development,Research Director,5,3,Technical Degree,Married,12,Travel_Rarely,No,23,22,15,15,8.0,2,3,3,3,4,3,0,19545,12,1,Yes
P-000047,RM047,34,Male,Sales,Sales Executive,2,4,Marketing,Single,23,Non-Travel,No,10,9,5,8,7.0,2,3,3,3,3,4,2,4568,20,0,No
P-000048,RM048,37,Male,Research & Development,Research Scientist,1,2,Life Sciences,Married,19,Travel_Rarely,No,8,1,0,0,0.0,2,2,3,3,1,4,1,3022,21,4,No
P-000049,RM049,46,Male,Sales,Sales Executive,2,4,Marketing,Single,5,Travel_Frequently,Yes,14,9,6,0,8.0,1,4,3,3,3,4,4,5772,21,4,No
P-000050,RM050,35,Male,Research & Development,Laboratory Technician,1,1,Life Sciences,Married,8,Travel_Rarely,No,1,1,0,0,1.0,4,4,4,3,4,3,2,2269,19,1,No
P-000051,RM051,48,Male,Research & Development,Laboratory Technician,3,2,Life Sciences,Single,1,Travel_Rarely,Yes,23,1,0,0,0.0,1,3,2,3,4,3,2,5381,13,9,Yes
P-000052,RM052,28,Male,Research & Development,Laboratory Technician,1,4,Technical Degree,Single,5,Travel_Rarely,Yes,2,2,2,2,2.0,3,3,3,2,3,3,3,3441,13,1,Yes
P-000053,RM053,44,Female,Sales,Sales Executive,2,5,Marketing,Divorced,1,Travel_Rarely,Yes,9,4,3,1,3.0,2,1,3,2,3,4,2,5454,21,5,No
P-000054,RM054,35,Male,Research & Development,Healthcare Representative,3,2,Medical,Married,11,Non-Travel,Yes,10,4,0,2,3.0,3,1,2,3,3,3,3,9884,13,2,No
P-000055,RM055,26,Female,Sales,Sales Executive,2,3,Marketing,Married,23,Travel_Rarely,Yes,5,2,2,0,0.0,3,4,2,2,3,3,2,4157,19,7,No
P-000056,RM056,33,Female,Research & Development,Research Director,3,2,Life Sciences,Single,1,Travel_Frequently,Yes,15,15,14,8,12.0,1,4,3,3,3,3,1,13458,12,1,No
P-000057,RM057,35,Male,Sales,Sales Executive,3,5,Life Sciences,Married,18,Travel_Frequently,No,9,9,8,1,8.0,2,1,3,2,4,4,3,9069,22,1,No
P-000058,RM058,35,Female,Research & Development,Laboratory Technician,1,4,Medical,Married,23,Travel_Rarely,Yes,4,2,2,2,2.0,3,1,3,3,3,3,3,4014,15,3,No
P-000059,RM059,31,Male,Research & Development,Laboratory Technician,2,4,Life Sciences,Divorced,7,Travel_Rarely,No,10,7,7,1,7.0,4,4,3,2,4,4,3,5915,22,3,No
P-000060,RM060,37,Male,Research & Development,Manufacturing Director,2,4,Life Sciences,Divorced,1,Travel_Rarely,No,7,7,5,0,7.0,1,3,2,4,3,3,2,5993,18,1,No
P-000061,RM061,32,Male,Research & Development,Manufacturing Director,2,3,Medical,Married,1,Travel_Rarely,Yes,9,9,8,7,8.0,1,4,3,3,2,4,3,6162,22,1,No
P-000062,RM062,38,Female,Research & Development,Laboratory Technician,2,5,Life Sciences,Single,29,Travel_Frequently,No,10,10,3,9,9.0,4,4,3,3,4,3,2,2406,11,1,No
P-000063,RM063,50,Female,Research & Development,Research Director,5,2,Medical,Divorced,7,Travel_Rarely,Yes,29,27,3,13,8.0,2,3,2,2,4,3,2,18740,12,5,No
P-000064,RM064,59,Female,Sales,Sales Executive,3,3,Life Sciences,Single,25,Travel_Rarely,No,28,21,16,7,9.0,1,1,3,2,4,3,3,7637,11,7,No
P-000065,RM065,36,Female,Research & Development,Healthcare Representative,3,3,Technical Degree,Divorced,8,Travel_Rarely,No,17,17,14,12,8.0,3,3,3,3,2,3,2,10096,13,1,No
P-000066,RM066,55,Female,Research & Development,Manager,4,3,Medical,Divorced,8,Travel_Rarely,Yes,21,5,0,0,2.0,4,3,3,3,3,3,2,14756,14,2,No
P-000067,RM067,36,Male,Research & Development,Manufacturing Director,2,3,Life Sciences,Single,11,Travel_Frequently,No,6,6,5,0,3.0,2,2,2,3,3,3,3,6499,13,1,No
P-000068,RM068,45,Male,Research & Development,Research Scientist,3,3,Life Sciences,Divorced,7,Travel_Rarely,No,25,1,0,0,0.0,2,1,3,3,3,3,2,9724,17,2,No
P-000069,RM069,35,Male,Research & Development,Research Scientist,1,3,Medical,Married,1,Travel_Frequently,No,5,3,2,1,2.0,2,1,3,2,4,3,2,2194,13,4,No
P-000070,RM070,36,Male,Research & Development,Research Scientist,1,3,Medical,Married,9,Travel_Rarely,Yes,2,1,0,0,3.0,4,3,2,2,1,3,0,3388,17,0,Yes
P-000071,RM071,59,Female,Sales,Sales Executive,2,1,Life Sciences,Single,1,Travel_Frequently,No,20,4,3,1,3.0,1,3,2,2,4,3,2,5473,11,7,No
P-000072,RM072,29,Male,Research & Development,Research Scientist,1,3,Life Sciences,Married,2,Travel_Rarely,No,6,5,4,0,3.0,3,2,3,3,4,4,3,2703,23,0,No
P-000073,RM073,31,Male,Research & Development,Research Scientist,1,4,Medical,Single,1,Travel_Rarely,No,1,1,1,1,3.0,3,2,3,3,2,3,4,2501,17,1,No
P-000074,RM074,32,Male,Research & Development,Research Scientist,2,3,Life Sciences,Married,1,Travel_Rarely,No,10,10,4,0,3.0,2,2,3,3,2,3,3,6220,17,1,No
P-000075,RM075,36,Female,Research & Development,Laboratory Technician,1,3,Life Sciences,Married,6,Travel_Rarely,No,5,1,0,0,3.0,2,4,4,3,2,3,3,3038,12,3,No
P-000076,RM076,31,Female,Research & Development,Manufacturing Director,2,4,Life Sciences,Single,8,Travel_Rarely,No,11,11,7,1,3.0,3,4,3,3,4,4,2,4424,23,1,No
P-000077,RM077,35,Male,Sales,Sales Executive,2,4,Marketing,Single,1,Travel_Rarely,No,16,15,13,2,3.0,3,1,2,3,2,3,2,4312,14,0,No
P-000078,RM078,45,Male,Research & Development,Research Director,3,4,Other,Married,6,Travel_Rarely,Yes,17,0,0,0,3.0,4,1,3,4,2,3,3,13245,14,4,No
P-000079,RM079,37,Male,Research & Development,Research Director,3,4,Medical,Single,7,Travel_Rarely,No,16,5,2,0,2.0,1,3,3,4,1,3,3,13664,13,4,No
P-000080,RM080,46,Male,Human Resources,Human Resources,2,2,Medical,Divorced,5,Travel_Rarely,Yes,16,4,2,0,2.0,2,2,3,3,4,4,2,5021,22,8,No
P-000081,RM081,30,Male,Research & Development,Laboratory Technician,2,1,Life Sciences,Married,1,Travel_Rarely,Yes,10,10,8,3,0.0,4,4,2,2,3,3,1,5126,12,1,No
P-000082,RM082,35,Male,Research & Development,Research Scientist,1,3,Medical,Single,1,Travel_Rarely,No,6,6,4,0,4.0,2,3,2,3,1,3,3,2859,18,1,No
P-000083,RM083,55,Male,Sales,Sales Executive,3,2,Life Sciences,Married,1,Travel_Rarely,No,24,1,0,1,0.0,1,4,3,3,4,3,4,10239,14,3,No
P-000084,RM084,38,Female,Research & Development,Research Scientist,2,3,Medical,Divorced,6,Non-Travel,Yes,17,13,11,1,9.0,2,4,1,3,4,3,3,5329,12,7,No
P-000085,RM085,34,Male,Research & Development,Manufacturing Director,2,2,Medical,Married,1,Travel_Rarely,No,5,5,2,1,3.0,1,2,3,3,3,3,2,4325,15,1,No
P-000086,RM086,56,Male,Research & Development,Manufacturing Director,3,3,Life Sciences,Single,7,Travel_Rarely,No,37,6,4,0,2.0,4,4,1,2,1,3,3,7260,11,4,No
P-000087,RM087,23,Male,Sales,Sales Representative,1,1,Technical Degree,Divorced,2,Travel_Rarely,No,3,0,0,0,0.0,3,1,3,3,3,3,3,2322,13,3,No
P-000088,RM088,51,Male,Research & Development,Laboratory Technician,1,4,Life Sciences,Married,9,Travel_Rarely,No,10,4,2,0,3.0,4,4,3,3,2,4,4,2075,23,3,No
P-000089,RM089,30,Male,Research & Development,Healthcare Representative,2,3,Life Sciences,Married,2,Travel_Rarely,No,11,11,10,10,8.0,3,4,2,3,1,3,3,4152,19,1,No
P-000090,RM090,46,Male,Sales,Sales Executive,3,2,Medical,Single,9,Travel_Rarely,No,9,9,8,4,7.0,3,4,2,3,4,3,3,9619,16,1,Yes
P-000091,RM091,40,Male,Research & Development,Healthcare Representative,4,4,Life Sciences,Married,1,Travel_Frequently,No,22,22,3,11,11.0,3,2,2,2,4,4,3,13503,22,1,No
P-000092,RM092,51,Male,Sales,Sales Executive,2,4,Marketing,Single,21,Travel_Rarely,Yes,11,10,7,1,0.0,3,4,3,1,4,4,2,5441,22,0,No
P-000093,RM093,30,Female,Sales,Sales Executive,2,2,Medical,Divorced,4,Travel_Rarely,Yes,11,11,8,2,7.0,3,2,2,2,2,3,4,5209,12,1,No
P-000094,RM094,46,Male,Research & Development,Healthcare Representative,3,3,Medical,Married,1,Travel_Frequently,Yes,21,10,9,9,5.0,3,1,2,2,3,3,5,10673,13,2,No
P-000095,RM095,32,Male,Sales,Sales Executive,2,4,Medical,Single,6,Travel_Rarely,No,12,11,8,5,7.0,2,3,3,3,1,3,0,5010,16,1,No
P-000096,RM096,54,Female,Research & Development,Research Director,3,4,Technical Degree,Married,2,Travel_Rarely,No,16,4,3,0,3.0,1,3,3,1,1,3,5,13549,12,9,No
P-000097,RM097,24,Female,Sales,Sales Executive,2,2,Other,Married,3,Travel_Rarely,No,4,3,2,0,2.0,1,3,3,2,1,4,2,4999,21,0,No
P-000098,RM098,28,Male,Sales,Sales Executive,2,3,Medical,Married,4,Non-Travel,No,5,5,4,0,4.0,2,3,3,4,2,3,3,4221,15,1,No
P-000099,RM099,58,Male,Sales,Sales Executive,4,4,Medical,Single,10,Travel_Rarely,No,38,37,10,1,8.0,4,3,3,2,3,3,1,13872,13,0,No
P-000100,RM100,44,Male,Research & Development,Laboratory Technician,2,3,Medical,Married,23,Non-Travel,No,17,3,2,1,2.0,2,2,3,4,3,3,3,2042,12,4,No
P-000101,RM1000,42,Female,Human Resources,Manager,4,3,Human Resources,Married,10,Travel_Rarely,No,21,20,7,0,9.0,3,1,3,3,3,3,5,16799,14,0,No
P-000102,RM1001,52,Female,Research & Development,Laboratory Technician,1,4,Other,Married,8,Travel_Rarely,No,12,5,4,0,4.0,3,1,3,1,3,3,2,2950,13,9,No
P-000103,RM1002,37,Female,Research & Development,Laboratory Technician,1,3,Medical,Single,11,Travel_Rarely,No,8,3,2,0,2.0,1,3,3,3,1,3,6,3629,18,4,No
P-000104,RM1003,35,Male,Research & Development,Manufacturing Director,3,2,Life Sciences,Single,18,Travel_Frequently,No,10,2,2,2,2.0,3,4,3,3,3,3,2,9362,11,2,No
P-000105,RM1004,25,Male,Research & Development,Laboratory Technician,1,3,Technical Degree,Married,1,Travel_Rarely,No,7,3,2,0,2.0,1,4,3,2,2,3,2,3229,11,4,No
P-000106,RM1005,26,Male,Research & Development,Laboratory Technician,1,3,Other,Single,7,Travel_Rarely,No,8,7,7,0,7.0,3,1,4,3,4,3,2,3578,12,0,No
P-000107,RM1006,29,Male,Human Resources,Human Resources,3,3,Other,Single,17,Travel_Rarely,No,10,10,9,0,9.0,2,1,2,2,1,3,3,7988,13,1,No
P-000108,RM1007,49,Male,Research & Development,Laboratory Technician,2,2,Life Sciences,Single,28,Travel_Frequently,No,20,4,3,1,3.0,1,1,2,3,1,4,2,4284,20,3,Yes
P-000109,RM1008,29,Female,Research & Development,Healthcare Representative,3,1,Other,Single,14,Travel_Frequently,Yes,9,8,7,7,7.0,3,4,3,3,1,3,1,7553,12,0,Yes
P-000110,RM1009,54,Female,Research & Development,Research Director,4,3,Medical,Single,1,Travel_Rarely,No,29,20,7,12,7.0,4,4,3,2,4,3,3,17328,19,6,No
P-000111,RM101,37,Male,Human Resources,Human Resources,1,4,Human Resources,Divorced,6,Travel_Rarely,Yes,7,3,2,0,2.0,3,1,3,3,4,4,3,2073,22,4,Yes
P-000112,RM1010,58,Female,Research & Development,Research Director,5,3,Medical,Married,1,Travel_Rarely,Yes,32,9,8,1,5.0,4,1,3,3,3,4,3,19701,21,3,No
P-000113,RM1011,55,Male,Research & Development,Research Director,4,4,Medical,Divorced,1,Travel_Rarely,No,31,7,7,0,0.0,2,4,4,4,4,3,4,14732,13,2,No
P-000114,RM1012,36,Female,Sales,Sales Executive,2,4,Marketing,Single,3,Travel_Rarely,Yes,15,5,4,0,1.0,1,2,3,3,4,3,3,9278,16,3,No
P-000115,RM1013,31,Female,Sales,Sales Representative,1,4,Life Sciences,Single,1,Travel_Frequently,No,1,1,0,0,0.0,2,3,1,3,2,3,3,1359,12,1,Yes
P-000116,RM1014,30,Female,Sales,Sales Executive,2,4,Marketing,Divorced,7,Travel_Rarely,No,8,3,2,0,2.0,4,1,3,3,2,3,3,4779,14,7,No
P-000117,RM1015,31,Female,Research & Development,Research Director,4,5,Life Sciences,Single,8,Travel_Rarely,No,9,3,2,1,0.0,1,2,3,4,3,3,3,16422,11,3,No
P-000118,RM1016,34,Male,Research & Development,Research Scientist,1,4,Other,Divorced,1,Travel_Frequently,No,10,4,3,1,3.0,4,1,3,3,3,3,2,2996,14,5,No
P-000119,RM1017,31,Female,Research & Development,Research Scientist,1,3,Life Sciences,Single,8,Travel_Rarely,No,1,1,0,0,0.0,1,2,2,4,3,3,3,1261,12,1,Yes
P-000120,RM1018,27,Male,Research & Development,Laboratory Technician,1,1,Life Sciences,Married,11,Travel_Rarely,No,6,5,0,1,4.0,2,1,3,4,2,3,3,2099,14,0,No
P-000121,RM1019,36,Male,Research & Development,Laboratory Technician,2,4,Life Sciences,Single,4,Travel_Rarely,No,10,10,4,1,8.0,1,4,2,2,3,3,2,5810,16,1,No
P-000122,RM102,32,Male,Research & Development,Research Scientist,1,1,Life Sciences,Single,1,Travel_Rarely,No,1,1,0,0,0.0,4,1,3,3,4,3,2,2956,13,1,No
P-000123,RM1020,36,Female,Sales,Sales Executive,2,4,Marketing,Married,16,Travel_Rarely,No,11,3,2,0,2.0,3,1,2,2,1,3,3,5647,13,4,No
P-000124,RM1021,47,Male,Research & Development,Research Scientist,1,3,Technical Degree,Married,1,Travel_Rarely,No,17,6,5,1,2.0,1,4,3,2,3,3,2,3420,12,7,No
P-000125,RM1022,25,Male,Sales,Sales Representative,1,2,Life Sciences,Married,9,Travel_Rarely,No,6,3,2,2,2.0,1,1,2,3,1,3,2,4400,12,3,Yes
P-000126,RM1023,37,Male,Research & Development,Laboratory Technician,1,2,Technical Degree,Single,5,Non-Travel,No,7,6,5,1,3.0,3,3,4,1,1,3,2,3500,14,0,No
P-000127,RM1024,56,Female,Research & Development,Research Scientist,1,2,Life Sciences,Married,1,Travel_Rarely,No,5,3,2,1,0.0,1,1,3,4,4,4,3,2066,22,2,No
P-000128,RM1025,47,Female,Research & Development,Research Director,4,4,Medical,Married,2,Travel_Rarely,No,26,20,17,5,6.0,1,3,3,4,2,3,2,17169,19,3,No
P-000129,RM1026,24,Female,Sales,Sales Executive,2,1,Medical,Married,4,Travel_Rarely,Yes,5,5,4,0,3.0,4,3,3,3,3,3,3,4162,12,1,No
P-000130,RM1027,32,Male,Sales,Sales Executive,2,5,Marketing,Married,7,Travel_Rarely,No,7,4,3,0,3.0,4,4,3,2,3,3,3,9204,12,4,No
P-000131,RM1028,34,Female,Research & Development,Laboratory Technician,1,3,Life Sciences,Married,1,Travel_Rarely,No,7,5,4,0,2.0,4,2,2,2,1,3,2,3294,17,5,No
P-000132,RM1029,41,Male,Research & Development,Research Scientist,1,5,Medical,Married,5,Travel_Rarely,Yes,7,4,2,0,3.0,2,3,4,2,1,3,5,2127,12,2,No
P-000133,RM103,20,Female,Research & Development,Laboratory Technician,1,3,Life Sciences,Single,6,Travel_Frequently,Yes,1,1,0,1,0.0,4,4,2,3,2,3,5,2926,18,1,Yes
P-000134,RM1030,40,Male,Research & Development,Laboratory Technician,2,4,Other,Divorced,9,Non-Travel,No,11,8,7,0,7.0,3,3,3,4,3,3,2,3975,11,3,No
P-000135,RM1031,31,Male,Sales,Sales Executive,3,2,Life Sciences,Divorced,8,Travel_Rarely,No,13,13,7,9,9.0,1,4,3,3,1,3,5,10793,18,1,No
P-000136,RM1032,46,Male,Sales,Sales Executive,3,3,Marketing,Divorced,9,Travel_Rarely,No,28,7,7,4,3.0,1,4,3,4,1,3,1,10096,11,4,Yes
P-000137,RM1033,39,Female,Research & Development,Laboratory Technician,1,3,Life Sciences,Single,2,Non-Travel,Yes,11,1,0,0,0.0,1,1,2,4,2,4,2,3646,23,2,Yes
P-000138,RM1034,31,Female,Research & Development,Manufacturing Director,3,5,Life Sciences,Single,1,Travel_Frequently,No,10,10,8,4,7.0,3,2,4,3,1,3,2,7446,11,1,Yes
P-000139,RM1035,45,Male,Research & Development,Healthcare Representative,3,3,Medical,Divorced,20,Travel_Rarely,Yes,24,7,7,0,7.0,2,1,1,3,2,3,2,10851,18,2,No
P-000140,RM1036,31,Female,Human Resources,Human Resources,1,2,Medical,Single,8,Travel_Rarely,No,8,3,2,0,2.0,4,2,4,3,4,3,3,2109,18,9,No
P-000141,RM1037,31,Male,Research & Development,Laboratory Technician,1,3,Life Sciences,Married,2,Travel_Frequently,Yes,7,2,2,2,2.0,2,4,3,1,3,3,2,3722,13,6,Yes
P-000142,RM1038,45,Male,Research & Development,Manufacturing Director,3,3,Technical Degree,Married,29,Travel_Rarely,Yes,10,3,1,1,2.0,2,4,3,4,4,3,4,9380,18,4,No
P-000143,RM1039,48,Male,Sales,Sales Executive,2,3,Marketing,Divorced,7,Travel_Rarely,No,15,2,2,2,2.0,3,1,3,3,1,3,3,5486,11,4,No
P-000144,RM104,34,Female,Research & Development,Research Scientist,2,4,Other,Single,6,Travel_Rarely,No,16,16,13,2,10.0,1,3,3,3,3,3,3,4809,14,1,No
P-000145,RM1040,34,Female,Human Resources,Human Resources,1,4,Technical Degree,Married,9,Travel_Rarely,No,2,2,2,2,2.0,1,3,3,3,4,3,0,2742,15,1,Yes
P-000146,RM1041,40,Male,Research & Development,Research Director,3,1,Medical,Divorced,8,Non-Travel,No,16,9,8,4,8.0,4,2,2,3,3,3,5,13757,11,2,No
P-000147,RM1042,28,Male,Sales,Sales Executive,2,3,Medical,Single,5,Travel_Rarely,No,6,5,4,1,3.0,4,1,3,3,4,3,4,8463,18,0,No
P-000148,RM1043,44,Male,Research & Development,Laboratory Technician,1,3,Life Sciences,Single,5,Non-Travel,No,7,5,2,0,3.0,3,3,2,3,4,3,5,3162,14,3,No
P-000149,RM1044,53,Male,Research & Development,Research Director,4,3,Medical,Single,2,Travel_Rarely,No,35,9,8,8,8.0,4,2,4,2,2,3,2,16598,12,4,No
P-000150,RM1045,49,Male,Research & Development,Healthcare Representative,2,4,Technical Degree,Married,5,Travel_Rarely,No,20,3,2,1,2.0,1,3,3,2,2,3,0,6651,14,2,No
P-000151,RM1046,40,Male,Research & Development,Research Scientist,1,3,Medical,Divorced,2,Travel_Rarely,No,8,3,1,1,2.0,3,3,3,4,3,3,3,2345,14,2,No
P-000152,RM1047,44,Male,Research & Development,Research Scientist,1,3,Life Sciences,Single,20,Travel_Rarely,No,6,5,2,1,3.0,4,2,3,2,3,3,3,3420,13,1,No
