personnel_id,leave_id,month_idx,date,leave_start_date,leave_end_date,duration_days,leave_type,days_since_previous_leave
P-000035,LV-0000114,6,2025-06-01,2025-06-07,2025-06-20,13,Annual,60
P-000035,LV-0000115,8,2025-08-01,2025-08-12,2025-08-19,7,Annual,60
P-000035,LV-0000116,11,2025-11-01,2025-11-08,2025-11-18,10,Annual,90
P-000036,LV-0000117,6,2025-06-01,2025-06-09,2025-06-14,5,Casual,210
P-000036,LV-0000118,12,2025-12-01,2025-12-12,2025-12-16,4,Casual,180
P-000037,LV-0000119,5,2025-05-01,2025-05-09,2025-05-21,12,Casual,209
P-000037,LV-0000120,7,2025-07-01,2025-07-11,2025-07-21,10,Annual,60
P-000037,LV-0000121,10,2025-10-01,2025-10-10,2025-10-20,10,Annual,90
P-000038,LV-0000122,1,2025-01-01,2025-01-09,2025-01-20,11,Casual,83
P-000038,LV-0000123,3,2025-03-01,2025-03-07,2025-03-16,9,Annual,60
P-000038,LV-0000124,5,2025-05-01,2025-05-10,2025-05-20,10,Annual,60
P-000038,LV-0000125,7,2025-07-01,2025-07-11,2025-07-23,12,Annual,60
P-000038,LV-0000126,11,2025-11-01,2025-11-06,2025-11-18,12,Casual,120
P-000039,LV-0000127,1,2025-01-01,2025-01-11,2025-01-19,8,Medical/Authorized,79
P-000039,LV-0000128,6,2025-06-01,2025-06-10,2025-06-16,6,Casual,150
P-000039,LV-0000129,12,2025-12-01,2025-12-07,2025-12-14,7,Annual,180
P-000040,LV-0000130,1,2025-01-01,2025-01-09,2025-01-22,13,Casual,60
P-000040,LV-0000131,3,2025-03-01,2025-03-09,2025-03-17,8,Casual,60
P-000040,LV-0000132,6,2025-06-01,2025-06-08,2025-06-18,10,Casual,90
P-000040,LV-0000133,10,2025-10-01,2025-10-09,2025-10-18,9,Annual,120
P-000040,LV-0000134,12,2025-12-01,2025-12-09,2025-12-18,9,Annual,60
P-000041,LV-0000135,2,2025-02-01,2025-02-08,2025-02-16,8,Annual,118
P-000041,LV-0000136,6,2025-06-01,2025-06-07,2025-06-16,9,Annual,120
P-000041,LV-0000137,8,2025-08-01,2025-08-06,2025-08-17,11,Annual,60
P-000041,LV-0000138,10,2025-10-01,2025-10-12,2025-10-25,13,Medical/Authorized,60
P-000041,LV-0000139,12,2025-12-01,2025-12-09,2025-12-20,11,Annual,60
P-000042,LV-0000140,1,2025-01-01,2025-01-11,2025-01-24,13,Casual,89
P-000042,LV-0000141,3,2025-03-01,2025-03-08,2025-03-19,11,Casual,60
P-000042,LV-0000142,6,2025-06-01,2025-06-11,2025-06-18,7,Annual,90
P-000042,LV-0000143,8,2025-08-01,2025-08-06,2025-08-13,7,Medical/Authorized,60
P-000042,LV-0000144,10,2025-10-01,2025-10-09,2025-10-17,8,Casual,60
P-000042,LV-0000145,12,2025-12-01,2025-12-06,2025-12-13,7,Annual,60
P-000043,LV-0000146,3,2025-03-01,2025-03-09,2025-03-21,12,Casual,117
P-000043,LV-0000147,6,2025-06-01,2025-06-12,2025-06-23,11,Annual,90
P-000043,LV-0000148,8,2025-08-01,2025-08-07,2025-08-20,13,Annual,60
P-000043,LV-0000149,11,2025-11-01,2025-11-07,2025-11-18,11,Casual,90
P-000044,LV-0000150,4,2025-04-01,2025-04-12,2025-04-22,10,Medical/Authorized,160
P-000044,LV-0000151,6,2025-06-01,2025-06-09,2025-06-23,14,Recovery,60
P-000044,LV-0000152,9,2025-09-01,2025-09-06,2025-09-15,9,Casual,90
P-000044,LV-0000153,12,2025-12-01,2025-12-10,2025-12-18,8,Annual,90
P-000045,LV-0000154,2,2025-02-01,2025-02-11,2025-02-24,13,Annual,80
P-000045,LV-0000155,5,2025-05-01,2025-05-09,2025-05-17,8,Annual,90
P-000045,LV-0000156,8,2025-08-01,2025-08-12,2025-08-23,11,Casual,90
P-000045,LV-0000157,10,2025-10-01,2025-10-08,2025-10-17,9,Annual,60
P-000046,LV-0000158,4,2025-04-01,2025-04-07,2025-04-14,7,Casual,141
P-000046,LV-0000159,9,2025-09-01,2025-09-12,2025-09-16,4,Casual,150
P-000046,LV-0000160,12,2025-12-01,2025-12-07,2025-12-15,8,Casual,90
P-000047,LV-0000161,3,2025-03-01,2025-03-07,2025-03-16,9,Annual,119
P-000047,LV-0000162,7,2025-07-01,2025-07-10,2025-07-17,7,Annual,120
P-000047,LV-0000163,10,2025-10-01,2025-10-07,2025-10-17,10,Annual,90
P-000048,LV-0000164,1,2025-01-01,2025-01-07,2025-01-18,11,Annual,82
P-000048,LV-0000165,3,2025-03-01,2025-03-10,2025-03-22,12,Casual,60
P-000048,LV-0000166,8,2025-08-01,2025-08-09,2025-08-14,5,Casual,150
P-000048,LV-0000167,12,2025-12-01,2025-12-09,2025-12-16,7,Casual,120
P-000049,LV-0000168,1,2025-01-01,2025-01-07,2025-01-15,8,Annual,74
P-000049,LV-0000169,3,2025-03-01,2025-03-12,2025-03-19,7,Medical/Authorized,60
P-000049,LV-0000170,10,2025-10-01,2025-10-10,2025-10-22,12,Casual,210
P-000049,LV-0000171,12,2025-12-01,2025-12-07,2025-12-14,7,Annual,60
P-000050,LV-0000172,3,2025-03-01,2025-03-08,2025-03-15,7,Casual,106
P-000050,LV-0000173,7,2025-07-01,2025-07-11,2025-07-21,10,Annual,120
P-000051,LV-0000174,4,2025-04-01,2025-04-07,2025-04-19,12,Casual,169
P-000051,LV-0000175,6,2025-06-01,2025-06-09,2025-06-20,11,Annual,60
P-000051,LV-0000176,8,2025-08-01,2025-08-08,2025-08-16,8,Annual,60
P-000051,LV-0000177,11,2025-11-01,2025-11-11,2025-11-23,12,Annual,90
P-000052,LV-0000178,12,2025-12-01,2025-12-06,2025-12-09,3,Casual,387
P-000053,LV-0000179,3,2025-03-01,2025-03-10,2025-03-17,7,Casual,120
P-000053,LV-0000180,6,2025-06-01,2025-06-10,2025-06-25,15,Recovery,90
P-000053,LV-0000181,9,2025-09-01,2025-09-11,2025-09-21,10,Medical/Authorized,90
P-000053,LV-0000182,11,2025-11-01,2025-11-11,2025-11-22,11,Annual,60
P-000054,LV-0000183,2,2025-02-01,2025-02-08,2025-02-19,11,Annual,87
P-000054,LV-0000184,4,2025-04-01,2025-04-07,2025-04-17,10,Casual,60
P-000054,LV-0000185,6,2025-06-01,2025-06-08,2025-06-22,14,Recovery,60
P-000054,LV-0000186,12,2025-12-01,2025-12-09,2025-12-20,11,Medical/Authorized,180
P-000055,LV-0000187,2,2025-02-01,2025-02-10,2025-02-20,10,Casual,80
P-000055,LV-0000188,9,2025-09-01,2025-09-06,2025-09-13,7,Annual,210
P-000055,LV-0000189,12,2025-12-01,2025-12-06,2025-12-13,7,Medical/Authorized,90
P-000056,LV-0000190,5,2025-05-01,2025-05-11,2025-05-22,11,Casual,209
P-000056,LV-0000191,6,2025-06-01,2025-06-11,2025-06-24,13,Recovery,30
P-000056,LV-0000192,9,2025-09-01,2025-09-11,2025-09-24,13,Casual,90
P-000056,LV-0000193,12,2025-12-01,2025-12-12,2025-12-23,11,Medical/Authorized,90
P-000057,LV-0000194,1,2025-01-01,2025-01-08,2025-01-15,7,Casual,61
P-000057,LV-0000195,3,2025-03-01,2025-03-11,2025-03-20,9,Casual,60
P-000057,LV-0000196,8,2025-08-01,2025-08-10,2025-08-19,9,Casual,150
P-000057,LV-0000197,10,2025-10-01,2025-10-08,2025-10-21,13,Annual,60
P-000057,LV-0000198,12,2025-12-01,2025-12-08,2025-12-16,8,Medical/Authorized,60
P-000058,LV-0000199,1,2025-01-01,2025-01-11,2025-01-20,9,Casual,67
P-000058,LV-0000200,7,2025-07-01,2025-07-09,2025-07-20,11,Annual,180
P-000058,LV-0000201,9,2025-09-01,2025-09-07,2025-09-19,12,Medical/Authorized,60
P-000059,LV-0000202,1,2025-01-01,2025-01-06,2025-01-14,8,Casual,82
P-000059,LV-0000203,5,2025-05-01,2025-05-12,2025-05-20,8,Annual,120
P-000059,LV-0000204,8,2025-08-01,2025-08-07,2025-08-18,11,Medical/Authorized,90
P-000059,LV-0000205,10,2025-10-01,2025-10-10,2025-10-18,8,Casual,60
P-000059,LV-0000206,12,2025-12-01,2025-12-10,2025-12-19,9,Annual,60
P-000060,LV-0000207,4,2025-04-01,2025-04-09,2025-04-19,10,Annual,168
P-000060,LV-0000208,10,2025-10-01,2025-10-12,2025-10-23,11,Annual,180
P-000060,LV-0000209,12,2025-12-01,2025-12-08,2025-12-17,9,Annual,60
P-000061,LV-0000210,1,2025-01-01,2025-01-07,2025-01-20,13,Annual,81
P-000061,LV-0000211,4,2025-04-01,2025-04-11,2025-04-19,8,Annual,90
P-000061,LV-0000212,10,2025-10-01,2025-10-11,2025-10-20,9,Medical/Authorized,180
P-000061,LV-0000213,12,2025-12-01,2025-12-07,2025-12-16,9,Annual,60
P-000062,LV-0000214,4,2025-04-01,2025-04-09,2025-04-22,13,Annual,141
P-000062,LV-0000215,7,2025-07-01,2025-07-12,2025-07-22,10,Annual,90
P-000062,LV-0000216,9,2025-09-01,2025-09-10,2025-09-20,10,Casual,60
P-000062,LV-0000217,12,2025-12-01,2025-12-06,2025-12-14,8,Medical/Authorized,90
P-000063,LV-0000218,4,2025-04-01,2025-04-10,2025-04-16,6,Casual,170
P-000063,LV-0000219,11,2025-11-01,2025-11-08,2025-11-14,6,Casual,210
P-000064,LV-0000220,3,2025-03-01,2025-03-08,2025-03-21,13,Medical/Authorized,105
P-000064,LV-0000221,9,2025-09-01,2025-09-07,2025-09-18,11,Annual,180
P-000065,LV-0000222,1,2025-01-01,2025-01-12,2025-01-19,7,Annual,85
P-000065,LV-0000223,5,2025-05-01,2025-05-06,2025-05-14,8,Annual,120
P-000065,LV-0000224,8,2025-08-01,2025-08-08,2025-08-15,7,Annual,90
P-000065,LV-0000225,10,2025-10-01,2025-10-08,2025-10-21,13,Casual,60
P-000065,LV-0000226,12,2025-12-01,2025-12-10,2025-12-19,9,Medical/Authorized,60
P-000066,LV-0000227,2,2025-02-01,2025-02-09,2025-02-22,13,Casual,91
P-000066,LV-0000228,10,2025-10-01,2025-10-07,2025-10-17,10,Annual,240
P-000066,LV-0000229,12,2025-12-01,2025-12-08,2025-12-17,9,Annual,60
P-000067,LV-0000230,1,2025-01-01,2025-01-10,2025-01-22,12,Casual,60
P-000067,LV-0000231,3,2025-03-01,2025-03-09,2025-03-20,11,Casual,60
P-000067,LV-0000232,6,2025-06-01,2025-06-11,2025-06-23,12,Casual,90
P-000067,LV-0000233,8,2025-08-01,2025-08-12,2025-08-25,13,Casual,60
P-000067,LV-0000234,12,2025-12-01,2025-12-12,2025-12-21,9,Annual,120
P-000068,LV-0000235,5,2025-05-01,2025-05-08,2025-05-11,3,Casual,207
P-000068,LV-0000236,11,2025-11-01,2025-11-10,2025-11-15,5,Casual,180
P-000069,LV-0000237,2,2025-02-01,2025-02-07,2025-02-19,12,Casual,83
P-000069,LV-0000238,6,2025-06-01,2025-06-06,2025-06-17,11,Annual,120
P-000069,LV-0000239,8,2025-08-01,2025-08-12,2025-08-24,12,Medical/Authorized,60
P-000069,LV-0000240,10,2025-10-01,2025-10-06,2025-10-17,11,Casual,60
P-000070,LV-0000241,1,2025-01-01,2025-01-09,2025-01-17,8,Casual,87
P-000070,LV-0000242,3,2025-03-01,2025-03-10,2025-03-23,13,Medical/Authorized,60
P-000070,LV-0000243,5,2025-05-01,2025-05-10,2025-05-19,9,Annual,60
P-000070,LV-0000244,11,2025-11-01,2025-11-11,2025-11-20,9,Casual,180
P-000071,LV-0000245,5,2025-05-01,2025-05-09,2025-05-13,4,Casual,165
P-000072,LV-0000246,3,2025-03-01,2025-03-07,2025-03-16,9,Casual,130
P-000072,LV-0000247,5,2025-05-01,2025-05-10,2025-05-22,12,Casual,60
P-000072,LV-0000248,7,2025-07-01,2025-07-08,2025-07-18,10,Casual,60
P-000072,LV-0000249,9,2025-09-01,2025-09-12,2025-09-25,13,Annual,60
P-000072,LV-0000250,12,2025-12-01,2025-12-10,2025-12-20,10,Casual,90
P-000073,LV-0000251,3,2025-03-01,2025-03-12,2025-03-20,8,Casual,107
P-000073,LV-0000252,5,2025-05-01,2025-05-10,2025-05-17,7,Casual,60
P-000073,LV-0000253,7,2025-07-01,2025-07-12,2025-07-20,8,Annual,60
P-000073,LV-0000254,10,2025-10-01,2025-10-11,2025-10-20,9,Annual,90
P-000074,LV-0000255,6,2025-06-01,2025-06-07,2025-06-12,5,Casual,196
P-000075,LV-0000256,2,2025-02-01,2025-02-08,2025-02-18,10,Casual,104
P-000075,LV-0000257,8,2025-08-01,2025-08-12,2025-08-17,5,Casual,180
P-000075,LV-0000258,10,2025-10-01,2025-10-06,2025-10-17,11,Annual,60
P-000076,LV-0000259,1,2025-01-01,2025-01-11,2025-01-23,12,Casual,88
P-000076,LV-0000260,10,2025-10-01,2025-10-09,2025-10-18,9,Casual,270
P-000077,LV-0000261,5,2025-05-01,2025-05-10,2025-05-16,6,Casual,187
P-000077,LV-0000262,12,2025-12-01,2025-12-06,2025-12-12,6,Casual,210
P-000078,LV-0000263,1,2025-01-01,2025-01-08,2025-01-17,9,Medical/Authorized,85
P-000078,LV-0000264,5,2025-05-01,2025-05-07,2025-05-18,11,Annual,120
P-000078,LV-0000265,9,2025-09-01,2025-09-11,2025-09-18,7,Annual,120
P-000078,LV-0000266,11,2025-11-01,2025-11-09,2025-11-22,13,Casual,60
P-000079,LV-0000267,2,2025-02-01,2025-02-10,2025-02-19,9,Annual,88
P-000079,LV-0000268,4,2025-04-01,2025-04-12,2025-04-23,11,Annual,60
P-000079,LV-0000269,6,2025-06-01,2025-06-07,2025-06-16,9,Casual,60
P-000079,LV-0000270,9,2025-09-01,2025-09-09,2025-09-16,7,Annual,90
P-000080,LV-0000271,3,2025-03-01,2025-03-09,2025-03-20,11,Annual,124
P-000080,LV-0000272,5,2025-05-01,2025-05-12,2025-05-25,13,Annual,60
P-000080,LV-0000273,9,2025-09-01,2025-09-08,2025-09-20,12,Annual,120
P-000080,LV-0000274,11,2025-11-01,2025-11-12,2025-11-22,10,Annual,60
P-000081,LV-0000275,7,2025-07-01,2025-07-10,2025-07-13,3,Casual,225
P-000082,LV-0000276,2,2025-02-01,2025-02-10,2025-02-19,9,Casual,92
P-000082,LV-0000277,11,2025-11-01,2025-11-09,2025-11-17,8,Casual,270
P-000083,LV-0000278,1,2025-01-01,2025-01-12,2025-01-24,12,Annual,84
P-000083,LV-0000279,7,2025-07-01,2025-07-10,2025-07-19,9,Annual,180
P-000083,LV-0000280,9,2025-09-01,2025-09-09,2025-09-22,13,Casual,60
P-000083,LV-0000281,12,2025-12-01,2025-12-11,2025-12-23,12,Annual,90
P-000084,LV-0000282,2,2025-02-01,2025-02-09,2025-02-17,8,Annual,117
P-000084,LV-0000283,4,2025-04-01,2025-04-10,2025-04-22,12,Annual,60
P-000084,LV-0000284,8,2025-08-01,2025-08-09,2025-08-19,10,Medical/Authorized,120
P-000084,LV-0000285,11,2025-11-01,2025-11-06,2025-11-17,11,Casual,90
P-000085,LV-0000286,2,2025-02-01,2025-02-10,2025-02-23,13,Annual,114
P-000085,LV-0000287,4,2025-04-01,2025-04-09,2025-04-20,11,Annual,60
P-000085,LV-0000288,7,2025-07-01,2025-07-09,2025-07-22,13,Annual,90
P-000085,LV-0000289,10,2025-10-01,2025-10-09,2025-10-22,13,Annual,90
P-000086,LV-0000290,2,2025-02-01,2025-02-06,2025-02-14,8,Casual,105
P-000086,LV-0000291,6,2025-06-01,2025-06-11,2025-06-24,13,Annual,120
P-000086,LV-0000292,8,2025-08-01,2025-08-07,2025-08-18,11,Casual,60
P-000086,LV-0000293,11,2025-11-01,2025-11-06,2025-11-18,12,Annual,90
P-000087,LV-0000294,1,2025-01-01,2025-01-07,2025-01-18,11,Annual,70
P-000087,LV-0000295,6,2025-06-01,2025-06-07,2025-06-11,4,Casual,150
P-000087,LV-0000296,11,2025-11-01,2025-11-06,2025-11-16,10,Casual,150
P-000088,LV-0000297,2,2025-02-01,2025-02-08,2025-02-19,11,Annual,77
P-000088,LV-0000298,8,2025-08-01,2025-08-08,2025-08-13,5,Casual,180
P-000088,LV-0000299,10,2025-10-01,2025-10-08,2025-10-18,10,Annual,60
P-000088,LV-0000300,12,2025-12-01,2025-12-08,2025-12-18,10,Casual,60
P-000089,LV-0000301,3,2025-03-01,2025-03-11,2025-03-24,13,Annual,128
P-000089,LV-0000302,6,2025-06-01,2025-06-08,2025-06-20,12,Recovery,90
P-000089,LV-0000303,8,2025-08-01,2025-08-07,2025-08-19,12,Medical/Authorized,60
P-000089,LV-0000304,10,2025-10-01,2025-10-11,2025-10-21,10,Casual,60
P-000089,LV-0000305,12,2025-12-01,2025-12-11,2025-12-19,8,Annual,60
P-000090,LV-0000306,5,2025-05-01,2025-05-06,2025-05-14,8,Annual,192
P-000090,LV-0000307,11,2025-11-01,2025-11-09,2025-11-22,13,Annual,180
P-000091,LV-0000308,1,2025-01-01,2025-01-08,2025-01-16,8,Casual,70
P-000091,LV-0000309,4,2025-04-01,2025-04-09,2025-04-19,10,Annual,90
P-000091,LV-0000310,6,2025-06-01,2025-06-11,2025-06-20,9,Annual,60
P-000091,LV-0000311,10,2025-10-01,2025-10-07,2025-10-20,13,Annual,120
P-000092,LV-0000312,1,2025-01-01,2025-01-12,2025-01-22,10,Casual,72
P-000092,LV-0000313,10,2025-10-01,2025-10-09,2025-10-22,13,Casual,270
P-000092,LV-0000314,12,2025-12-01,2025-12-07,2025-12-17,10,Annual,60
P-000093,LV-0000315,2,2025-02-01,2025-02-10,2025-02-22,12,Annual,78
P-000093,LV-0000316,10,2025-10-01,2025-10-06,2025-10-17,11,Casual,240
P-000094,LV-0000317,5,2025-05-01,2025-05-12,2025-05-19,7,Casual,186
P-000094,LV-0000318,12,2025-12-01,2025-12-11,2025-12-23,12,Casual,210
P-000095,LV-0000319,4,2025-04-01,2025-04-07,2025-04-13,6,Casual,162
