personnel_id,deployment_id,month_idx,date,start_date,end_date,deployment_duration_days,deployment_type,operational_intensity,hardship_level,recovery_required,location_category
P-000004,DEP-V2-0000019,6,2025-06-01,2025-06-03,2025-06-23,20,Extended,5,5,True,Remote/Difficult Terrain
P-000004,DEP-V2-0000020,7,2025-07-01,2025-07-05,2025-07-26,21,Extended,5,5,True,High Altitude/Extreme
P-000004,DEP-V2-0000021,8,2025-08-01,2025-08-03,2025-08-27,24,Extended,5,5,True,High Altitude/Extreme
P-000004,DEP-V2-0000022,9,2025-09-01,2025-09-05,2025-09-23,18,High Tempo,5,4,True,Remote/Difficult Terrain
P-000004,DEP-V2-0000023,10,2025-10-01,2025-10-04,2025-10-26,22,Extended,5,5,True,Remote/Difficult Terrain
P-000004,DEP-V2-0000024,11,2025-11-01,2025-11-04,2025-11-23,19,Extended,4,5,True,Remote/Difficult Terrain
P-000006,DEP-V2-0000025,4,2025-04-01,2025-04-04,2025-04-24,20,Routine,3,2,False,Urban Base
P-000007,DEP-V2-0000026,4,2025-04-01,2025-04-04,2025-04-24,20,Extended,5,4,True,High Altitude/Extreme
P-000007,DEP-V2-0000027,5,2025-05-01,2025-05-05,2025-05-27,22,Extended,4,4,True,High Altitude/Extreme
P-000007,DEP-V2-0000028,6,2025-06-01,2025-06-02,2025-06-27,25,High Tempo,4,4,True,High Altitude/Extreme
P-000007,DEP-V2-0000029,7,2025-07-01,2025-07-05,2025-07-23,18,High Tempo,4,4,True,Remote/Difficult Terrain
P-000007,DEP-V2-0000030,8,2025-08-01,2025-08-02,2025-08-26,24,High Tempo,5,5,True,Remote/Difficult Terrain
P-000007,DEP-V2-0000031,9,2025-09-01,2025-09-04,2025-09-27,23,Extended,4,5,True,High Altitude/Extreme
P-000007,DEP-V2-0000032,10,2025-10-01,2025-10-03,2025-10-26,23,High Tempo,4,5,True,Remote/Difficult Terrain
P-000007,DEP-V2-0000033,11,2025-11-01,2025-11-05,2025-11-26,21,Extended,4,5,True,High Altitude/Extreme
P-000008,DEP-V2-0000034,4,2025-04-01,2025-04-03,2025-04-23,20,Routine,2,1,False,Urban Base
P-000009,DEP-V2-0000035,5,2025-05-01,2025-05-03,2025-05-28,25,Routine,2,1,False,Semi-Urban Outpost
P-000010,DEP-V2-0000036,4,2025-04-01,2025-04-05,2025-04-28,23,Extended,5,5,True,High Altitude/Extreme
P-000010,DEP-V2-0000037,5,2025-05-01,2025-05-02,2025-05-24,22,Extended,5,5,True,High Altitude/Extreme
P-000010,DEP-V2-0000038,6,2025-06-01,2025-06-04,2025-06-23,19,Extended,4,5,True,Remote/Difficult Terrain
P-000010,DEP-V2-0000039,7,2025-07-01,2025-07-05,2025-07-27,22,Extended,5,4,True,Remote/Difficult Terrain
P-000010,DEP-V2-0000040,8,2025-08-01,2025-08-05,2025-08-23,18,High Tempo,5,4,True,Remote/Difficult Terrain
P-000010,DEP-V2-0000041,9,2025-09-01,2025-09-04,2025-09-26,22,High Tempo,4,5,True,Remote/Difficult Terrain
P-000010,DEP-V2-0000042,10,2025-10-01,2025-10-05,2025-10-26,21,High Tempo,4,4,True,High Altitude/Extreme
P-000010,DEP-V2-0000043,11,2025-11-01,2025-11-03,2025-11-27,24,High Tempo,4,4,True,High Altitude/Extreme
P-000011,DEP-V2-0000044,4,2025-04-01,2025-04-05,2025-04-28,23,High Tempo,5,4,True,Remote/Difficult Terrain
P-000011,DEP-V2-0000045,5,2025-05-01,2025-05-04,2025-05-24,20,Extended,5,5,True,High Altitude/Extreme
P-000011,DEP-V2-0000046,6,2025-06-01,2025-06-02,2025-06-26,24,High Tempo,5,5,True,High Altitude/Extreme
P-000011,DEP-V2-0000047,7,2025-07-01,2025-07-03,2025-07-28,25,Extended,4,5,True,High Altitude/Extreme
P-000011,DEP-V2-0000048,8,2025-08-01,2025-08-04,2025-08-27,23,Extended,5,5,True,Remote/Difficult Terrain
P-000011,DEP-V2-0000049,9,2025-09-01,2025-09-04,2025-09-25,21,High Tempo,4,5,True,High Altitude/Extreme
P-000011,DEP-V2-0000050,10,2025-10-01,2025-10-03,2025-10-25,22,High Tempo,5,5,True,Remote/Difficult Terrain
P-000011,DEP-V2-0000051,11,2025-11-01,2025-11-05,2025-11-27,22,High Tempo,4,5,True,High Altitude/Extreme
P-000012,DEP-V2-0000052,4,2025-04-01,2025-04-05,2025-04-28,23,Routine,3,2,False,Urban Base
P-000012,DEP-V2-0000053,5,2025-05-01,2025-05-05,2025-05-23,18,Routine,2,2,False,Urban Base
P-000014,DEP-V2-0000054,4,2025-04-01,2025-04-05,2025-04-23,18,Routine,3,1,False,Urban Base
P-000014,DEP-V2-0000055,5,2025-05-01,2025-05-03,2025-05-26,23,Routine,3,1,False,Urban Base
P-000015,DEP-V2-0000056,4,2025-04-01,2025-04-05,2025-04-28,23,High Tempo,3,3,False,Semi-Urban Outpost
P-000015,DEP-V2-0000057,5,2025-05-01,2025-05-03,2025-05-26,23,High Tempo,5,3,True,Semi-Urban Outpost
P-000015,DEP-V2-0000058,6,2025-06-01,2025-06-03,2025-06-24,21,High Tempo,4,3,True,Remote/Difficult Terrain
P-000015,DEP-V2-0000059,7,2025-07-01,2025-07-04,2025-07-28,24,High Tempo,5,4,True,Remote/Difficult Terrain
P-000015,DEP-V2-0000060,8,2025-08-01,2025-08-04,2025-08-23,19,High Tempo,4,4,True,Remote/Difficult Terrain
P-000016,DEP-V2-0000061,2,2025-02-01,2025-02-04,2025-02-24,20,High Tempo,4,4,True,Remote/Difficult Terrain
P-000016,DEP-V2-0000062,3,2025-03-01,2025-03-02,2025-03-23,21,High Tempo,4,4,True,Remote/Difficult Terrain
P-000016,DEP-V2-0000063,4,2025-04-01,2025-04-04,2025-04-26,22,High Tempo,4,4,True,Remote/Difficult Terrain
P-000016,DEP-V2-0000064,5,2025-05-01,2025-05-05,2025-05-28,23,High Tempo,4,4,True,Remote/Difficult Terrain
P-000017,DEP-V2-0000065,4,2025-04-01,2025-04-03,2025-04-25,22,High Tempo,3,3,False,Semi-Urban Outpost
P-000017,DEP-V2-0000066,5,2025-05-01,2025-05-05,2025-05-23,18,High Tempo,3,3,False,Remote/Difficult Terrain
P-000017,DEP-V2-0000067,6,2025-06-01,2025-06-02,2025-06-27,25,High Tempo,3,3,False,Semi-Urban Outpost
P-000017,DEP-V2-0000068,7,2025-07-01,2025-07-02,2025-07-26,24,High Tempo,3,4,True,Remote/Difficult Terrain
P-000017,DEP-V2-0000069,8,2025-08-01,2025-08-04,2025-08-26,22,High Tempo,3,4,True,Semi-Urban Outpost
P-000019,DEP-V2-0000070,6,2025-06-01,2025-06-03,2025-06-27,24,High Tempo,4,3,True,Semi-Urban Outpost
P-000019,DEP-V2-0000071,7,2025-07-01,2025-07-04,2025-07-27,23,High Tempo,4,3,True,Semi-Urban Outpost
P-000020,DEP-V2-0000072,4,2025-04-01,2025-04-03,2025-04-23,20,Extended,4,4,True,Remote/Difficult Terrain
P-000020,DEP-V2-0000073,5,2025-05-01,2025-05-02,2025-05-23,21,Extended,5,4,True,High Altitude/Extreme
P-000020,DEP-V2-0000074,6,2025-06-01,2025-06-02,2025-06-23,21,High Tempo,5,5,True,High Altitude/Extreme
P-000020,DEP-V2-0000075,7,2025-07-01,2025-07-04,2025-07-27,23,High Tempo,5,4,True,Remote/Difficult Terrain
P-000020,DEP-V2-0000076,8,2025-08-01,2025-08-03,2025-08-24,21,High Tempo,5,5,True,High Altitude/Extreme
P-000020,DEP-V2-0000077,9,2025-09-01,2025-09-04,2025-09-23,19,High Tempo,5,5,True,Remote/Difficult Terrain
P-000020,DEP-V2-0000078,10,2025-10-01,2025-10-05,2025-10-27,22,Extended,4,5,True,High Altitude/Extreme
P-000020,DEP-V2-0000079,11,2025-11-01,2025-11-02,2025-11-27,25,High Tempo,5,5,True,Remote/Difficult Terrain
P-000021,DEP-V2-0000080,4,2025-04-01,2025-04-04,2025-04-28,24,High Tempo,5,5,True,Remote/Difficult Terrain
P-000021,DEP-V2-0000081,5,2025-05-01,2025-05-02,2025-05-24,22,Extended,5,4,True,High Altitude/Extreme
P-000021,DEP-V2-0000082,6,2025-06-01,2025-06-05,2025-06-27,22,High Tempo,5,5,True,Remote/Difficult Terrain
P-000021,DEP-V2-0000083,7,2025-07-01,2025-07-02,2025-07-23,21,High Tempo,5,5,True,Remote/Difficult Terrain
P-000021,DEP-V2-0000084,8,2025-08-01,2025-08-03,2025-08-26,23,Extended,5,5,True,High Altitude/Extreme
P-000021,DEP-V2-0000085,9,2025-09-01,2025-09-02,2025-09-26,24,High Tempo,4,5,True,High Altitude/Extreme
P-000021,DEP-V2-0000086,10,2025-10-01,2025-10-04,2025-10-28,24,High Tempo,4,5,True,High Altitude/Extreme
P-000021,DEP-V2-0000087,11,2025-11-01,2025-11-04,2025-11-27,23,High Tempo,5,4,True,Remote/Difficult Terrain
P-000022,DEP-V2-0000088,2,2025-02-01,2025-02-04,2025-02-25,21,High Tempo,4,4,True,Remote/Difficult Terrain
P-000022,DEP-V2-0000089,3,2025-03-01,2025-03-02,2025-03-24,22,High Tempo,4,4,True,Remote/Difficult Terrain
P-000022,DEP-V2-0000090,4,2025-04-01,2025-04-05,2025-04-28,23,High Tempo,4,4,True,Remote/Difficult Terrain
P-000022,DEP-V2-0000091,5,2025-05-01,2025-05-04,2025-05-26,22,High Tempo,4,4,True,Remote/Difficult Terrain
P-000024,DEP-V2-0000092,5,2025-05-01,2025-05-03,2025-05-23,20,Routine,3,1,False,Semi-Urban Outpost
P-000025,DEP-V2-0000093,3,2025-03-01,2025-03-02,2025-03-25,23,Extended,5,4,True,Remote/Difficult Terrain
P-000025,DEP-V2-0000094,4,2025-04-01,2025-04-02,2025-04-28,26,Extended,4,4,True,High Altitude/Extreme
P-000025,DEP-V2-0000095,5,2025-05-01,2025-05-03,2025-05-24,21,Extended,4,4,True,High Altitude/Extreme
P-000025,DEP-V2-0000096,6,2025-06-01,2025-06-03,2025-06-28,25,Extended,5,5,True,High Altitude/Extreme
P-000025,DEP-V2-0000097,7,2025-07-01,2025-07-02,2025-07-26,24,Extended,4,4,True,Remote/Difficult Terrain
P-000025,DEP-V2-0000098,8,2025-08-01,2025-08-03,2025-08-28,25,Extended,5,5,True,Remote/Difficult Terrain
P-000025,DEP-V2-0000099,9,2025-09-01,2025-09-03,2025-09-27,24,Extended,5,4,True,High Altitude/Extreme
P-000026,DEP-V2-0000100,4,2025-04-01,2025-04-04,2025-04-25,21,High Tempo,5,3,True,Semi-Urban Outpost
P-000026,DEP-V2-0000101,5,2025-05-01,2025-05-02,2025-05-23,21,High Tempo,5,3,True,Semi-Urban Outpost
P-000026,DEP-V2-0000102,6,2025-06-01,2025-06-02,2025-06-24,22,High Tempo,5,4,True,Remote/Difficult Terrain
P-000026,DEP-V2-0000103,7,2025-07-01,2025-07-02,2025-07-28,26,High Tempo,4,3,True,Semi-Urban Outpost
P-000026,DEP-V2-0000104,8,2025-08-01,2025-08-02,2025-08-27,25,High Tempo,4,3,True,Semi-Urban Outpost
P-000027,DEP-V2-0000105,4,2025-04-01,2025-04-02,2025-04-27,25,High Tempo,4,5,True,Remote/Difficult Terrain
P-000027,DEP-V2-0000106,5,2025-05-01,2025-05-02,2025-05-25,23,High Tempo,4,5,True,Remote/Difficult Terrain
P-000027,DEP-V2-0000107,6,2025-06-01,2025-06-05,2025-06-25,20,Extended,5,4,True,High Altitude/Extreme
P-000027,DEP-V2-0000108,7,2025-07-01,2025-07-03,2025-07-26,23,Extended,5,5,True,Remote/Difficult Terrain
P-000027,DEP-V2-0000109,8,2025-08-01,2025-08-02,2025-08-24,22,Extended,4,5,True,Remote/Difficult Terrain
P-000027,DEP-V2-0000110,9,2025-09-01,2025-09-04,2025-09-27,23,High Tempo,5,5,True,Remote/Difficult Terrain
P-000027,DEP-V2-0000111,10,2025-10-01,2025-10-04,2025-10-28,24,High Tempo,4,4,True,Remote/Difficult Terrain
P-000027,DEP-V2-0000112,11,2025-11-01,2025-11-03,2025-11-25,22,High Tempo,4,5,True,Remote/Difficult Terrain
P-000028,DEP-V2-0000113,6,2025-06-01,2025-06-02,2025-06-24,22,High Tempo,4,3,True,Semi-Urban Outpost
P-000028,DEP-V2-0000114,7,2025-07-01,2025-07-05,2025-07-24,19,High Tempo,4,3,True,Semi-Urban Outpost
P-000029,DEP-V2-0000115,4,2025-04-01,2025-04-04,2025-04-25,21,Routine,2,1,False,Semi-Urban Outpost
P-000030,DEP-V2-0000116,4,2025-04-01,2025-04-05,2025-04-25,20,High Tempo,4,3,True,Remote/Difficult Terrain
P-000030,DEP-V2-0000117,5,2025-05-01,2025-05-04,2025-05-27,23,High Tempo,4,4,True,Remote/Difficult Terrain
P-000030,DEP-V2-0000118,6,2025-06-01,2025-06-02,2025-06-23,21,High Tempo,3,4,True,Semi-Urban Outpost
P-000030,DEP-V2-0000119,7,2025-07-01,2025-07-03,2025-07-24,21,High Tempo,4,3,True,Remote/Difficult Terrain
P-000030,DEP-V2-0000120,8,2025-08-01,2025-08-02,2025-08-23,21,High Tempo,3,4,True,Semi-Urban Outpost
P-000031,DEP-V2-0000121,3,2025-03-01,2025-03-04,2025-03-25,21,Extended,4,5,True,Remote/Difficult Terrain
P-000031,DEP-V2-0000122,4,2025-04-01,2025-04-02,2025-04-28,26,Extended,4,4,True,High Altitude/Extreme
P-000031,DEP-V2-0000123,5,2025-05-01,2025-05-03,2025-05-26,23,Extended,5,4,True,Remote/Difficult Terrain
P-000031,DEP-V2-0000124,6,2025-06-01,2025-06-03,2025-06-26,23,Extended,4,4,True,Remote/Difficult Terrain
P-000031,DEP-V2-0000125,7,2025-07-01,2025-07-05,2025-07-24,19,Extended,5,4,True,Remote/Difficult Terrain
P-000031,DEP-V2-0000126,8,2025-08-01,2025-08-05,2025-08-24,19,Extended,4,5,True,High Altitude/Extreme
P-000031,DEP-V2-0000127,9,2025-09-01,2025-09-04,2025-09-24,20,Extended,4,5,True,Remote/Difficult Terrain
P-000032,DEP-V2-0000128,4,2025-04-01,2025-04-04,2025-04-24,20,High Tempo,3,3,False,Remote/Difficult Terrain
P-000032,DEP-V2-0000129,5,2025-05-01,2025-05-04,2025-05-27,23,High Tempo,4,3,True,Remote/Difficult Terrain
P-000032,DEP-V2-0000130,6,2025-06-01,2025-06-04,2025-06-28,24,High Tempo,3,3,False,Remote/Difficult Terrain
P-000032,DEP-V2-0000131,7,2025-07-01,2025-07-03,2025-07-27,24,High Tempo,3,4,True,Remote/Difficult Terrain
P-000032,DEP-V2-0000132,8,2025-08-01,2025-08-04,2025-08-27,23,High Tempo,4,3,True,Remote/Difficult Terrain
P-000033,DEP-V2-0000133,3,2025-03-01,2025-03-02,2025-03-25,23,Extended,4,4,True,Remote/Difficult Terrain
P-000033,DEP-V2-0000134,4,2025-04-01,2025-04-02,2025-04-25,23,Extended,5,4,True,High Altitude/Extreme
P-000033,DEP-V2-0000135,5,2025-05-01,2025-05-03,2025-05-26,23,Extended,4,4,True,Remote/Difficult Terrain
P-000033,DEP-V2-0000136,6,2025-06-01,2025-06-02,2025-06-26,24,Extended,5,4,True,Remote/Difficult Terrain
P-000033,DEP-V2-0000137,7,2025-07-01,2025-07-05,2025-07-23,18,Extended,3,4,True,Remote/Difficult Terrain
P-000033,DEP-V2-0000138,8,2025-08-01,2025-08-03,2025-08-25,22,Extended,4,5,True,High Altitude/Extreme
P-000033,DEP-V2-0000139,9,2025-09-01,2025-09-04,2025-09-24,20,Extended,4,4,True,Remote/Difficult Terrain
P-000034,DEP-V2-0000140,4,2025-04-01,2025-04-05,2025-04-26,21,High Tempo,4,4,True,Semi-Urban Outpost
P-000034,DEP-V2-0000141,5,2025-05-01,2025-05-03,2025-05-26,23,High Tempo,3,3,False,Semi-Urban Outpost
P-000034,DEP-V2-0000142,6,2025-06-01,2025-06-05,2025-06-24,19,High Tempo,4,3,True,Remote/Difficult Terrain
P-000034,DEP-V2-0000143,7,2025-07-01,2025-07-04,2025-07-28,24,High Tempo,3,4,True,Remote/Difficult Terrain
P-000034,DEP-V2-0000144,8,2025-08-01,2025-08-02,2025-08-26,24,High Tempo,4,3,True,Semi-Urban Outpost
P-000035,DEP-V2-0000145,4,2025-04-01,2025-04-03,2025-04-23,20,Routine,2,2,False,Urban Base
P-000035,DEP-V2-0000146,5,2025-05-01,2025-05-02,2025-05-24,22,Routine,1,2,False,Urban Base
P-000036,DEP-V2-0000147,3,2025-03-01,2025-03-05,2025-03-24,19,Extended,3,4,True,Remote/Difficult Terrain
P-000036,DEP-V2-0000148,4,2025-04-01,2025-04-03,2025-04-23,20,Extended,4,4,True,High Altitude/Extreme
P-000036,DEP-V2-0000149,5,2025-05-01,2025-05-04,2025-05-27,23,Extended,3,5,True,Remote/Difficult Terrain
P-000036,DEP-V2-0000150,6,2025-06-01,2025-06-03,2025-06-23,20,Extended,4,5,True,High Altitude/Extreme
P-000036,DEP-V2-0000151,7,2025-07-01,2025-07-05,2025-07-27,22,Extended,4,4,True,Remote/Difficult Terrain
P-000036,DEP-V2-0000152,8,2025-08-01,2025-08-05,2025-08-28,23,Extended,4,4,True,Remote/Difficult Terrain
P-000036,DEP-V2-0000153,9,2025-09-01,2025-09-04,2025-09-23,19,Extended,4,5,True,High Altitude/Extreme
P-000037,DEP-V2-0000154,2,2025-02-01,2025-02-05,2025-02-23,18,High Tempo,4,4,True,Remote/Difficult Terrain
P-000037,DEP-V2-0000155,3,2025-03-01,2025-03-02,2025-03-27,25,High Tempo,4,4,True,Remote/Difficult Terrain
P-000037,DEP-V2-0000156,4,2025-04-01,2025-04-05,2025-04-28,23,High Tempo,4,4,True,Remote/Difficult Terrain
P-000037,DEP-V2-0000157,5,2025-05-01,2025-05-05,2025-05-26,21,High Tempo,4,4,True,Remote/Difficult Terrain
P-000038,DEP-V2-0000158,2,2025-02-01,2025-02-05,2025-02-27,22,High Tempo,4,4,True,Remote/Difficult Terrain
P-000038,DEP-V2-0000159,3,2025-03-01,2025-03-02,2025-03-23,21,High Tempo,4,4,True,Remote/Difficult Terrain
P-000038,DEP-V2-0000160,4,2025-04-01,2025-04-03,2025-04-27,24,High Tempo,4,4,True,Remote/Difficult Terrain
P-000038,DEP-V2-0000161,5,2025-05-01,2025-05-05,2025-05-23,18,High Tempo,4,4,True,Remote/Difficult Terrain
P-000039,DEP-V2-0000162,4,2025-04-01,2025-04-05,2025-04-24,19,Extended,5,5,True,High Altitude/Extreme
P-000039,DEP-V2-0000163,5,2025-05-01,2025-05-03,2025-05-25,22,Extended,4,5,True,High Altitude/Extreme
P-000039,DEP-V2-0000164,6,2025-06-01,2025-06-03,2025-06-27,24,Extended,5,4,True,Remote/Difficult Terrain
P-000039,DEP-V2-0000165,7,2025-07-01,2025-07-03,2025-07-26,23,Extended,4,5,True,Remote/Difficult Terrain
P-000039,DEP-V2-0000166,8,2025-08-01,2025-08-05,2025-08-25,20,Extended,5,5,True,High Altitude/Extreme
P-000039,DEP-V2-0000167,9,2025-09-01,2025-09-03,2025-09-28,25,High Tempo,4,5,True,High Altitude/Extreme
P-000039,DEP-V2-0000168,10,2025-10-01,2025-10-02,2025-10-26,24,Extended,5,5,True,High Altitude/Extreme
P-000039,DEP-V2-0000169,11,2025-11-01,2025-11-04,2025-11-28,24,Extended,4,4,True,High Altitude/Extreme
P-000041,DEP-V2-0000170,4,2025-04-01,2025-04-03,2025-04-24,21,Routine,2,2,False,Urban Base
P-000041,DEP-V2-0000171,5,2025-05-01,2025-05-02,2025-05-26,24,Routine,2,1,False,Urban Base
P-000042,DEP-V2-0000172,2,2025-02-01,2025-02-02,2025-02-28,26,High Tempo,4,4,True,Remote/Difficult Terrain
P-000042,DEP-V2-0000173,3,2025-03-01,2025-03-03,2025-03-23,20,High Tempo,4,4,True,Remote/Difficult Terrain
P-000042,DEP-V2-0000174,4,2025-04-01,2025-04-05,2025-04-28,23,High Tempo,4,4,True,Remote/Difficult Terrain
P-000042,DEP-V2-0000175,5,2025-05-01,2025-05-03,2025-05-25,22,High Tempo,4,4,True,Remote/Difficult Terrain
P-000043,DEP-V2-0000176,2,2025-02-01,2025-02-05,2025-02-25,20,High Tempo,4,4,True,Remote/Difficult Terrain
P-000043,DEP-V2-0000177,3,2025-03-01,2025-03-04,2025-03-25,21,High Tempo,4,4,True,Remote/Difficult Terrain
P-000043,DEP-V2-0000178,4,2025-04-01,2025-04-03,2025-04-28,25,High Tempo,4,4,True,Remote/Difficult Terrain
P-000043,DEP-V2-0000179,5,2025-05-01,2025-05-04,2025-05-23,19,High Tempo,4,4,True,Remote/Difficult Terrain
P-000045,DEP-V2-0000180,4,2025-04-01,2025-04-03,2025-04-23,20,Routine,2,1,False,Urban Base
P-000046,DEP-V2-0000181,5,2025-05-01,2025-05-02,2025-05-24,22,Routine,1,2,False,Urban Base
P-000047,DEP-V2-0000182,4,2025-04-01,2025-04-03,2025-04-24,21,Routine,1,2,False,Urban Base
P-000047,DEP-V2-0000183,5,2025-05-01,2025-05-02,2025-05-24,22,Routine,2,1,False,Semi-Urban Outpost
P-000048,DEP-V2-0000184,4,2025-04-01,2025-04-04,2025-04-27,23,Routine,1,1,False,Urban Base
P-000049,DEP-V2-0000185,4,2025-04-01,2025-04-03,2025-04-27,24,High Tempo,5,5,True,Remote/Difficult Terrain
P-000049,DEP-V2-0000186,5,2025-05-01,2025-05-02,2025-05-23,21,High Tempo,5,5,True,Remote/Difficult Terrain
P-000049,DEP-V2-0000187,6,2025-06-01,2025-06-03,2025-06-23,20,Extended,5,5,True,High Altitude/Extreme
P-000049,DEP-V2-0000188,7,2025-07-01,2025-07-04,2025-07-26,22,Extended,4,5,True,High Altitude/Extreme
P-000049,DEP-V2-0000189,8,2025-08-01,2025-08-05,2025-08-26,21,Extended,5,5,True,Remote/Difficult Terrain
P-000049,DEP-V2-0000190,9,2025-09-01,2025-09-04,2025-09-27,23,High Tempo,5,5,True,Remote/Difficult Terrain
P-000049,DEP-V2-0000191,10,2025-10-01,2025-10-04,2025-10-27,23,High Tempo,5,4,True,Remote/Difficult Terrain
P-000049,DEP-V2-0000192,11,2025-11-01,2025-11-04,2025-11-23,19,High Tempo,5,5,True,Remote/Difficult Terrain
P-000050,DEP-V2-0000193,4,2025-04-01,2025-04-05,2025-04-27,22,Routine,2,1,False,Urban Base
P-000051,DEP-V2-0000194,4,2025-04-01,2025-04-04,2025-04-26,22,High Tempo,4,3,True,Remote/Difficult Terrain
P-000051,DEP-V2-0000195,5,2025-05-01,2025-05-03,2025-05-24,21,High Tempo,5,4,True,Semi-Urban Outpost
P-000051,DEP-V2-0000196,6,2025-06-01,2025-06-03,2025-06-27,24,High Tempo,4,3,True,Semi-Urban Outpost
P-000051,DEP-V2-0000197,7,2025-07-01,2025-07-05,2025-07-25,20,High Tempo,5,3,True,Semi-Urban Outpost
P-000051,DEP-V2-0000198,8,2025-08-01,2025-08-02,2025-08-27,25,High Tempo,3,3,False,Semi-Urban Outpost
P-000052,DEP-V2-0000199,4,2025-04-01,2025-04-02,2025-04-24,22,Routine,3,1,False,Semi-Urban Outpost
P-000056,DEP-V2-0000200,6,2025-06-01,2025-06-05,2025-06-26,21,High Tempo,4,3,True,Semi-Urban Outpost
P-000056,DEP-V2-0000201,7,2025-07-01,2025-07-04,2025-07-26,22,High Tempo,4,3,True,Semi-Urban Outpost
P-000057,DEP-V2-0000202,5,2025-05-01,2025-05-03,2025-05-25,22,Routine,2,2,False,Urban Base
P-000058,DEP-V2-0000203,4,2025-04-01,2025-04-05,2025-04-28,23,Routine,2,2,False,Semi-Urban Outpost
P-000058,DEP-V2-0000204,5,2025-05-01,2025-05-02,2025-05-27,25,Routine,2,1,False,Urban Base
P-000059,DEP-V2-0000205,4,2025-04-01,2025-04-05,2025-04-27,22,High Tempo,4,4,True,Semi-Urban Outpost
P-000059,DEP-V2-0000206,5,2025-05-01,2025-05-03,2025-05-27,24,High Tempo,5,3,True,Semi-Urban Outpost
P-000059,DEP-V2-0000207,6,2025-06-01,2025-06-03,2025-06-28,25,High Tempo,5,3,True,Semi-Urban Outpost
P-000059,DEP-V2-0000208,7,2025-07-01,2025-07-02,2025-07-26,24,High Tempo,3,4,True,Remote/Difficult Terrain
P-000059,DEP-V2-0000209,8,2025-08-01,2025-08-03,2025-08-28,25,High Tempo,3,4,True,Semi-Urban Outpost
P-000060,DEP-V2-0000210,2,2025-02-01,2025-02-04,2025-02-28,24,High Tempo,4,4,True,Remote/Difficult Terrain
P-000060,DEP-V2-0000211,3,2025-03-01,2025-03-02,2025-03-28,26,High Tempo,4,4,True,Remote/Difficult Terrain
P-000060,DEP-V2-0000212,4,2025-04-01,2025-04-02,2025-04-28,26,High Tempo,4,4,True,Remote/Difficult Terrain
P-000060,DEP-V2-0000213,5,2025-05-01,2025-05-03,2025-05-23,20,High Tempo,4,4,True,Remote/Difficult Terrain
P-000061,DEP-V2-0000214,4,2025-04-01,2025-04-04,2025-04-23,19,High Tempo,4,4,True,Remote/Difficult Terrain
P-000061,DEP-V2-0000215,5,2025-05-01,2025-05-03,2025-05-25,22,High Tempo,5,3,True,Semi-Urban Outpost
P-000061,DEP-V2-0000216,6,2025-06-01,2025-06-03,2025-06-25,22,High Tempo,4,3,True,Remote/Difficult Terrain
