personnel_id,date,month_idx,duty_hours,overtime_hours,night_shifts,consecutive_duty_days,rest_hours,workload_score,operational_intensity,schedule_irregularity
P-000003,2025-05-01,5,224.2,36.0,7,11,44.2,79.0,3,4.31
P-000003,2025-06-01,6,217.9,35.3,8,9,44.4,76.7,4,4.27
P-000003,2025-07-01,7,217.4,36.2,11,11,44.1,82.5,4,3.98
P-000003,2025-08-01,8,221.0,38.4,9,7,43.5,78.3,3,3.78
P-000003,2025-09-01,9,219.9,35.1,6,11,44.5,75.1,3,4.23
P-000003,2025-10-01,10,177.9,10.5,2,3,87.8,24.8,2,2.14
P-000003,2025-11-01,11,175.8,12.0,4,5,87.2,28.0,2,1.55
P-000003,2025-12-01,12,177.6,5.2,2,3,89.9,21.1,2,1.72
P-000004,2025-01-01,1,194.2,8.2,1,5,86.7,28.2,2,1.66
P-000004,2025-02-01,2,180.5,4.1,2,6,88.4,25.8,2,2.47
P-000004,2025-03-01,3,176.5,8.9,4,4,86.5,27.0,2,1.77
P-000004,2025-04-01,4,211.0,39.6,7,8,45.3,72.9,4,4.01
P-000004,2025-05-01,5,228.2,28.2,4,10,46.6,70.6,4,4.14
P-000004,2025-06-01,6,227.4,25.2,4,7,51.3,64.9,4,3.61
P-000004,2025-07-01,7,223.3,22.1,7,11,46.7,71.9,3,4.11
P-000004,2025-08-01,8,225.9,37.6,9,11,45.7,82.8,4,4.14
P-000004,2025-09-01,9,184.2,7.7,1,4,86.9,24.5,2,1.92
P-000004,2025-10-01,10,187.9,16.5,4,4,83.4,35.3,2,2.0
P-000004,2025-11-01,11,184.1,10.7,1,5,85.7,25.7,2,1.54
P-000004,2025-12-01,12,191.0,9.2,1,4,86.3,25.9,2,1.23
P-000005,2025-01-01,1,179.3,3.5,0,4,90.9,18.9,2,2.0
P-000005,2025-02-01,2,186.7,2.1,2,6,93.2,24.2,2,1.64
P-000005,2025-03-01,3,176.9,10.6,0,4,86.0,20.9,2,1.63
P-000005,2025-04-01,4,187.7,3.1,2,5,97.9,23.3,2,1.61
P-000005,2025-05-01,5,185.7,7.8,3,3,89.8,27.1,2,1.87
P-000005,2025-06-01,6,183.8,5.1,4,6,89.9,27.2,2,1.19
P-000005,2025-07-01,7,183.3,5.9,2,6,99.4,22.6,2,1.31
P-000005,2025-08-01,8,191.3,4.3,1,5,88.7,24.5,2,1.36
P-000005,2025-09-01,9,182.0,7.0,3,4,92.9,24.4,2,1.39
P-000005,2025-10-01,10,177.1,5.1,1,4,87.9,19.5,2,1.39
P-000005,2025-11-01,11,181.2,3.0,3,6,99.3,22.9,2,1.52
P-000005,2025-12-01,12,190.7,10.2,1,6,94.5,26.3,2,1.35
P-000006,2025-01-01,1,164.2,0.8,3,4,94.4,15.6,2,1.56
P-000006,2025-02-01,2,165.9,6.8,3,5,90.8,19.7,2,1.4
P-000006,2025-03-01,3,170.1,6.0,2,4,90.5,19.0,2,1.58
P-000006,2025-04-01,4,167.1,8.2,1,5,93.5,16.5,2,1.27
P-000006,2025-05-01,5,163.8,7.1,3,4,92.6,17.4,3,1.11
P-000006,2025-06-01,6,172.2,5.3,0,4,94.7,13.9,2,1.01
P-000006,2025-07-01,7,165.6,10.3,3,5,82.9,22.0,2,1.18
P-000006,2025-08-01,8,173.1,4.3,1,6,98.4,17.1,2,1.42
P-000006,2025-09-01,9,168.2,10.5,1,4,96.5,18.3,2,1.92
P-000006,2025-10-01,10,170.9,7.0,3,5,92.6,22.1,2,1.77
P-000006,2025-11-01,11,156.7,5.9,0,5,91.2,12.0,2,1.78
P-000006,2025-12-01,12,164.4,0.0,3,5,91.6,16.3,2,1.44
P-000007,2025-01-01,1,179.2,4.9,2,5,93.8,22.8,2,1.98
P-000007,2025-02-01,2,189.3,5.8,4,5,96.0,28.5,2,1.53
P-000007,2025-03-01,3,182.9,1.5,1,5,95.3,19.3,2,1.39
P-000007,2025-04-01,4,187.8,5.1,0,6,91.7,22.0,2,1.34
P-000007,2025-05-01,5,184.6,2.8,3,6,97.7,22.9,2,1.0
P-000007,2025-06-01,6,183.8,2.4,4,5,98.5,25.3,2,1.76
P-000007,2025-07-01,7,180.4,5.6,4,5,89.8,27.0,2,1.77
P-000007,2025-08-01,8,182.9,4.5,1,4,92.6,21.0,2,1.64
P-000007,2025-09-01,9,187.2,4.9,1,3,92.1,22.7,2,1.91
P-000007,2025-10-01,10,181.4,7.9,2,3,95.6,22.2,2,1.61
P-000007,2025-11-01,11,180.8,11.1,4,6,89.6,29.8,2,1.62
P-000007,2025-12-01,12,191.8,9.7,3,4,90.5,28.4,2,1.0
P-000008,2025-01-01,1,183.9,18.5,5,7,74.6,42.4,3,2.95
P-000008,2025-02-01,2,186.5,13.3,5,4,76.7,37.8,3,2.54
P-000008,2025-03-01,3,182.3,12.5,2,4,77.0,31.0,3,2.55
P-000008,2025-04-01,4,218.9,40.6,8,10,40.5,81.4,5,4.59
P-000008,2025-05-01,5,238.7,39.7,6,11,47.7,83.7,5,4.48
P-000008,2025-06-01,6,243.4,46.2,8,11,42.7,93.6,5,5.0
P-000008,2025-07-01,7,240.5,55.0,8,9,36.3,95.3,5,4.65
P-000008,2025-08-01,8,240.1,51.3,14,9,38.4,98.0,5,4.31
P-000008,2025-09-01,9,247.1,49.9,13,8,36.9,98.0,5,4.55
P-000008,2025-10-01,10,262.1,51.2,13,10,31.9,98.0,5,4.38
P-000008,2025-11-01,11,249.6,53.1,10,13,35.3,98.0,5,3.8
P-000008,2025-12-01,12,259.3,48.6,14,13,34.6,98.0,5,4.21
P-000009,2025-01-01,1,180.2,19.7,1,6,82.1,29.0,2,1.38
P-000009,2025-02-01,2,170.6,13.2,3,5,84.7,25.7,2,1.6
P-000009,2025-03-01,3,172.2,4.8,1,3,88.1,18.2,2,1.89
P-000009,2025-04-01,4,206.7,35.6,7,11,50.3,70.5,3,3.88
P-000009,2025-05-01,5,203.5,29.9,4,6,51.1,57.1,4,3.33
P-000009,2025-06-01,6,216.1,33.3,5,9,47.5,67.7,4,3.48
P-000009,2025-07-01,7,208.1,32.9,4,10,48.0,64.6,4,3.88
P-000009,2025-08-01,8,210.6,35.7,5,13,44.6,70.1,4,3.55
P-000009,2025-09-01,9,181.4,12.8,4,4,84.9,29.5,2,1.28
P-000009,2025-10-01,10,178.9,11.9,1,6,85.2,25.8,2,1.79
P-000009,2025-11-01,11,173.0,9.4,3,6,86.2,25.4,2,1.63
P-000009,2025-12-01,12,176.3,6.1,3,3,87.6,22.3,2,1.39
P-000010,2025-01-01,1,175.1,11.0,3,5,87.6,26.4,2,1.84
P-000010,2025-02-01,2,170.8,5.9,1,5,89.6,19.3,2,1.97
P-000010,2025-03-01,3,215.3,39.8,6,10,43.1,72.7,3,3.27
P-000010,2025-04-01,4,216.9,33.7,8,11,44.9,76.2,3,4.01
P-000010,2025-05-01,5,223.1,43.5,4,11,41.9,77.2,4,4.34
P-000010,2025-06-01,6,220.5,33.5,9,7,44.9,75.9,3,3.82
P-000010,2025-07-01,7,206.9,33.0,10,9,45.1,75.5,4,4.45
P-000010,2025-08-01,8,228.3,36.0,4,8,44.2,71.2,3,3.45
P-000010,2025-09-01,9,219.7,43.1,6,7,42.1,75.2,3,3.85
P-000010,2025-10-01,10,165.8,14.9,4,3,86.0,25.5,2,1.9
P-000010,2025-11-01,11,165.6,9.7,3,5,88.1,22.2,2,1.77
P-000010,2025-12-01,12,175.5,8.3,4,5,88.7,26.7,2,1.76
P-000011,2025-01-01,1,174.9,2.8,0,4,93.3,14.5,2,1.17
P-000011,2025-02-01,2,183.4,8.4,2,4,92.3,23.8,2,1.36
P-000011,2025-03-01,3,176.4,3.6,1,3,89.6,17.7,2,1.44
P-000011,2025-04-01,4,173.1,5.5,3,4,90.4,21.8,3,1.67
P-000011,2025-05-01,5,172.5,4.8,0,4,94.2,15.4,2,1.6
P-000011,2025-06-01,6,182.5,11.7,3,4,88.5,28.7,2,1.95
P-000011,2025-07-01,7,172.8,6.5,1,4,88.0,19.0,2,1.62
P-000011,2025-08-01,8,173.0,4.1,2,5,91.9,19.4,2,1.5
P-000011,2025-09-01,9,185.1,3.2,0,6,92.1,20.1,2,1.31
P-000011,2025-10-01,10,178.8,10.7,3,4,91.8,25.6,2,1.66
P-000011,2025-11-01,11,181.0,6.3,4,3,84.9,26.7,2,1.6
P-000011,2025-12-01,12,172.5,5.0,2,6,93.0,19.4,2,1.21
P-000012,2025-01-01,1,183.0,12.9,3,4,86.9,28.6,2,1.53
P-000012,2025-02-01,2,184.2,6.5,3,4,89.4,25.0,2,1.16
P-000012,2025-03-01,3,188.1,13.8,3,5,86.5,30.4,2,1.09
P-000012,2025-04-01,4,199.0,2.3,1,6,91.1,25.9,2,1.09
P-000012,2025-05-01,5,181.4,12.0,4,5,87.2,30.6,2,1.77
P-000012,2025-06-01,6,219.9,23.8,3,6,62.9,54.4,4,2.52
P-000012,2025-07-01,7,219.8,26.0,3,8,62.2,58.4,4,3.18
P-000012,2025-08-01,8,181.8,4.9,2,4,90.1,21.8,2,1.2
P-000012,2025-09-01,9,179.9,6.2,0,4,89.5,20.4,2,1.98
P-000012,2025-10-01,10,193.2,7.8,4,4,88.9,32.1,2,1.82
P-000012,2025-11-01,11,183.2,2.2,1,4,91.1,19.1,2,1.13
P-000012,2025-12-01,12,182.1,3.7,2,6,90.5,24.2,2,1.81
P-000013,2025-01-01,1,194.9,11.9,4,5,77.2,38.6,3,2.37
P-000013,2025-02-01,2,185.5,21.6,1,7,73.4,38.1,3,3.01
P-000013,2025-03-01,3,177.4,12.9,3,5,76.8,31.6,3,2.49
P-000013,2025-04-01,4,233.3,40.0,9,10,46.7,85.7,5,4.21
P-000013,2025-05-01,5,227.1,50.7,10,7,40.2,89.8,5,4.54
P-000013,2025-06-01,6,244.8,37.8,13,9,42.9,95.1,5,4.03
P-000013,2025-07-01,7,247.4,48.8,11,11,37.9,98.0,5,4.13
P-000013,2025-08-01,8,250.9,51.8,9,13,41.9,98.0,5,4.27
P-000013,2025-09-01,9,249.6,49.5,12,8,33.9,98.0,5,4.02
P-000013,2025-10-01,10,265.3,47.8,13,9,39.3,98.0,5,5.0
P-000013,2025-11-01,11,266.0,45.0,14,10,34.7,98.0,5,4.55
P-000013,2025-12-01,12,261.2,51.2,14,9,38.3,98.0,5,4.5
P-000014,2025-01-01,1,178.6,4.1,4,5,91.3,25.5,2,1.75
P-000014,2025-02-01,2,180.0,9.2,2,4,87.2,23.0,2,1.0
P-000014,2025-03-01,3,176.6,2.6,0,4,94.0,16.4,2,1.8
P-000014,2025-04-01,4,182.2,7.7,0,5,90.5,22.0,2,1.85
P-000014,2025-05-01,5,185.0,11.5,2,4,88.2,27.1,2,1.61
P-000014,2025-06-01,6,183.3,6.6,0,4,88.1,21.0,2,1.59
P-000014,2025-07-01,7,177.0,9.2,3,4,86.3,23.8,2,1.02
P-000014,2025-08-01,8,177.9,4.3,1,4,96.9,17.7,2,1.39
P-000014,2025-09-01,9,185.1,6.8,2,5,89.7,25.4,2,1.57
P-000014,2025-10-01,10,183.7,5.6,3,4,96.5,22.9,2,1.07
P-000014,2025-11-01,11,180.3,8.6,1,4,88.2,22.0,2,1.41
P-000014,2025-12-01,12,183.4,11.3,1,4,93.4,22.4,2,1.09
P-000015,2025-01-01,1,183.2,3.8,2,4,97.4,20.8,2,1.35
P-000015,2025-02-01,2,181.5,3.8,3,5,95.6,22.8,2,1.3
P-000015,2025-03-01,3,194.7,5.3,4,5,90.0,31.0,2,1.43
P-000015,2025-04-01,4,179.2,8.9,1,3,92.8,21.2,2,1.78
P-000015,2025-05-01,5,180.4,5.8,1,5,95.0,20.9,2,1.66
P-000015,2025-06-01,6,183.7,7.8,4,4,92.9,27.5,2,1.62
P-000015,2025-07-01,7,192.6,6.6,3,4,88.5,29.4,2,1.64
P-000015,2025-08-01,8,184.7,2.7,1,6,92.9,21.6,2,1.43
P-000015,2025-09-01,9,180.3,3.0,1,5,96.6,19.6,2,1.74
P-000015,2025-10-01,10,185.3,6.9,1,7,90.6,25.4,2,1.72
P-000015,2025-11-01,11,191.5,1.8,1,4,91.9,23.1,2,1.7
P-000015,2025-12-01,12,180.4,9.5,1,4,86.3,23.5,2,1.7
P-000016,2025-01-01,1,169.6,7.0,4,4,92.2,22.0,2,1.48
P-000016,2025-02-01,2,172.2,1.8,2,4,88.8,17.8,2,1.4
P-000016,2025-03-01,3,172.4,8.9,3,6,88.6,24.7,2,1.71
P-000016,2025-04-01,4,163.3,6.0,2,4,89.0,15.5,2,1.0
P-000016,2025-05-01,5,178.3,9.4,2,4,90.9,23.3,2,1.62
P-000016,2025-06-01,6,166.9,7.5,3,4,94.4,19.4,2,1.56
P-000016,2025-07-01,7,169.3,0.0,2,3,90.9,16.3,2,1.91
P-000016,2025-08-01,8,170.9,0.0,0,5,92.4,12.3,2,1.0
P-000016,2025-09-01,9,171.0,9.7,0,6,92.4,18.3,2,1.5
P-000016,2025-10-01,10,171.4,12.8,1,3,92.4,19.4,2,1.5
P-000016,2025-11-01,11,174.2,0.9,0,6,93.0,15.7,2,1.5
P-000016,2025-12-01,12,172.3,2.2,3,4,94.8,18.9,2,1.5
P-000017,2025-01-01,1,166.8,6.3,3,4,95.5,18.6,2,1.55
P-000017,2025-02-01,2,173.9,9.6,4,3,90.5,23.9,2,1.36
P-000017,2025-03-01,3,167.3,5.2,0,4,94.2,14.0,2,1.7
P-000017,2025-04-01,4,169.3,9.2,4,4,89.8,23.9,2,1.72
P-000017,2025-05-01,5,168.3,3.4,0,6,91.0,14.2,2,1.16
P-000017,2025-06-01,6,169.6,6.6,2,4,96.0,17.2,2,1.23
P-000017,2025-07-01,7,169.0,2.9,0,5,95.7,13.6,2,1.52
P-000017,2025-08-01,8,176.3,6.5,2,6,93.3,21.2,2,1.18
P-000017,2025-09-01,9,176.9,4.2,4,3,91.7,23.5,2,1.74
P-000017,2025-10-01,10,168.0,9.5,1,4,87.6,17.9,2,1.32
P-000017,2025-11-01,11,166.0,8.0,4,3,89.2,21.8,2,1.77
P-000017,2025-12-01,12,168.0,3.1,1,4,97.2,13.3,2,1.26
P-000018,2025-01-01,1,184.0,8.3,2,6,86.7,28.6,2,2.27
P-000018,2025-02-01,2,181.4,11.0,3,6,85.6,29.2,2,1.65
P-000018,2025-03-01,3,179.9,15.5,4,6,83.8,33.3,2,1.97
P-000018,2025-04-01,4,220.8,26.7,8,6,40.6,70.9,4,3.52
P-000018,2025-05-01,5,211.2,29.0,5,6,55.9,61.2,4,3.75
P-000018,2025-06-01,6,211.9,29.5,4,9,49.6,60.7,4,2.76
P-000018,2025-07-01,7,212.2,37.9,4,7,42.4,66.9,4,3.77
P-000018,2025-08-01,8,224.4,19.2,8,8,56.4,67.8,3,3.65
P-000018,2025-09-01,9,185.9,8.1,2,5,86.8,26.7,2,1.56
P-000018,2025-10-01,10,179.6,7.3,2,4,87.1,24.9,2,2.14
P-000018,2025-11-01,11,186.1,7.2,3,7,87.1,29.6,2,1.68
P-000018,2025-12-01,12,178.1,8.9,3,3,86.4,25.1,2,1.7
P-000019,2025-01-01,1,180.9,10.6,1,4,90.8,23.6,2,1.84
P-000019,2025-02-01,2,170.6,8.0,1,6,94.1,18.9,2,1.53
P-000019,2025-03-01,3,177.4,8.9,1,4,93.2,20.5,2,1.55
P-000019,2025-04-01,4,174.5,11.3,2,3,88.9,23.1,2,1.84
P-000019,2025-05-01,5,173.2,8.2,3,6,97.1,23.5,2,1.89
P-000019,2025-06-01,6,170.2,9.8,1,4,90.3,17.5,2,1.0
P-000019,2025-07-01,7,174.8,0.0,4,3,95.8,19.7,2,1.54
P-000019,2025-08-01,8,173.7,4.7,2,3,93.0,18.6,2,1.6
P-000019,2025-09-01,9,174.6,6.6,0,3,91.6,15.2,2,1.0
P-000019,2025-10-01,10,170.5,6.3,2,4,87.2,21.8,2,2.35
P-000019,2025-11-01,11,178.8,6.2,2,3,92.2,19.7,2,1.01
P-000019,2025-12-01,12,167.4,5.8,2,6,95.4,19.3,2,1.93
P-000020,2025-01-01,1,169.0,8.3,0,5,93.6,15.0,2,1.06
P-000020,2025-02-01,2,171.1,8.3,1,3,97.2,16.9,2,1.66
P-000020,2025-03-01,3,177.6,6.3,4,5,90.6,25.9,2,1.64
P-000020,2025-04-01,4,174.8,8.6,1,6,92.8,20.6,2,1.43
P-000020,2025-05-01,5,169.7,4.1,3,5,91.3,19.6,2,1.31
P-000020,2025-06-01,6,175.7,4.6,1,6,91.6,19.5,2,1.46
P-000020,2025-07-01,7,175.2,6.3,2,6,93.1,20.5,2,1.06
P-000020,2025-08-01,8,173.3,7.5,2,7,90.6,22.0,2,1.27
P-000020,2025-09-01,9,173.3,3.3,4,4,93.9,21.7,2,1.57
P-000020,2025-10-01,10,168.6,10.4,1,5,86.9,19.8,2,1.51
P-000020,2025-11-01,11,172.0,9.9,2,5,87.8,22.7,2,1.65
P-000020,2025-12-01,12,172.8,7.0,3,6,97.8,21.8,2,1.5
P-000021,2025-01-01,1,174.9,8.0,3,4,86.8,24.5,2,1.8
P-000021,2025-02-01,2,174.0,6.5,3,5,87.4,23.5,2,1.58
P-000021,2025-03-01,3,171.2,14.3,1,4,84.3,23.2,2,1.92
P-000021,2025-04-01,4,204.7,30.5,6,11,45.5,66.7,3,3.82
P-000021,2025-05-01,5,206.0,36.3,4,9,40.0,65.5,4,3.65
P-000021,2025-06-01,6,201.6,29.6,8,8,45.2,67.0,3,3.97
P-000021,2025-07-01,7,207.4,28.7,4,6,57.7,59.8,3,4.55
P-000021,2025-08-01,8,208.8,43.2,9,6,40.0,76.6,3,4.03
P-000021,2025-09-01,9,174.4,6.8,1,5,87.3,21.2,2,1.88
P-000021,2025-10-01,10,177.4,13.2,3,4,84.7,28.5,2,2.07
P-000021,2025-11-01,11,166.9,6.5,4,5,87.4,22.5,2,1.54
P-000021,2025-12-01,12,179.1,0.1,2,5,89.9,20.4,2,1.54
P-000022,2025-01-01,1,173.2,4.0,2,5,94.8,18.8,2,1.43
P-000022,2025-02-01,2,178.0,5.5,2,3,90.7,21.1,2,1.67
P-000022,2025-03-01,3,172.9,8.9,3,4,86.6,23.7,2,1.6
P-000022,2025-04-01,4,172.9,2.0,2,4,87.8,18.5,2,1.44
P-000022,2025-05-01,5,179.3,5.6,0,5,87.6,19.1,2,1.25
P-000022,2025-06-01,6,170.7,6.3,0,4,91.9,17.0,2,2.06
P-000022,2025-07-01,7,172.0,5.1,0,4,94.6,13.9,2,1.07
P-000022,2025-08-01,8,176.1,10.2,4,4,87.5,27.6,2,1.91
P-000022,2025-09-01,9,170.5,5.0,1,6,88.7,18.3,2,1.4
P-000022,2025-10-01,10,170.2,8.7,3,3,90.6,22.0,2,1.91
P-000022,2025-11-01,11,165.2,0.8,1,6,94.8,13.1,2,1.21
P-000022,2025-12-01,12,176.0,7.7,2,3,92.7,21.8,2,2.03
P-000023,2025-01-01,1,183.7,8.3,4,4,93.8,28.2,2,1.9
P-000023,2025-02-01,2,176.8,3.1,2,5,97.2,20.3,2,1.87
P-000023,2025-03-01,3,183.3,9.1,2,4,90.4,24.7,2,1.47
P-000023,2025-04-01,4,167.8,5.7,1,5,95.8,16.0,2,1.53
P-000023,2025-05-01,5,179.4,7.3,2,4,91.9,23.6,2,1.98
P-000023,2025-06-01,6,180.1,4.4,0,5,93.0,17.8,2,1.21
P-000023,2025-07-01,7,178.3,9.4,0,4,89.5,19.1,2,1.17
P-000023,2025-08-01,8,177.7,3.6,2,4,90.7,21.2,2,1.81
P-000023,2025-09-01,9,179.2,1.9,2,4,92.0,20.7,2,1.78
P-000023,2025-10-01,10,170.8,0.0,4,5,94.4,20.1,2,1.59
P-000023,2025-11-01,11,175.3,8.2,4,3,94.5,23.5,2,1.5
P-000023,2025-12-01,12,184.8,10.7,2,5,84.5,26.4,2,1.0
P-000024,2025-01-01,1,184.0,7.5,1,4,87.9,22.5,2,1.24
P-000024,2025-02-01,2,174.6,4.2,3,4,96.7,20.6,2,1.67
P-000024,2025-03-01,3,181.5,9.2,4,4,96.0,26.7,2,1.61
P-000024,2025-04-01,4,179.3,9.0,2,5,86.9,24.2,2,1.32
P-000024,2025-05-01,5,174.7,6.0,2,4,90.3,19.9,2,1.3
P-000024,2025-06-01,6,177.6,0.0,1,5,88.6,18.2,2,1.47
P-000024,2025-07-01,7,177.5,5.2,2,3,95.2,19.4,2,1.43
P-000024,2025-08-01,8,179.5,5.4,3,4,91.0,26.0,2,2.52
P-000024,2025-09-01,9,175.1,7.5,4,3,91.9,23.9,2,1.62
P-000024,2025-10-01,10,170.5,0.0,1,5,94.9,14.5,2,1.47
P-000024,2025-11-01,11,173.7,5.1,2,4,91.3,18.8,2,1.19
P-000024,2025-12-01,12,179.8,1.7,2,5,98.3,20.6,2,1.88
P-000025,2025-01-01,1,182.8,8.6,3,4,93.2,25.9,2,1.65
P-000025,2025-02-01,2,179.4,9.4,2,5,88.9,24.4,2,1.48
P-000025,2025-03-01,3,178.7,3.3,0,4,90.5,16.8,2,1.25
P-000025,2025-04-01,4,179.3,5.9,2,4,87.9,22.6,2,1.54
P-000025,2025-05-01,5,181.0,8.9,2,5,91.1,24.7,2,1.61
P-000025,2025-06-01,6,182.0,5.7,4,4,91.4,26.5,2,1.67
P-000025,2025-07-01,7,183.8,1.2,4,5,96.3,25.7,2,1.99
P-000025,2025-08-01,8,176.9,6.3,1,5,83.8,21.1,2,1.32
P-000025,2025-09-01,9,175.9,6.8,1,3,90.3,17.7,2,1.01
P-000025,2025-10-01,10,178.1,9.8,3,5,93.9,24.9,2,1.51
P-000025,2025-11-01,11,179.6,8.6,1,5,91.2,21.5,2,1.25
P-000025,2025-12-01,12,178.3,5.9,0,6,91.9,20.3,2,1.87
P-000026,2025-01-01,1,187.1,11.6,3,6,77.4,35.7,3,2.77
P-000026,2025-02-01,2,193.7,16.8,5,4,75.3,44.0,3,3.33
P-000026,2025-03-01,3,187.3,9.9,5,6,78.1,36.2,3,1.94
P-000026,2025-04-01,4,245.9,47.5,10,8,44.8,94.3,5,4.33
P-000026,2025-05-01,5,244.2,44.7,5,10,37.0,88.3,5,4.85
P-000026,2025-06-01,6,246.5,39.0,7,7,43.3,87.3,5,5.0
P-000026,2025-07-01,7,251.6,43.1,5,8,38.3,86.7,5,4.1
P-000026,2025-08-01,8,253.0,58.7,10,14,37.9,98.0,5,4.43
P-000026,2025-09-01,9,252.2,60.2,9,11,38.4,98.0,5,4.27
P-000026,2025-10-01,10,257.1,46.3,6,10,34.9,95.9,5,4.99
P-000026,2025-11-01,11,269.8,54.3,14,7,38.3,98.0,5,4.14
P-000026,2025-12-01,12,261.1,50.7,10,9,35.6,98.0,5,3.6
P-000027,2025-01-01,1,173.7,5.9,2,5,92.6,19.7,2,1.25
P-000027,2025-02-01,2,180.8,3.3,1,4,92.2,19.4,2,1.49
P-000027,2025-03-01,3,190.4,8.5,2,5,94.6,26.2,2,1.24
P-000027,2025-04-01,4,172.2,6.0,2,4,94.8,18.3,2,1.33
P-000027,2025-05-01,5,181.8,7.9,2,3,89.6,23.2,2,1.5
P-000027,2025-06-01,6,177.4,5.4,2,6,90.6,22.0,2,1.34
P-000027,2025-07-01,7,178.7,7.6,0,6,91.0,19.9,2,1.28
P-000027,2025-08-01,8,178.0,12.6,3,3,93.4,24.2,2,1.24
P-000027,2025-09-01,9,178.1,5.2,4,5,90.2,25.4,2,1.52
P-000027,2025-10-01,10,185.3,10.6,3,5,92.2,27.4,2,1.23
P-000027,2025-11-01,11,176.2,5.9,2,5,95.6,19.6,2,1.1
P-000027,2025-12-01,12,185.5,0.1,1,5,97.1,19.7,2,1.6
P-000028,2025-01-01,1,175.1,10.9,2,5,85.6,25.2,2,1.91
P-000028,2025-02-01,2,181.1,7.4,4,4,87.0,27.2,2,1.5
P-000028,2025-03-01,3,176.5,13.1,2,6,84.8,29.3,2,2.66
P-000028,2025-04-01,4,222.5,33.0,4,11,45.5,68.6,4,3.0
P-000028,2025-05-01,5,219.3,41.6,4,9,43.1,73.7,4,4.38
P-000028,2025-06-01,6,215.7,35.2,4,6,48.4,66.6,4,4.34
P-000028,2025-07-01,7,216.8,35.3,6,13,47.4,72.3,4,3.17
P-000028,2025-08-01,8,206.7,40.0,8,6,44.3,69.8,4,3.11
P-000028,2025-09-01,9,184.5,9.9,3,4,86.0,30.4,2,2.46
P-000028,2025-10-01,10,178.5,14.1,2,3,84.4,26.0,2,1.67
P-000028,2025-11-01,11,176.9,7.7,1,4,86.9,22.8,2,2.25
P-000028,2025-12-01,12,183.5,13.2,1,3,84.7,26.1,2,1.83
P-000029,2025-01-01,1,175.1,6.2,4,4,87.5,23.9,2,1.26
P-000029,2025-02-01,2,179.5,14.9,1,4,84.0,25.8,2,1.68
P-000029,2025-03-01,3,178.4,11.6,1,5,85.4,24.6,2,1.75
P-000029,2025-04-01,4,225.7,26.7,4,8,53.9,64.3,4,3.33
P-000029,2025-05-01,5,225.8,29.9,6,6,49.7,68.1,3,3.17
P-000029,2025-06-01,6,216.2,27.5,8,8,53.7,68.8,4,3.63
P-000029,2025-07-01,7,220.2,37.5,4,8,41.8,68.8,4,3.18
P-000029,2025-08-01,8,227.6,25.5,7,9,55.7,69.0,4,2.98
P-000029,2025-09-01,9,181.8,12.9,2,6,84.8,28.2,2,1.49
P-000029,2025-10-01,10,184.6,10.1,2,3,86.0,25.8,2,1.49
